objective,fold,threshold,iou,n_gt,n_pred,recall,precision,f1
f1,0,0.5,0.3,86,108,0.9069767441860465,0.7222222222222222,0.8041237113402061
f1,0,0.5,0.4,86,108,0.9069767441860465,0.7222222222222222,0.8041237113402061
f1,0,0.5,0.5,86,108,0.8488372093023255,0.6759259259259259,0.7525773195876289
f1,0,0.5,0.6,86,108,0.8023255813953488,0.6388888888888888,0.7113402061855668
f1,0,0.5,0.7,86,108,0.5813953488372093,0.46296296296296297,0.5154639175257731
f1,1,0.4,0.3,87,142,0.9540229885057471,0.5845070422535211,0.7248908296943232
f1,1,0.4,0.4,87,142,0.9310344827586207,0.5704225352112676,0.7074235807860263
f1,1,0.4,0.5,87,142,0.8620689655172413,0.528169014084507,0.6550218340611353
f1,1,0.4,0.6,87,142,0.7701149425287356,0.47183098591549294,0.5851528384279475
f1,1,0.4,0.7,87,142,0.42528735632183906,0.2605633802816901,0.3231441048034935
f1,2,0.5,0.3,87,113,0.735632183908046,0.5663716814159292,0.64
f1,2,0.5,0.4,87,113,0.7011494252873564,0.5398230088495575,0.61
f1,2,0.5,0.5,87,113,0.6091954022988506,0.4690265486725664,0.53
f1,2,0.5,0.6,87,113,0.5402298850574713,0.415929203539823,0.47
f1,2,0.5,0.7,87,113,0.42528735632183906,0.3274336283185841,0.36999999999999994
f1,3,0.55,0.3,83,127,0.8795180722891566,0.5748031496062992,0.6952380952380952
f1,3,0.55,0.4,83,127,0.8192771084337349,0.5354330708661418,0.6476190476190478
f1,3,0.55,0.5,83,127,0.7469879518072289,0.4881889763779528,0.5904761904761905
f1,3,0.55,0.6,83,127,0.5301204819277109,0.3464566929133858,0.4190476190476191
f1,3,0.55,0.7,83,127,0.2891566265060241,0.1889763779527559,0.22857142857142856
f1,4,0.5,0.3,83,100,0.7951807228915663,0.66,0.7213114754098361
f1,4,0.5,0.4,83,100,0.6626506024096386,0.55,0.6010928961748634
f1,4,0.5,0.5,83,100,0.4819277108433735,0.4,0.4371584699453552
f1,4,0.5,0.6,83,100,0.37349397590361444,0.31,0.3387978142076502
f1,4,0.5,0.7,83,100,0.2289156626506024,0.19,0.2076502732240437
f2,0,0.3,0.3,86,133,0.9534883720930233,0.6165413533834586,0.7488584474885844
f2,0,0.3,0.4,86,133,0.8604651162790697,0.556390977443609,0.6757990867579909
f2,0,0.3,0.5,86,133,0.686046511627907,0.44360902255639095,0.5388127853881278
f2,0,0.3,0.6,86,133,0.43023255813953487,0.2781954887218045,0.33789954337899547
f2,0,0.3,0.7,86,133,0.16279069767441862,0.10526315789473684,0.12785388127853883
f2,1,0.3,0.3,87,157,0.9425287356321839,0.5222929936305732,0.6721311475409836
f2,1,0.3,0.4,87,157,0.9195402298850575,0.5095541401273885,0.6557377049180327
f2,1,0.3,0.5,87,157,0.7126436781609196,0.39490445859872614,0.5081967213114754
f2,1,0.3,0.6,87,157,0.45977011494252873,0.25477707006369427,0.32786885245901637
f2,1,0.3,0.7,87,157,0.16091954022988506,0.08917197452229299,0.11475409836065573
f2,2,0.35,0.3,87,140,0.8850574712643678,0.55,0.6784140969162996
f2,2,0.35,0.4,87,140,0.8160919540229885,0.5071428571428571,0.6255506607929515
f2,2,0.35,0.5,87,140,0.7701149425287356,0.4785714285714286,0.5903083700440529
f2,2,0.35,0.6,87,140,0.5862068965517241,0.36428571428571427,0.44933920704845814
f2,2,0.35,0.7,87,140,0.3793103448275862,0.2357142857142857,0.29074889867841414
f2,3,0.55,0.3,83,127,0.8795180722891566,0.5748031496062992,0.6952380952380952
f2,3,0.55,0.4,83,127,0.8192771084337349,0.5354330708661418,0.6476190476190478
f2,3,0.55,0.5,83,127,0.7469879518072289,0.4881889763779528,0.5904761904761905
f2,3,0.55,0.6,83,127,0.5301204819277109,0.3464566929133858,0.4190476190476191
f2,3,0.55,0.7,83,127,0.2891566265060241,0.1889763779527559,0.22857142857142856
f2,4,0.3,0.3,83,152,0.9397590361445783,0.5131578947368421,0.6638297872340426
f2,4,0.3,0.4,83,152,0.927710843373494,0.506578947368421,0.6553191489361702
f2,4,0.3,0.5,83,152,0.7349397590361446,0.40131578947368424,0.5191489361702127
f2,4,0.3,0.6,83,152,0.5421686746987951,0.29605263157894735,0.3829787234042553
f2,4,0.3,0.7,83,152,0.3253012048192771,0.17763157894736842,0.2297872340425532
