prob_threshold,recall_iou30,precision_iou30,recall_iou50,containment,n_pred,r30_min,r30_max,f1_iou30
0.1,0.6408,0.0429,0.1784,0.9764,6365.0,0.5349,0.7816,0.0804
0.15,0.7676,0.2639,0.3052,0.9693,1239.0,0.6747,0.8966,0.3928
0.2,0.8498,0.3694,0.446,0.9693,980.0,0.7711,0.9425,0.5149
0.25,0.9319,0.4638,0.6033,0.9717,856.0,0.9157,0.9639,0.6193
0.3,0.9413,0.5025,0.7371,0.9741,798.0,0.908,0.9639,0.6552
0.35,0.9343,0.549,0.8263,0.9528,725.0,0.8851,0.9759,0.6916
0.4,0.9155,0.5804,0.831,0.941,672.0,0.8276,0.9759,0.7104
0.45,0.8944,0.6096,0.7793,0.9151,625.0,0.8046,0.9639,0.725
0.5,0.8592,0.6235,0.6948,0.908,587.0,0.7356,0.9425,0.7226
0.55,0.8169,0.6468,0.6455,0.8821,538.0,0.6988,0.8966,0.722
0.6,0.7418,0.6489,0.5516,0.842,487.0,0.5181,0.8721,0.6922
0.65,0.6596,0.6401,0.4272,0.7854,439.0,0.4337,0.8372,0.6497
0.7,0.5446,0.6203,0.2911,0.7028,374.0,0.3253,0.7442,0.58
0.75,0.3897,0.5907,0.1667,0.5613,281.0,0.1687,0.5698,0.4696
0.8,0.2606,0.5635,0.0869,0.4009,197.0,0.0843,0.4302,0.3563
0.85,0.1362,0.464,0.0258,0.2689,125.0,0.0361,0.2326,0.2105
