pit_id,plat_id,block_id,split,centroid_x,centroid_y
0,258.0,77,val,621446.1025119612,4595593.63710256
1,256.0,77,val,621588.2007972451,4595488.45846207
2,247.0,77,val,621732.7583926943,4595493.161858552
3,261.0,90,val,621839.2130378842,4595734.468357738
4,255.0,65,train,621607.1007102629,4595227.698774112
5,251.0,78,train,621873.6170933216,4595267.295951578
6,213.0,53,train,621734.2672402506,4594711.415327951
7,226.0,53,train,621641.3662849729,4594825.017809083
8,227.0,53,train,621735.7568858366,4594859.287695078
9,,65,train,621625.1739289019,4594949.961327416
10,228.0,65,train,621483.8155507412,4594961.97105868
11,328.0,52,val,621352.0306624747,4594837.486753543
12,282.0,64,train,621337.650292061,4594947.874033568
13,,64,train,621256.2997155554,4594980.327153739
14,231.0,64,train,621207.3723967763,4595066.727445721
15,283.0,64,train,621105.843027148,4594926.402007195
16,233.0,64,train,621220.2157798086,4595191.003567273
17,234.0,64,train,621332.2241446866,4595200.991991131
18,244.0,77,val,621483.3465137668,4595334.156333526
19,245.0,77,val,621589.9439343078,4595361.614911898
20,246.0,77,val,621731.5836373888,4595372.090020223
21,249.0,78,train,621863.702785753,4595388.249380885
22,259.0,77,val,621713.1219249652,4595595.717396522
23,,90,val,621883.2908449353,4595745.380163165
24,260.0,78,train,621958.8949456916,4595592.516679529
25,252.0,66,train,621960.0492387897,4595218.229444169
26,293.0,78,train,622076.0344392811,4595408.376781378
27,269.0,79,train,622201.1003699626,4595416.97540118
28,270.0,79,train,622323.2927902086,4595425.080706645
29,267.0,79,train,622318.6571714042,4595545.178442407
30,265.0,91,val,622203.0954173271,4595702.87410328
31,263.0,90,val,622020.2590373,4595774.585954907
32,296.0,89,train,621711.5655738041,4595873.11891234
33,,89,train,621437.4685948879,4595863.003756142
34,299.0,88,train,621309.0933756427,4595757.201635414
35,301.0,88,train,621183.2321470499,4595834.109437252
36,302.0,88,train,621071.5140915634,4595727.167145667
37,303.0,75,train,620936.7996404625,4595596.6112803565
38,314.0,87,train,620803.5622448135,4595728.67030724
39,304.0,87,train,620914.2500310818,4595797.893873142
40,311.0,87,train,620874.6507724,4595951.012592173
41,312.0,99,train,620877.1581952126,4596058.217343395
42,313.0,99,train,620879.0357312944,4596194.651569152
43,742.0,99,train,620715.4238679005,4596296.217679364
44,,99,train,620732.3317097337,4596072.50509821
45,309.0,98,train,620616.163305871,4596049.906289694
46,,98,train,620488.6748276645,4596039.70833307
47,,87,train,620762.5328095483,4595846.396905461
48,,87,train,620752.5419799876,4595843.451203936
49,,87,train,620679.8155039983,4595801.148100421
50,,86,val,620539.5309839301,4595715.501478284
51,,76,train,621169.1647841276,4595569.304121287
52,300.0,76,train,621213.6351391416,4595617.814876158
53,243.0,76,train,621312.2257571941,4595613.157162999
54,240.0,76,train,621317.2885572277,4595482.998297926
55,239.0,76,train,621213.6027657789,4595453.39185432
56,241.0,76,train,621085.3564443392,4595453.820243873
57,236.0,76,train,621102.0454575479,4595319.483812074
58,315.0,75,train,620943.2318522675,4595434.825512911
59,307.0,75,train,620698.4890460675,4595576.423384751
60,306.0,87,train,620679.9402768152,4595702.192192875
61,237.0,76,train,621218.4617255718,4595324.929843679
62,281.0,65,train,621481.9130128302,4595053.485008128
63,232.0,64,train,621330.8283254874,4595068.045109408
64,280.0,65,train,621740.3192616712,4594981.111691625
65,254.0,66,train,621752.2390597766,4595102.172834852
66,223.0,66,train,621960.3360784807,4595101.349011236
67,279.0,66,train,621876.835227932,4594982.800785735
68,225.0,54,val,621877.1222726121,4594851.283929143
69,278.0,54,val,621952.4925209588,4594874.159267159
70,216.0,54,val,622040.0751846794,4594765.975812921
71,215.0,54,val,621997.0329212284,4594713.547025245
72,214.0,54,val,621866.0891577296,4594701.177463487
73,,42,train,621862.374090341,4594488.183793362
74,210.0,42,train,621881.3236879372,4594485.257325284
75,,54,val,621982.0771250866,4594598.741596052
76,212.0,54,val,622070.8198857479,4594525.317082129
77,288.0,43,train,622195.5461474063,4594391.667933721
78,289.0,55,train,622320.8431132756,4594524.830070246
79,,55,train,622322.3790141067,4594535.188201858
80,290.0,55,train,622300.1498259393,4594613.941201374
81,,55,train,622201.946206007,4594663.755461253
82,219.0,55,train,622335.0667672731,4594790.260339091
83,220.0,55,train,622429.4765384775,4594805.402054398
84,218.0,55,train,622183.0946974459,4594825.389482558
85,277.0,66,train,622069.8889119986,4594944.49957003
86,224.0,66,train,621966.558251723,4595005.036287915
87,222.0,67,train,622200.3829427311,4595030.542051094
88,291.0,67,train,622190.3000799157,4594922.434195241
89,221.0,67,train,622328.7549027213,4594954.337797942
90,276.0,67,train,622341.5645125208,4595039.15211782
91,275.0,67,train,622455.3788164766,4595065.752251356
92,274.0,67,train,622334.6650926578,4595167.147460154
93,273.0,67,train,622204.3966041184,4595167.999072015
94,292.0,66,train,622085.4404320387,4595146.837994614
95,272.0,79,train,622186.6260949207,4595272.401176703
96,250.0,78,train,621965.0351023596,4595352.605768055
97,248.0,78,train,621847.9313348657,4595478.05233247
98,268.0,79,train,622181.6735871058,4595545.059565648
99,271.0,79,train,622337.243586967,4595296.542532308
100,266.0,91,val,622276.3271295081,4595707.817369621
101,264.0,91,val,622131.3840128992,4595761.37643566
102,295.0,91,val,622172.5592504377,4595918.094364993
103,294.0,90,val,622025.3729041365,4595901.922371011
104,297.0,89,train,621580.2456399036,4595738.327327332
105,287.0,52,val,621371.5252825186,4594709.726538912
106,,52,val,621241.2287583924,4594586.864891347
107,,40,train,621139.4947928102,4594484.552429939
108,,52,val,621072.3789585986,4594690.956060501
109,257.0,77,val,621473.2500939097,4595482.545745175
110,,5,train,621658.6573510313,4593047.724645074
111,,20,train,622714.8813343508,4593397.115763449
112,,21,train,622960.2156528762,4593658.156732006
113,900.0,41,train,621617.4963278804,4594361.047408919
114,206.0,41,train,621509.8240275907,4594401.956895834
115,206.0,41,train,621515.4907470574,4594391.414434544
116,,41,train,621726.3808405447,4594208.881381626
117,,41,train,621738.7317537898,4594351.425506961
118,,29,train,621646.4064338156,4593809.137743774
119,896.0,18,train,621973.605404305,4593717.9481791975
120,896.0,18,train,621976.827334947,4593704.092154315
121,,45,test,622937.5384043946,4594351.286041634
122,931.0,57,train,623181.3690706043,4594538.977597525
123,,58,train,623289.1119449004,4594658.675555055
124,939.0,58,train,623568.508294042,4594634.943212575
125,940.0,58,train,623560.3340589491,4594755.077165807
126,934.0,59,train,623692.8314033451,4594629.778967709
