fold,objective,prob_threshold,val_score,n_heldout,n_pred_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,containment,containment_hits,n_rims
0,f1,0.5,0.834170854271357,96,134,0.9166666666666666,0.6567164179104478,0.7652173913043478,0.8541666666666666,0.9263157894736842,88,95
0,f2,0.35,0.9006211180124223,96,152,0.9166666666666666,0.5789473684210527,0.7096774193548387,0.8229166666666666,0.9473684210526315,90,95
1,f1,0.6,0.7783783783783784,95,128,0.8105263157894737,0.6015625,0.6905829596412556,0.6526315789473685,0.9052631578947369,86,95
1,f2,0.45,0.8647450110864745,95,161,0.9473684210526315,0.5590062111801242,0.703125,0.8631578947368421,0.9894736842105263,94,95
2,f1,0.5,0.707182320441989,95,142,0.968421052631579,0.647887323943662,0.7763713080168777,0.8842105263157894,0.9787234042553191,92,94
2,f2,0.4,0.815347721822542,95,153,0.968421052631579,0.6013071895424836,0.7419354838709677,0.8736842105263158,0.9893617021276596,93,94
3,f1,0.55,0.7898089171974522,92,107,0.8478260869565217,0.7289719626168224,0.7839195979899496,0.6413043478260869,0.9347826086956522,86,92
3,f2,0.4,0.8549222797927462,92,126,0.9565217391304348,0.6984126984126984,0.8073394495412843,0.8586956521739131,0.9565217391304348,88,92
4,f1,0.45,0.7039106145251397,93,147,0.9032258064516129,0.5714285714285714,0.7000000000000001,0.8279569892473119,0.9354838709677419,87,93
4,f2,0.45,0.8422459893048129,93,147,0.9032258064516129,0.5714285714285714,0.7000000000000001,0.8279569892473119,0.9354838709677419,87,93
