model,kind,mode,iou,threshold,n_gt_test,n_det_raw,n_det_scored,tp,recall_as_is,recall,precision_as_is,precision,f1_as_is,f1
pit_07_maskrcnn,pit,score,0.05,0.95,69,2979,101,68,1.0,0.9855072463768116,0.023162134944612285,0.6732673267326733,0.0452755905511811,0.8
pit_07_maskrcnn,pit,score,0.1,0.95,69,2979,101,68,1.0,0.9855072463768116,0.023162134944612285,0.6732673267326733,0.0452755905511811,0.8
pit_07_maskrcnn,pit,score,0.2,0.95,69,2979,101,68,1.0,0.9855072463768116,0.023162134944612285,0.6732673267326733,0.0452755905511811,0.8
pit_07_maskrcnn,pit,score,0.3,0.95,69,2979,101,67,0.9855072463768116,0.9710144927536232,0.022826451829472977,0.6633663366336634,0.04461942257217847,0.788235294117647
pit_07_maskrcnn,pit,score,0.4,0.95,69,2979,101,67,0.9855072463768116,0.9710144927536232,0.022826451829472977,0.6633663366336634,0.04461942257217847,0.788235294117647
pit_07_maskrcnn,pit,score,0.5,0.95,69,2979,101,67,0.9855072463768116,0.9710144927536232,0.022826451829472977,0.6633663366336634,0.04461942257217847,0.788235294117647
pit_07_maskrcnn,pit,score,0.6,0.95,69,2979,101,63,0.9130434782608695,0.9130434782608695,0.021148036253776436,0.6237623762376238,0.04133858267716535,0.7411764705882353
pit_07_maskrcnn,pit,score,0.7,0.95,69,2979,101,51,0.7391304347826086,0.7391304347826086,0.017119838872104734,0.504950495049505,0.03346456692913386,0.6
pit_07_maskrcnn,pit,score,0.8,0.95,69,2979,101,15,0.21739130434782608,0.21739130434782608,0.005035246727089627,0.1485148514851485,0.00984251968503937,0.1764705882352941
pit_07_maskrcnn,pit,score,0.9,0.95,69,2979,101,0,0.0,0.0,0.0,0.0,0.0,0.0
pit_08_yolo,pit,score,0.05,0.45,69,3602,87,62,1.0,0.8985507246376812,0.019156024430871738,0.7126436781609196,0.03759193680196132,0.7948717948717949
pit_08_yolo,pit,score,0.1,0.45,69,3602,87,62,1.0,0.8985507246376812,0.019156024430871738,0.7126436781609196,0.03759193680196132,0.7948717948717949
pit_08_yolo,pit,score,0.2,0.45,69,3602,87,62,1.0,0.8985507246376812,0.019156024430871738,0.7126436781609196,0.03759193680196132,0.7948717948717949
pit_08_yolo,pit,score,0.3,0.45,69,3602,87,62,1.0,0.8985507246376812,0.019156024430871738,0.7126436781609196,0.03759193680196132,0.7948717948717949
pit_08_yolo,pit,score,0.4,0.45,69,3602,87,61,0.9855072463768116,0.8840579710144928,0.018878400888395337,0.7011494252873564,0.037047126123672024,0.782051282051282
pit_08_yolo,pit,score,0.5,0.45,69,3602,87,56,0.855072463768116,0.8115942028985508,0.016379789006107717,0.6436781609195402,0.03214383001906837,0.7179487179487178
pit_08_yolo,pit,score,0.6,0.45,69,3602,87,47,0.7101449275362319,0.6811594202898551,0.013603553581343698,0.5402298850574713,0.02669572323617543,0.6025641025641026
pit_08_yolo,pit,score,0.7,0.45,69,3602,87,29,0.43478260869565216,0.42028985507246375,0.00832870627429206,0.3333333333333333,0.01634432034867883,0.37179487179487175
pit_08_yolo,pit,score,0.8,0.45,69,3602,87,5,0.07246376811594203,0.07246376811594203,0.00138811771238201,0.05747126436781609,0.002724053391446472,0.06410256410256411
pit_08_yolo,pit,score,0.9,0.45,69,3602,87,0,0.0,0.0,0.0,0.0,0.0,0.0
