threshold,n_pred,n_rim,intersects,centroid_in,fully_within,frac_intersects,frac_centroid_in,frac_fully_within,floor_iou30,frac_floor_iou30
0.05,25975,141,141,135,115,1.0,0.9574468085106383,0.8156028368794326,69,0.48936170212765956
0.1,1804,141,141,138,124,1.0,0.9787234042553191,0.8794326241134752,87,0.6170212765957447
0.15,1254,141,141,139,129,1.0,0.9858156028368794,0.9148936170212766,109,0.7730496453900709
0.2,1041,141,141,140,134,1.0,0.9929078014184397,0.950354609929078,127,0.900709219858156
0.25,914,141,141,140,137,1.0,0.9929078014184397,0.9716312056737588,135,0.9574468085106383
0.3,827,141,141,141,138,1.0,1.0,0.9787234042553191,138,0.9787234042553191
0.4,733,141,138,138,137,0.9787234042553191,0.9787234042553191,0.9716312056737588,137,0.9716312056737588
0.5,637,141,130,130,130,0.9219858156028369,0.9219858156028369,0.9219858156028369,126,0.8936170212765957
0.6,538,141,124,124,124,0.8794326241134752,0.8794326241134752,0.8794326241134752,112,0.7943262411347518
0.7,420,141,108,108,108,0.7659574468085106,0.7659574468085106,0.7659574468085106,81,0.574468085106383
0.8,253,141,71,71,71,0.5035460992907801,0.5035460992907801,0.5035460992907801,47,0.3333333333333333
0.9,48,141,16,16,16,0.11347517730496454,0.11347517730496454,0.11347517730496454,6,0.0425531914893617
