line_id,kind,split,length_m,parent,clean,max_prob
road_0_0,road,val,34.00788004318657,road_0,True,0.916
road_0_1,road,val,33.998814052232404,road_0,True,0.921
road_0_2,road,val,33.92951174051873,road_0,True,0.979
road_1_0,road,val,36.563162784655205,road_1,False,0.961
road_1_1,road,val,36.54145897351842,road_1,False,0.993
road_1_2,road,val,36.563020791009734,road_1,False,0.994
road_2_0,road,val,39.41973654587422,road_2,False,0.921
road_2_1,road,val,39.34250747068539,road_2,False,0.97
road_2_2,road,val,39.411667896322506,road_2,False,0.961
road_2_3,road,val,39.42119027352184,road_2,False,0.961
road_2_4,road,val,39.40787367186971,road_2,False,0.957
road_2_5,road,val,39.40862137519747,road_2,False,0.962
road_2_6,road,val,39.4097864863846,road_2,False,0.961
road_2_7,road,val,39.07377619630006,road_2,False,0.949
road_3_6,road,val,39.204804129840866,road_3,False,0.998
road_3_7,road,val,39.13147457026746,road_3,False,0.971
road_3_8,road,val,38.785002032659946,road_3,False,0.986
road_3_9,road,val,39.18006267566094,road_3,False,0.988
road_3_10,road,val,39.19740205813079,road_3,False,0.963
road_3_11,road,val,39.192170409372125,road_3,False,0.966
road_3_12,road,val,39.17236449746321,road_3,False,0.96
road_3_13,road,val,38.974564998893904,road_3,False,0.859
road_4_0,road,val,31.005653157969764,road_4,True,0.966
road_4_1,road,val,30.9148278632127,road_4,True,0.934
road_4_2,road,val,30.993470465660533,road_4,True,0.906
road_4_3,road,val,30.96413856762263,road_4,True,0.902
road_5_2,road,val,37.91289033800074,road_5,False,0.998
road_5_3,road,val,38.48486697646951,road_5,False,0.996
road_6_0,road,val,24.197961383007893,road_6,True,0.998
road_6_1,road,val,24.206218183932975,road_6,True,0.999
road_7_3,road,val,37.30299403656104,road_7,False,0.972
road_7_4,road,val,37.475419064541875,road_7,False,0.96
road_7_5,road,val,37.50693640133471,road_7,False,0.962
road_7_6,road,val,37.512568692896835,road_7,False,0.977
road_7_7,road,val,37.46183134648298,road_7,False,0.965
