feature,bold_med,faint_med,delta,auc,p,delta_transect,auc_transect,abs_delta,q
lrm25_road,-0.1274871826171875,-0.0229949951171875,-1.0,0.0,4.65967474383433e-07,-0.7771941063420884,0.1114029468289558,1.0,6.057577166984629e-06
lrm25_zcontrast,-2.562755823135376,-0.46576422452926636,-1.0,0.0,4.65967474383433e-07,-0.7553875720691864,0.1223062139654068,1.0,6.057577166984629e-06
road_density_100m_km,0.7155558157810716,0.10418991268631049,1.0,1.0,4.27559516490337e-05,,,1.0,6.057577166984629e-06
rough_contrast,0.12909944355487823,0.0,1.0,1.0,1.4475958778348286e-05,0.5688661114670083,0.7844330557335042,1.0,6.057577166984629e-06
opos_road,85.75895690917969,88.47357177734375,-1.0,0.0,4.65967474383433e-07,-0.9278923766816144,0.03605381165919282,1.0,6.057577166984629e-06
opos_zcontrast,-5.208088397979736,-0.2923777401447296,-1.0,0.0,4.65967474383433e-07,-0.8778219090326713,0.06108904548366432,1.0,6.057577166984629e-06
opos_contrast,-2.7251510620117188,-0.146697998046875,-1.0,0.0,4.65967474383433e-07,-0.9085714285714286,0.045714285714285714,1.0,6.057577166984629e-06
lrm5_zcontrast,-0.6953799724578857,-0.13669832050800323,-1.0,0.0,4.65967474383433e-07,-0.4767969250480461,0.2616015374759769,1.0,6.057577166984629e-06
lrm25_contrast,-0.12755584716796875,-0.02382659912109375,-1.0,0.0,4.65967474383433e-07,-0.7485714285714286,0.12571428571428572,1.0,6.057577166984629e-06
rough_zcontrast,1.8752458095550537,0.0,0.9880952380952381,0.9940476190476191,1.885627534647938e-05,0.5748110185778347,0.7874055092889174,0.9880952380952381,2.12015200844462e-05
lrm5_road,-0.00968170166015625,-0.003265380859375,-0.9761904761904762,0.011904761904761904,6.97072537150234e-05,-0.5059833440102498,0.2470083279948751,0.9761904761904762,2.12015200844462e-05
lrm5_contrast,-0.009677886962890625,-0.00164794921875,-0.9761904761904762,0.011904761904761904,1.863869897533732e-06,-0.4811531069827034,0.2594234465086483,0.9761904761904762,2.12015200844462e-05
incision_depth_m,0.5469127893447876,0.18074439465999603,0.9642857142857143,0.9821428571428571,3.261772462792578e-06,0.8692632927610506,0.9346316463805253,0.9642857142857143,2.9682129411412462e-05
tpi15_road,-0.1778411865234375,-0.024322509765625,-0.9642857142857143,0.017857142857142856,3.261772462792578e-06,-0.7426777706598334,0.1286611146700833,0.9642857142857143,2.9682129411412462e-05
slope_zcontrast,1.5643889904022217,-0.2760005593299866,0.9523809523809523,0.9761904761904762,5.591609806288034e-06,0.5937988468930173,0.7968994234465087,0.9523809523809523,4.240304103101759e-05
slope_contrast,2.3854033946990967,-0.43754518032073975,0.9523809523809523,0.9761904761904762,5.591609806288034e-06,0.5843177450352338,0.792158872517617,0.9523809523809523,4.240304103101759e-05
dist_pad_m,0.0,126.44703279652353,-0.9404761904761905,0.02976190476190476,0.00011473983237438135,,,0.9404761904761905,9.785317161004059e-05
tpi15_zcontrast,-2.4631738662719727,-0.32430770993232727,-0.9285714285714286,0.03571428571428571,1.3979024515720084e-05,-0.7187956438180654,0.14060217809096734,0.9285714285714286,9.785317161004059e-05
tpi15_contrast,-0.1696014404296875,-0.029541015625,-0.9047619047619048,0.047619047619047616,3.121982081211172e-05,-0.6974503523382447,0.15127482383087765,0.9047619047619048,0.0001775627308688854
length_m,221.70604307519687,118.74728195146308,0.8452380952380952,0.9226190476190477,0.0001616907164133551,,,0.8452380952380952,0.0007356927596807657
oneg_contrast,-0.8485908508300781,0.02039337158203125,-0.8333333333333334,0.08333333333333333,0.00021574294078163803,-0.46234465086483023,0.2688276745675849,0.8333333333333334,0.000892391255051321
relief10_contrast,0.2520294189453125,-0.1121063232421875,0.8333333333333334,0.9166666666666666,0.00021574294078163803,0.6208840486867393,0.8104420243433695,0.8333333333333334,0.000892391255051321
relief10_zcontrast,0.952364444732666,-0.34403887391090393,0.8095238095238095,0.9047619047619048,0.00037044414784759283,0.5547982062780269,0.7773991031390135,0.8095238095238095,0.0014046007272554561
oneg_road,87.90899658203125,88.6966781616211,-0.8095238095238095,0.09523809523809523,0.00037044414784759283,-0.46483023702754644,0.2675848814862268,0.8095238095238095,0.0014046007272554561
relief_amp_m,0.5755993127822876,0.2327665090560913,0.7976190476190477,0.8988095238095238,0.00047761667519807816,0.6867136450992953,0.8433568225496476,0.7976190476190477,0.0017385246977210044
oneg_zcontrast,-1.438011646270752,0.024743705987930298,-0.7857142857142857,0.10714285714285714,0.000611815310548991,-0.46675208199871876,0.2666239590006406,0.7857142857142857,0.0021413535869214684
opos_near,88.10306549072266,88.76533508300781,-0.7619047619047619,0.11904761904761904,0.0009780657710507512,-0.6481742472773863,0.17591287636130684,0.7619047619047619,0.0031787137559149414
oneg_near,88.28214263916016,88.87211608886719,-0.7619047619047619,0.11904761904761904,0.0009780657710507512,-0.5992825112107624,0.20035874439461884,0.7619047619047619,0.0031787137559149414
chm_ctx_spread,0.02379905991256237,0.05902257189154625,-0.6666666666666666,0.16666666666666666,0.004932265728712082,-0.4980140935297886,0.2509929532351057,0.6666666666666666,0.01547710970044136
dsm_ctx_spread,1.6197386980056763,3.788032054901123,-0.6547619047619048,0.17261904761904762,0.005891692824661732,-0.5395259449071108,0.23023702754644457,0.6547619047619048,0.01787146823480725
chm_zcontrast,402.8703918457031,1.7760627269744873,0.6309523809523809,0.8154761904761905,0.008295618928968906,0.33145419602818704,0.6657270980140936,0.6309523809523809,0.02435165556568292
canopy_cover_context,0.15492957746478875,0.30985915492957744,-0.6011904761904762,0.1994047619047619,0.014648564387816603,-0.4632158872517617,0.26839205637411917,0.6011904761904762,0.036408267536899075
slope_road,5.268028259277344,3.734556198120117,0.5952380952380952,0.7976190476190477,0.013423590920865536,0.3425752722613709,0.6712876361306854,0.5952380952380952,0.036408267536899075
dist_wells_m,24.23435781990313,75.06437736734371,-0.5833333333333334,0.20833333333333334,0.01563134516657755,,,0.5833333333333334,0.036408267536899075
slope_context,2.861630916595459,4.3376312255859375,-0.5714285714285714,0.21428571428571427,0.01813778467476368,-0.3462652146060218,0.3268673926969891,0.5714285714285714,0.036408267536899075
rough_context,0.0,0.12909944355487823,-0.5714285714285714,0.21428571428571427,0.012802907265722752,-0.2838693145419603,0.35806534272901985,0.5714285714285714,0.036408267536899075
relief10_context,0.9166107177734375,1.40625,-0.5595238095238095,0.22023809523809523,0.02096434310078621,-0.2965534913516976,0.3517232543241512,0.5595238095238095,0.0515609519505823
dsm_contrast,-1.1589813232421875,-6.52301025390625,0.5476190476190477,0.7738095238095238,0.02414969727396965,0.19021140294682895,0.5951057014734145,0.5476190476190477,0.057832169787664166
