model,threshold,subset,n_chunks,km,completeness_len,completeness_chunk,correctness_px,quality,pred_road_px,found,missed
road_unet_1m_recall_jun14_baseline,0.3,all,5500,187.1,0.919,0.919,0.784,0.734,1047674,5052,448
road_unet_1m_recall_jun14_baseline,0.3,613590_review_r2,4004,138.23,1.0,1.0,0.784,0.784,1047674,4003,1
road_unet_1m_recall_jun14_baseline,0.3,613590_added_r2,1496,48.87,0.691,0.701,0.784,0.581,1047674,1049,447
road_unet_1m_recall_jun14_baseline,0.4,all,5500,187.1,0.909,0.906,0.814,0.752,891338,4981,519
road_unet_1m_recall_jun14_baseline,0.4,613590_review_r2,4004,138.23,1.0,1.0,0.814,0.813,891338,4003,1
road_unet_1m_recall_jun14_baseline,0.4,613590_added_r2,1496,48.87,0.652,0.654,0.814,0.567,891338,978,518
road_unet_1m_recall_jun14_baseline,0.5,all,5500,187.1,0.899,0.894,0.835,0.763,759762,4919,581
road_unet_1m_recall_jun14_baseline,0.5,613590_review_r2,4004,138.23,1.0,1.0,0.835,0.835,759762,4003,1
road_unet_1m_recall_jun14_baseline,0.5,613590_added_r2,1496,48.87,0.613,0.612,0.835,0.547,759762,916,580
road_unet_1m_recall_jun14_baseline,0.6,all,5500,187.1,0.887,0.881,0.852,0.768,633198,4847,653
road_unet_1m_recall_jun14_baseline,0.6,613590_review_r2,4004,138.23,0.998,1.0,0.852,0.85,633198,4003,1
road_unet_1m_recall_jun14_baseline,0.6,613590_added_r2,1496,48.87,0.572,0.564,0.852,0.52,633198,844,652
road_unet_1m_recall_jun14_baseline,0.7,all,5500,187.1,0.87,0.866,0.867,0.767,497299,4765,735
road_unet_1m_recall_jun14_baseline,0.7,613590_review_r2,4004,138.23,0.99,0.998,0.867,0.859,497299,3997,7
road_unet_1m_recall_jun14_baseline,0.7,613590_added_r2,1496,48.87,0.53,0.513,0.867,0.49,497299,768,728
sweep_alpha078,0.3,all,5500,187.1,0.957,0.958,0.757,0.732,1176892,5269,231
sweep_alpha078,0.3,613590_review_r2,4004,138.23,1.0,1.0,0.757,0.757,1176892,4003,1
sweep_alpha078,0.3,613590_added_r2,1496,48.87,0.835,0.846,0.757,0.658,1176892,1266,230
sweep_alpha078,0.4,all,5500,187.1,0.95,0.951,0.797,0.765,991963,5232,268
sweep_alpha078,0.4,613590_review_r2,4004,138.23,1.0,1.0,0.797,0.797,991963,4003,1
sweep_alpha078,0.4,613590_added_r2,1496,48.87,0.808,0.822,0.797,0.67,991963,1229,267
sweep_alpha078,0.5,all,5500,187.1,0.943,0.943,0.829,0.789,840350,5187,313
sweep_alpha078,0.5,613590_review_r2,4004,138.23,0.999,1.0,0.829,0.829,840350,4002,2
sweep_alpha078,0.5,613590_added_r2,1496,48.87,0.782,0.792,0.829,0.674,840350,1185,311
sweep_alpha078,0.6,all,5500,187.1,0.934,0.935,0.857,0.808,697686,5141,359
sweep_alpha078,0.6,613590_review_r2,4004,138.23,0.998,1.0,0.857,0.856,697686,4002,2
sweep_alpha078,0.6,613590_added_r2,1496,48.87,0.752,0.761,0.857,0.668,697686,1139,357
sweep_alpha078,0.7,all,5500,187.1,0.923,0.923,0.887,0.826,543649,5076,424
sweep_alpha078,0.7,613590_review_r2,4004,138.23,0.996,0.998,0.887,0.884,543649,3996,8
sweep_alpha078,0.7,613590_added_r2,1496,48.87,0.716,0.722,0.887,0.656,543649,1080,416
sweep_boundary,0.3,all,5500,187.1,0.957,0.958,0.76,0.734,1071906,5268,232
sweep_boundary,0.3,613590_review_r2,4004,138.23,1.0,1.0,0.76,0.759,1071906,4003,1
sweep_boundary,0.3,613590_added_r2,1496,48.87,0.835,0.846,0.76,0.66,1071906,1265,231
sweep_boundary,0.4,all,5500,187.1,0.949,0.949,0.801,0.768,877522,5222,278
sweep_boundary,0.4,613590_review_r2,4004,138.23,0.999,1.0,0.801,0.801,877522,4003,1
sweep_boundary,0.4,613590_added_r2,1496,48.87,0.807,0.815,0.801,0.672,877522,1219,277
sweep_boundary,0.5,all,5500,187.1,0.941,0.942,0.837,0.795,716710,5181,319
sweep_boundary,0.5,613590_review_r2,4004,138.23,0.999,1.0,0.837,0.836,716710,4002,2
sweep_boundary,0.5,613590_added_r2,1496,48.87,0.777,0.788,0.837,0.674,716710,1179,317
sweep_boundary,0.6,all,5500,187.1,0.931,0.932,0.871,0.818,566661,5125,375
sweep_boundary,0.6,613590_review_r2,4004,138.23,0.998,1.0,0.871,0.869,566661,4002,2
sweep_boundary,0.6,613590_added_r2,1496,48.87,0.742,0.751,0.871,0.668,566661,1123,373
sweep_boundary,0.7,all,5500,187.1,0.913,0.915,0.9,0.829,423751,5035,465
sweep_boundary,0.7,613590_review_r2,4004,138.23,0.992,0.997,0.9,0.894,423751,3990,14
sweep_boundary,0.7,613590_added_r2,1496,48.87,0.689,0.699,0.9,0.64,423751,1045,451
sweep_cldice,0.3,all,5500,187.1,0.936,0.936,0.827,0.783,998307,5150,350
sweep_cldice,0.3,613590_review_r2,4004,138.23,0.998,0.999,0.827,0.826,998307,4001,3
sweep_cldice,0.3,613590_added_r2,1496,48.87,0.761,0.768,0.827,0.657,998307,1149,347
sweep_cldice,0.4,all,5500,187.1,0.933,0.934,0.84,0.792,933614,5137,363
sweep_cldice,0.4,613590_review_r2,4004,138.23,0.997,0.999,0.84,0.839,933614,4000,4
sweep_cldice,0.4,613590_added_r2,1496,48.87,0.751,0.76,0.84,0.657,933614,1137,359
sweep_cldice,0.5,all,5500,187.1,0.927,0.927,0.857,0.804,863985,5098,402
