component_id,area_m2,bbox_h_px,bbox_w_px,aspect_ratio_bbox,eccentricity,elongation_pca,solidity_bbox,road_prob_max,road_prob_mean,pit_prob_max,centroid_x,centroid_y,overlaps_labeled_pit,classification
1,109.75,25,21,1.1904761904761905,0.6071694430375999,1.2585385861223097,0.8361904761904762,0.553022563457489,0.3653867542743683,0.725372314453125,620304.3314350797,4597493.948747152,False,ROAD_LIKE_COMPACT
2,162.5,30,26,1.1538461538461537,0.5059033846782981,1.159299119068308,0.8333333333333334,0.4299828112125397,0.2018800675868988,0.6863861083984375,623045.7430769231,4597490.905384615,False,COMPACT_OTHER_FP
3,150.0,28,31,1.1071428571428572,0.3622181320648279,1.072853908112046,0.6912442396313364,0.4949647784233093,0.2326374053955078,0.694305419921875,621494.5966666667,4597490.028333333,False,COMPACT_OTHER_FP
4,153.0,29,29,1.0,0.49983279231802524,1.1545718648792471,0.727705112960761,0.43725502490997314,0.1674552857875824,0.7171173095703125,622770.5138888889,4597489.838235294,False,COMPACT_OTHER_FP
5,4.25,8,3,2.6666666666666665,0.9208246612820064,2.5642547786798247,0.7083333333333334,0.2082347869873047,0.1734144240617752,0.4988212585449219,620298.6470588235,4597493.205882353,False,COMPACT_OTHER_FP
6,103.0,24,24,1.0,0.1466938072241959,1.0109363617866,0.7152777777777778,0.3360586166381836,0.13018979132175446,0.63482666015625,621600.531553398,4597486.052184466,False,COMPACT_OTHER_FP
7,168.0,36,29,1.2413793103448276,0.6980759140717325,1.3966017084768145,0.6436781609195402,0.34436532855033875,0.2086004912853241,0.720733642578125,621257.6696428572,4597479.621279762,False,COMPACT_OTHER_FP
8,244.5,36,35,1.0285714285714285,0.4061721646109287,1.0943354703013792,0.7761904761904762,0.5365557670593262,0.17204134166240692,0.858154296875,623126.4759713701,4597479.996932515,False,ROAD_LIKE_COMPACT
9,235.25,34,36,1.0588235294117647,0.5107664918769065,1.1631701024309626,0.7687908496732027,0.5346124768257141,0.2180900275707245,0.883392333984375,620832.5382571733,4597478.915515409,False,ROAD_LIKE_COMPACT
10,218.25,34,34,1.0,0.3429452869828557,1.0645598260010318,0.7551903114186851,0.49861258268356323,0.16570425033569336,0.84661865234375,622672.9553264605,4597477.624284077,False,COMPACT_OTHER_FP
11,269.25,41,37,1.1081081081081081,0.3771482200801046,1.0797353060121373,0.7099538562953197,0.44161278009414673,0.17871741950511932,0.892791748046875,620026.3960074281,4597473.828226555,False,COMPACT_OTHER_FP
12,136.0,27,26,1.0384615384615385,0.4457370531073827,1.1171138104526943,0.7749287749287749,0.44420307874679565,0.17154471576213837,0.696319580078125,621106.5137867647,4597475.173713235,False,COMPACT_OTHER_FP
