epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9458,1.91343,3.23365,2.34233,1.75752,0,0.44861,0.40066,0.37318,0.13854,0.42637,0.38079,0.36582,0.12951,2.11644,3.47286,2.16397,2.02546,0,0.000663743,0.000663743,0.000663743
2,175.638,1.90203,2.95874,1.94489,1.7648,0,0.28143,0.27815,0.17387,0.05526,0.31219,0.24834,0.16047,0.0527,2.26208,3.97743,2.74794,2.27616,0,0.00131724,0.00131724,0.00131724
3,259.271,1.89913,2.94186,1.94038,1.76635,0,0.48687,0.42053,0.4138,0.17886,0.51332,0.46101,0.43271,0.17635,2.05447,3.32904,2.08754,1.96474,0,0.00195753,0.00195753,0.00195753
4,347.355,1.83563,2.88557,1.82606,1.69987,0,0.48145,0.40066,0.39334,0.16873,0.45381,0.40066,0.38723,0.15248,1.93929,3.08435,2.21771,1.87403,0,0.0019406,0.0019406,0.0019406
5,433.408,1.79668,2.78899,1.75508,1.68746,0,0.58464,0.41948,0.45346,0.18344,0.5848,0.47105,0.47938,0.19095,1.95934,2.92143,1.9707,1.88827,0,0.0019208,0.0019208,0.0019208
6,515.566,1.7304,2.74715,1.66008,1.63955,0,0.52608,0.47417,0.47072,0.2058,0.59273,0.48191,0.5019,0.19011,1.97797,3.05462,1.79149,1.90076,0,0.001901,0.001901,0.001901
7,599.675,1.70223,2.65904,1.57486,1.63144,0,0.67267,0.53974,0.56466,0.27346,0.67926,0.53974,0.5751,0.24778,1.81876,2.86553,1.64025,1.79253,0,0.0018812,0.0018812,0.0018812
8,684.919,1.65778,2.63982,1.53957,1.58753,0,0.60098,0.39735,0.45233,0.2014,0.62547,0.41391,0.45684,0.19116,1.93097,2.83547,1.8552,1.87396,0,0.0018614,0.0018614,0.0018614
9,769.865,1.62096,2.59925,1.52271,1.57029,0,0.71331,0.46689,0.53447,0.24489,0.70825,0.46358,0.5387,0.22413,1.91281,2.84138,1.65814,1.76518,0,0.0018416,0.0018416,0.0018416
10,855.754,1.61615,2.55929,1.46966,1.56088,0,0.69722,0.53974,0.58896,0.26754,0.67971,0.54305,0.5847,0.25053,1.89833,2.81716,1.55774,1.91409,0,0.0018218,0.0018218,0.0018218
11,940.981,1.57283,2.52802,1.39848,1.53171,0,0.62522,0.50331,0.51246,0.20634,0.64965,0.47893,0.51054,0.18993,2.00566,2.93853,1.78052,1.8415,0,0.001802,0.001802,0.001802
12,1025.02,1.53041,2.47155,1.38176,1.51146,0,0.60605,0.51656,0.52219,0.25986,0.63073,0.50903,0.5272,0.23989,1.76944,2.82216,1.57489,1.81234,0,0.0017822,0.0017822,0.0017822
13,1111.72,1.51052,2.4369,1.32678,1.49802,0,0.74197,0.51656,0.5656,0.26846,0.73721,0.51325,0.56839,0.24217,1.83881,2.84957,1.5482,1.79244,0,0.0017624,0.0017624,0.0017624
14,1197.49,1.48435,2.41169,1.27948,1.47079,0,0.64353,0.53311,0.55616,0.27943,0.62016,0.54305,0.55356,0.25912,1.76231,2.79906,1.48201,1.77532,0,0.0017426,0.0017426,0.0017426
15,1283.92,1.45805,2.38101,1.27839,1.45196,0,0.63498,0.53642,0.54599,0.25732,0.67416,0.55629,0.56406,0.24389,1.78524,2.74387,1.55596,1.74929,0,0.0017228,0.0017228,0.0017228
16,1368.12,1.43686,2.36947,1.25132,1.42775,0,0.67575,0.46925,0.51029,0.24443,0.64049,0.5298,0.55266,0.24743,1.85327,2.70278,1.59695,1.82083,0,0.001703,0.001703,0.001703
17,1446.69,1.37418,2.30461,1.18751,1.39213,0,0.63896,0.5298,0.55084,0.28239,0.66845,0.53642,0.55803,0.25704,1.74136,2.66376,1.57105,1.72647,0,0.0016832,0.0016832,0.0016832
18,1524.72,1.36325,2.27414,1.16859,1.39028,0,0.64998,0.58415,0.56109,0.29167,0.67085,0.59934,0.59258,0.27965,1.67753,2.70199,1.40943,1.68881,0,0.0016634,0.0016634,0.0016634
19,1602.48,1.34568,2.26328,1.16124,1.37611,0,0.6463,0.54305,0.54902,0.27053,0.69183,0.51987,0.55721,0.24715,1.75734,2.7881,1.50203,1.80047,0,0.0016436,0.0016436,0.0016436
20,1681.17,1.3163,2.22405,1.09815,1.35082,0,0.67514,0.5596,0.55943,0.26269,0.72731,0.57616,0.59781,0.25344,1.88053,2.84543,1.44722,1.8507,0,0.0016238,0.0016238,0.0016238
21,1765.45,1.2777,2.22222,1.0924,1.32352,0,0.65421,0.55128,0.54176,0.25852,0.67777,0.55298,0.56263,0.25757,1.85534,2.86741,1.83093,1.87819,0,0.001604,0.001604,0.001604
22,1848.45,1.26294,2.18377,1.05863,1.31849,0,0.62618,0.54636,0.5331,0.27526,0.62239,0.54305,0.54793,0.24916,1.75862,2.7757,1.48714,1.80864,0,0.0015842,0.0015842,0.0015842
23,1926.1,1.24488,2.14812,1.05898,1.31227,0,0.64725,0.54681,0.55498,0.26613,0.65117,0.55012,0.56459,0.26364,1.86662,2.79844,1.46952,1.86357,0,0.0015644,0.0015644,0.0015644
24,2003.77,1.21179,2.09908,1.01805,1.28179,0,0.64405,0.50927,0.55946,0.288,0.64977,0.51604,0.56324,0.26859,1.72593,2.82176,1.45095,1.75955,0,0.0015446,0.0015446,0.0015446
25,2085.4,1.19015,2.09172,1.00406,1.26796,0,0.69301,0.57557,0.58535,0.29969,0.72663,0.56291,0.59745,0.28071,1.78541,2.71162,1.42334,1.79684,0,0.0015248,0.0015248,0.0015248
26,2162.86,1.17555,2.05998,0.97785,1.26638,0,0.66621,0.53311,0.54525,0.28639,0.703,0.5298,0.56728,0.27156,1.74148,2.74231,1.51634,1.78022,0,0.001505,0.001505,0.001505
27,2241.87,1.15054,2.04816,0.94818,1.24809,0,0.67566,0.57942,0.60736,0.31587,0.67908,0.58156,0.61422,0.29713,1.71078,2.7063,1.33161,1.69976,0,0.0014852,0.0014852,0.0014852
28,2321.31,1.13507,2.04702,0.93801,1.2367,0,0.62889,0.51656,0.55574,0.28507,0.61882,0.50662,0.53006,0.26701,1.75825,2.8185,1.51474,1.77646,0,0.0014654,0.0014654,0.0014654
29,2405.11,1.11869,2.01345,0.91258,1.23113,0,0.64206,0.53974,0.54138,0.29309,0.66893,0.5596,0.57448,0.27132,1.73241,2.81087,1.40741,1.75371,0,0.0014456,0.0014456,0.0014456
30,2490.36,1.10749,1.98181,0.90181,1.22567,0,0.67012,0.54967,0.58178,0.31002,0.71919,0.56819,0.60971,0.28575,1.74318,2.90698,1.39041,1.80641,0,0.0014258,0.0014258,0.0014258
31,2574.09,1.08144,1.95036,0.88007,1.21083,0,0.76954,0.51656,0.57613,0.31326,0.75641,0.53642,0.59755,0.2974,1.71651,2.66956,1.41554,1.79478,0,0.001406,0.001406,0.001406
32,2654.67,1.07715,1.96315,0.87679,1.20345,0,0.73735,0.53917,0.59476,0.3285,0.74246,0.56623,0.62007,0.30705,1.66803,2.75352,1.27714,1.72179,0,0.0013862,0.0013862,0.0013862
33,2734.98,1.06255,1.93708,0.85482,1.19194,0,0.69893,0.5298,0.55257,0.30455,0.73623,0.53311,0.56934,0.2869,1.68,2.8348,1.5182,1.70265,0,0.0013664,0.0013664,0.0013664
34,2816.88,1.04905,1.91288,0.84772,1.18265,0,0.67902,0.59272,0.61268,0.34748,0.68281,0.59603,0.61756,0.31002,1.66607,2.81536,1.30675,1.70771,0,0.0013466,0.0013466,0.0013466
35,2896.68,1.04605,1.9007,0.85546,1.18851,0,0.62996,0.58626,0.57015,0.31742,0.72356,0.54967,0.59485,0.29383,1.64866,2.94651,1.37233,1.68927,0,0.0013268,0.0013268,0.0013268
36,2976.56,1.00923,1.85289,0.81786,1.16467,0,0.72518,0.5592,0.60123,0.32719,0.7409,0.54917,0.60109,0.29387,1.7122,2.92464,1.31511,1.8415,0,0.001307,0.001307,0.001307
37,3058.43,1.01964,1.86229,0.82772,1.17458,0,0.69807,0.52825,0.58606,0.34342,0.72281,0.55629,0.60177,0.30328,1.64989,2.82242,1.36379,1.72043,0,0.0012872,0.0012872,0.0012872
38,3138.75,1.00627,1.83678,0.81654,1.16002,0,0.75187,0.53974,0.60643,0.33607,0.77996,0.53974,0.60002,0.30142,1.63864,2.84542,1.33214,1.71202,0,0.0012674,0.0012674,0.0012674
39,3220.78,0.98986,1.80501,0.78641,1.14875,0,0.65954,0.60265,0.6005,0.33734,0.64596,0.5894,0.5885,0.3033,1.64582,2.86902,1.35161,1.69274,0,0.0012476,0.0012476,0.0012476
40,3305.36,0.97051,1.79952,0.78,1.13829,0,0.69043,0.5465,0.5692,0.32112,0.69709,0.54967,0.56978,0.28871,1.68526,2.87643,1.41791,1.71266,0,0.0012278,0.0012278,0.0012278
41,3388.04,0.95593,1.76487,0.75357,1.13298,0,0.63703,0.5596,0.57705,0.31871,0.63965,0.56954,0.57587,0.29347,1.65767,2.78697,1.36464,1.7114,0,0.001208,0.001208,0.001208
42,3470.63,0.94528,1.75662,0.75272,1.12359,0,0.70368,0.54967,0.58996,0.3279,0.7186,0.55298,0.58354,0.30311,1.66565,2.83297,1.35985,1.71602,0,0.0011882,0.0011882,0.0011882
43,3551.71,0.94295,1.73993,0.74738,1.12755,0,0.73661,0.52318,0.56334,0.32193,0.74419,0.51987,0.55909,0.28595,1.66648,2.7787,1.40258,1.72286,0,0.0011684,0.0011684,0.0011684
44,3634.97,0.91831,1.72135,0.7437,1.11058,0,0.7382,0.51325,0.5682,0.3151,0.75022,0.51325,0.56895,0.29167,1.67497,2.93514,1.40971,1.7052,0,0.0011486,0.0011486,0.0011486
