epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,108.472,1.79312,3.08063,1.7068,1.33406,0,0.7939,0.80524,0.86703,0.41215,0.76632,0.74925,0.80724,0.31185,1.79218,2.85162,1.0296,1.35819,0,0.000553802,0.000553802,0.000553802
2,220.865,1.62054,2.58982,1.04676,1.20207,0,0.81743,0.74107,0.7921,0.40238,0.80168,0.69682,0.73083,0.28658,1.71721,2.9396,1.21957,1.29246,0,0.00109848,0.00109848,0.00109848
3,326.87,1.5815,2.54707,1.039,1.17681,0,0.80127,0.87569,0.85275,0.40468,0.77882,0.77246,0.78236,0.32183,1.6713,2.66172,0.98054,1.2757,0,0.00163217,0.00163217,0.00163217
4,436.674,1.52119,2.44102,0.91893,1.15379,0,0.85199,0.87482,0.90017,0.46455,0.82648,0.84731,0.86129,0.35855,1.60206,2.71798,0.85612,1.2463,0,0.00161749,0.00161749,0.00161749
5,546.803,1.46683,2.35124,0.86513,1.13013,0,0.90207,0.85172,0.92521,0.48194,0.85842,0.80582,0.88324,0.36751,1.5658,2.49649,0.82963,1.22986,0,0.00160099,0.00160099,0.00160099
6,660.396,1.43053,2.30655,0.85195,1.11737,0,0.90127,0.8888,0.92391,0.47482,0.84186,0.83145,0.83904,0.34947,1.62398,2.73514,0.79479,1.25396,0,0.00158448,0.00158448,0.00158448
7,773.371,1.38823,2.23408,0.80835,1.08972,0,0.92155,0.90142,0.95541,0.52481,0.88185,0.86307,0.90926,0.4095,1.4966,2.51651,0.73737,1.17797,0,0.00156798,0.00156798,0.00156798
8,882.004,1.33049,2.17025,0.76681,1.06942,0,0.87698,0.87581,0.91896,0.49761,0.85793,0.86896,0.90546,0.39945,1.55499,2.51513,0.76666,1.21318,0,0.00155148,0.00155148,0.00155148
9,991.816,1.30174,2.11575,0.75031,1.06867,0,0.88569,0.86629,0.90218,0.44418,0.85113,0.82766,0.85725,0.33517,1.722,2.77653,0.73943,1.3042,0,0.00153497,0.00153497,0.00153497
10,1099.95,1.27723,2.07115,0.7098,1.05233,0,0.90506,0.94241,0.96336,0.5188,0.87918,0.90783,0.91775,0.40959,1.49939,2.53198,0.6639,1.19371,0,0.00151847,0.00151847,0.00151847
