plat_id,block_id,fold
0,84,0
206,41,4
207,52,4
208,53,4
209,54,1
210,54,1
211,54,1
212,54,1
213,53,4
214,54,1
215,54,1
216,54,1
217,54,1
218,55,3
219,55,3
220,55,3
221,67,2
222,67,2
223,66,1
224,66,1
225,54,1
226,53,4
227,53,4
228,65,2
229,65,2
230,64,4
231,64,4
232,64,4
233,64,4
234,64,4
235,76,4
236,76,4
237,76,4
238,64,4
239,76,4
240,76,4
241,76,4
242,76,4
243,88,3
244,77,1
245,77,1
246,77,1
247,77,1
248,78,3
249,78,3
250,78,3
251,78,3
252,66,1
253,66,1
254,65,2
255,65,2
256,77,1
257,77,1
258,77,1
259,77,1
260,78,3
261,90,0
262,90,0
263,90,0
264,91,3
265,91,3
266,91,3
267,79,1
268,79,1
269,79,1
270,79,1
271,79,1
272,79,1
273,67,2
274,67,2
275,67,2
276,67,2
277,66,1
278,66,1
279,66,1
280,65,2
281,65,2
282,64,4
283,64,4
284,63,4
285,52,4
286,52,4
287,52,4
288,43,1
289,55,3
290,55,3
291,67,2
292,66,1
293,78,3
294,90,0
295,91,3
296,89,0
297,89,0
298,89,0
299,88,3
300,88,3
301,88,3
302,88,3
303,75,4
304,87,0
305,87,0
306,87,0
307,75,4
308,86,4
309,98,2
310,99,4
311,87,0
312,99,4
313,99,4
314,87,0
315,75,4
316,65,2
317,78,3
318,75,4
319,63,4
320,74,3
321,88,3
322,89,0
323,89,0
324,90,0
325,90,0
326,100,2
327,66,1
328,52,4
329,75,4
470,101,2
471,101,2
472,102,3
473,102,3
474,102,3
475,102,3
476,103,2
477,103,2
478,103,2
479,103,2
480,103,2
481,103,2
482,104,4
483,104,4
484,104,4
485,92,3
486,92,3
487,91,3
488,92,3
489,92,3
490,92,3
491,92,3
492,81,2
493,93,3
494,93,3
495,93,3
496,93,3
497,93,3
498,92,3
499,104,4
500,105,0
501,105,0
502,105,0
503,104,4
504,104,4
505,104,4
506,116,1
507,116,1
508,116,1
509,116,1
510,116,1
511,117,4
512,117,4
513,105,0
514,105,0
515,116,1
516,116,1
517,128,4
518,128,4
519,115,0
520,127,0
521,128,4
522,128,4
523,127,0
524,138,0
525,139,4
526,139,4
527,139,4
528,139,4
529,139,4
530,139,4
531,139,4
532,138,0
533,138,0
534,138,0
535,138,0
536,138,0
537,138,0
538,137,4
539,137,4
540,138,0
541,137,4
542,114,3
543,114,3
544,114,3
545,113,1
546,113,1
547,124,1
548,124,1
549,125,1
550,124,1
551,125,1
552,125,1
553,136,0
554,136,0
555,136,0
556,136,0
557,136,0
558,135,0
559,135,0
560,136,0
561,135,0
562,135,0
563,123,3
564,135,0
565,135,0
566,134,4
567,134,4
568,134,4
569,134,4
570,134,4
571,134,4
572,133,2
573,133,2
574,133,2
575,133,2
576,133,2
577,122,2
578,122,2
579,123,3
580,123,3
581,123,3
582,124,1
583,124,1
584,123,3
585,124,1
586,124,1
587,125,1
588,125,1
589,126,0
590,126,0
591,114,3
592,114,3
593,115,0
594,127,0
595,115,0
596,140,4
597,140,4
598,141,2
599,141,2
600,141,2
601,142,3
602,141,2
603,142,3
604,141,2
605,141,2
606,140,4
607,141,2
608,129,2
609,129,2
610,129,2
611,130,0
612,129,2
613,130,0
614,118,0
615,118,0
616,130,0
617,131,0
618,130,0
619,117,4
620,117,4
621,116,1
622,129,2
623,118,0
624,118,0
625,118,0
626,118,0
627,106,1
628,105,0
629,106,1
630,105,0
631,105,0
632,106,1
633,94,0
634,94,0
635,93,3
636,82,2
637,94,0
638,82,2
639,103,2
640,103,2
641,102,3
642,102,3
643,102,3
644,101,2
645,113,1
646,113,1
647,101,2
648,113,1
649,113,1
650,113,1
651,112,3
652,112,3
653,100,2
654,112,3
655,112,3
656,111,1
657,112,3
658,123,3
659,111,1
660,110,4
661,122,2
662,122,2
663,122,2
664,122,2
665,122,2
666,121,1
667,121,1
668,109,3
669,109,3
670,110,4
671,133,2
672,132,0
673,132,0
674,132,0
675,132,0
676,132,0
677,132,0
678,120,3
679,120,3
680,120,3
681,120,3
682,120,3
683,120,3
684,120,3
685,120,3
686,120,3
687,120,3
688,108,1
689,108,1
690,108,1
691,108,1
692,108,1
693,108,1
694,109,3
695,109,3
696,108,1
697,121,1
698,97,1
699,109,3
700,110,4
701,109,3
702,109,3
703,96,4
704,109,3
705,96,4
706,96,4
707,96,4
708,96,4
709,97,1
710,97,1
711,97,1
712,84,0
713,84,0
714,84,0
715,85,1
716,110,4
717,110,4
718,110,4
719,97,1
720,98,2
721,84,0
722,84,0
723,84,0
724,72,1
725,72,1
726,72,1
727,72,1
728,85,1
729,85,1
730,85,1
731,85,1
732,73,0
733,73,0
734,73,0
735,73,0
736,85,1
737,86,4
738,74,3
739,74,3
740,86,4
741,86,4
742,99,4
743,111,1
744,111,1
745,72,1
746,72,1
747,72,1
748,60,2
749,60,2
750,61,2
751,61,2
752,60,2
753,60,2
754,60,2
755,60,2
756,60,2
757,60,2
758,61,2
759,73,0
760,48,0
761,48,0
762,48,0
763,48,0
764,48,0
765,48,0
766,48,0
767,48,0
768,49,4
769,49,4
770,48,0
771,49,4
772,49,4
773,36,2
774,36,2
775,36,2
776,36,2
777,36,2
778,37,1
779,49,4
780,37,1
781,49,4
782,49,4
783,50,2
784,50,2
785,49,4
786,49,4
787,62,3
788,49,4
789,61,2
790,61,2
791,62,3
792,62,3
793,62,3
794,62,3
795,74,3
796,74,3
797,73,0
798,73,0
799,61,2
800,61,2
801,73,0
802,73,0
803,73,0
804,74,3
805,74,3
806,62,3
807,63,4
808,62,3
809,74,3
810,75,4
811,75,4
812,63,4
813,63,4
814,63,4
815,50,2
816,62,3
817,50,2
818,50,2
819,62,3
820,62,3
821,51,3
822,51,3
823,51,3
824,50,2
825,50,2
826,50,2
827,38,4
828,38,4
829,38,4
830,38,4
831,38,4
832,25,2
833,36,2
834,24,0
835,37,1
836,24,0
837,24,0
838,24,0
839,12,0
840,12,0
841,24,0
842,12,0
843,12,0
844,0,1
845,0,1
846,0,1
847,12,0
848,12,0
849,0,1
850,0,1
851,13,4
852,25,2
853,25,2
854,36,2
855,14,2
856,14,2
857,14,2
858,13,4
859,13,4
860,0,1
861,2,3
862,2,3
863,2,3
864,2,3
865,2,3
866,15,2
867,14,2
868,13,4
869,39,2
870,51,3
871,28,1
872,28,1
873,16,4
874,16,4
875,16,4
876,15,2
877,3,3
878,3,3
879,3,3
880,3,3
881,5,3
882,5,3
883,5,3
884,18,1
885,6,0
886,18,1
887,18,1
888,18,1
889,17,1
890,17,1
891,5,3
892,5,3
