fold,objective,prob_threshold,val_score,n_heldout,n_pred_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,containment,containment_hits,n_rims
0,f1,0.45,0.8350515463917525,103,152,0.9320388349514563,0.631578947368421,0.7529411764705882,0.8543689320388349,0.9611650485436893,99,103
0,f2,0.35,0.9170305676855895,103,168,0.941747572815534,0.5773809523809523,0.7158671586715867,0.7475728155339806,0.970873786407767,100,103
1,f1,0.45,0.7664670658682635,100,128,0.9,0.703125,0.7894736842105263,0.82,0.94,94,100
1,f2,0.45,0.8421052631578947,100,128,0.9,0.703125,0.7894736842105263,0.82,0.94,94,100
2,f1,0.6,0.7887323943661971,99,112,0.797979797979798,0.7053571428571429,0.7488151658767774,0.6060606060606061,0.8787878787878788,87,99
2,f2,0.5,0.8695652173913043,99,128,0.8888888888888888,0.6875,0.7753303964757708,0.7373737373737373,0.9393939393939394,93,99
3,f1,0.45,0.7336683417085426,100,144,0.92,0.6388888888888888,0.7540983606557377,0.81,0.9494949494949495,94,99
3,f2,0.3,0.8571428571428572,100,164,0.93,0.5670731707317073,0.7045454545454545,0.76,0.9696969696969697,96,99
4,f1,0.35,0.676056338028169,101,127,0.9108910891089109,0.7244094488188977,0.8070175438596492,0.6435643564356436,0.9405940594059405,95,101
4,f2,0.35,0.7384615384615384,101,127,0.9108910891089109,0.7244094488188977,0.8070175438596492,0.6435643564356436,0.9405940594059405,95,101
