fold,prob_threshold,n_pred_heldout,n_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,containment,containment_hits,n_rims
0,0.1,270,103,0.5339805825242718,0.2037037037037037,0.2949061662198391,0.11650485436893204,0.970873786407767,100,103
0,0.15,210,103,0.6699029126213593,0.32857142857142857,0.4408945686900958,0.22330097087378642,0.970873786407767,100,103
0,0.2,189,103,0.7864077669902912,0.42857142857142855,0.5547945205479452,0.27184466019417475,0.970873786407767,100,103
0,0.25,180,103,0.8640776699029126,0.49444444444444446,0.6289752650176678,0.3786407766990291,0.970873786407767,100,103
0,0.3,173,103,0.941747572815534,0.5606936416184971,0.7028985507246376,0.6019417475728155,0.970873786407767,100,103
0,0.35,168,103,0.941747572815534,0.5773809523809523,0.7158671586715867,0.7475728155339806,0.970873786407767,100,103
0,0.4,159,103,0.9611650485436893,0.6226415094339622,0.7557251908396946,0.8252427184466019,0.970873786407767,100,103
0,0.45,152,103,0.9320388349514563,0.631578947368421,0.7529411764705882,0.8543689320388349,0.9611650485436893,99,103
0,0.5,140,103,0.9029126213592233,0.6642857142857143,0.7654320987654322,0.8252427184466019,0.9320388349514563,96,103
0,0.55,134,103,0.8737864077669902,0.6716417910447762,0.759493670886076,0.7669902912621359,0.9223300970873787,95,103
0,0.6,122,103,0.8155339805825242,0.6885245901639344,0.7466666666666667,0.6504854368932039,0.8640776699029126,89,103
0,0.65,112,103,0.7378640776699029,0.6785714285714286,0.7069767441860465,0.5242718446601942,0.8155339805825242,84,103
0,0.7,97,103,0.5631067961165048,0.5979381443298969,0.5800000000000001,0.44660194174757284,0.7378640776699029,76,103
0,0.75,77,103,0.47572815533980584,0.6363636363636364,0.5444444444444444,0.20388349514563106,0.6019417475728155,62,103
0,0.8,53,103,0.30097087378640774,0.5849056603773585,0.3974358974358974,0.04854368932038835,0.44660194174757284,46,103
0,0.85,32,103,0.13592233009708737,0.4375,0.20740740740740743,0.009708737864077669,0.30097087378640774,31,103
1,0.1,205,100,0.63,0.3073170731707317,0.4131147540983607,0.16,1.0,100,100
1,0.15,170,100,0.75,0.4411764705882353,0.5555555555555556,0.22,1.0,100,100
1,0.2,162,100,0.83,0.5123456790123457,0.633587786259542,0.29,1.0,100,100
1,0.25,152,100,0.91,0.5986842105263158,0.7222222222222222,0.47,1.0,100,100
1,0.3,146,100,0.94,0.6438356164383562,0.7642276422764229,0.58,0.99,99,100
1,0.35,138,100,0.94,0.6811594202898551,0.7899159663865546,0.71,0.96,96,100
1,0.4,129,100,0.91,0.7054263565891473,0.7947598253275109,0.86,0.94,94,100
1,0.45,128,100,0.9,0.703125,0.7894736842105263,0.82,0.94,94,100
