tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,0,floor,37.0,103,72,31,2,1.945945945945946,0.8378378378378378,0.05405405405405406,49048.0,22872.0,1.0590000000000002,1.008,0.049267574166378836,72,0.14934210485003518,2
621594,0,ring,324.75,781,599,182,17,1.844495765973826,0.5604311008468053,0.05234795996920708,20336.0,19264.0,1.056,1.116,0.04902242610216945,599,0.1756568820181883,17
621594,0,far,4211.0,10006,7240,2766,233,1.7193065780099739,0.6568511042507718,0.05533127523153645,18912.0,16064.0,1.08,0.882,0.023738009614675093,1500,0.10959793353958958,233
621594,1,floor,34.75,64,39,25,15,1.1223021582733812,0.7194244604316546,0.4316546762589928,25328.0,22736.0,2.82,2.838,0.08153406701489985,39,0.13435679979784254,15
621594,1,ring,319.25,696,498,198,22,1.5599060297572436,0.620203602192639,0.06891151135473766,17712.0,15312.0,2.8080000000000003,2.946,0.03904308272106505,498,0.12567376730066826,22
621594,1,far,4199.25,9648,6948,2698,193,1.654581175209859,0.6424956837530511,0.04596058820027386,20424.0,20144.0,2.7960000000000003,3.114,0.027394259139128962,1500,0.0992663541139791,193
621594,2,floor,35.75,72,63,9,3,1.7622377622377623,0.2517482517482518,0.08391608391608392,20400.0,24736.0,4.224,4.224,0.04276447943959738,63,0.18765336147919243,3
621594,2,ring,327.0,838,571,267,14,1.746177370030581,0.8165137614678899,0.04281345565749235,19312.0,16520.0,4.236,4.425000000000001,0.03911727665354192,571,0.1952320629958706,14
621594,2,far,4220.5,9072,7390,1682,122,1.7509773723492477,0.39853097974173674,0.028906527662599216,17704.0,15872.0,4.248,4.548,0.02581569793488825,1500,0.13429558602720704,122
621594,3,floor,46.0,118,97,21,4,2.108695652173913,0.45652173913043476,0.08695652173913043,31264.0,29176.0,4.002,4.101,0.10279606054109536,97,0.25872276587764986,4
621594,3,ring,337.0,940,687,253,19,2.0385756676557865,0.7507418397626113,0.05637982195845697,18016.0,13856.0,3.996,4.116,0.053654578078635495,687,0.27632558798836726,19
621594,3,far,4259.0,11908,8048,3860,205,1.8896454566799719,0.9063160366283165,0.048133364639586756,17136.0,13120.0,3.96,4.188,0.02823472061436405,1500,0.15842005096101275,205
