tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,0,floor,37.0,103,72,31,0,1.945945945945946,0.8378378378378378,0.0,49048.0,,1.0590000000000002,,0.049267574166378836,72,,0
621594,0,ring,324.75,781,599,182,9,1.844495765973826,0.5604311008468053,0.02771362586605081,20336.0,14384.0,1.056,1.122,0.04902242610216945,599,0.20025611693301926,9
621594,0,far,4211.0,10006,7240,2766,97,1.7193065780099739,0.6568511042507718,0.023034908572785562,18912.0,15648.0,1.08,0.9,0.023738009614675093,1500,0.11629480372329226,97
621594,1,floor,34.75,64,39,25,4,1.1223021582733812,0.7194244604316546,0.11510791366906475,25328.0,25624.0,2.82,2.856,0.0815340670153546,39,0.15373019517576836,4
621594,1,ring,319.25,696,498,198,4,1.5599060297572436,0.620203602192639,0.012529365700861394,17712.0,14976.0,2.8080000000000003,2.718,0.03904308272129242,498,0.27197730942410203,4
621594,1,far,4199.25,9648,6948,2698,58,1.654581175209859,0.6424956837530511,0.01381199023635173,20424.0,21640.0,2.7960000000000003,3.267,0.02726906122404671,1500,0.10095486479724514,58
621594,2,floor,35.75,72,63,9,2,1.7622377622377623,0.2517482517482518,0.055944055944055944,20400.0,27344.0,4.224,4.152,0.04276447943959738,63,0.19149983645618818,2
621594,2,ring,327.0,838,571,267,4,1.746177370030581,0.8165137614678899,0.012232415902140673,19312.0,14216.0,4.236,4.473000000000001,0.03911727665354192,571,0.17718216994256863,4
621594,2,far,4220.5,9072,7390,1682,26,1.7509773723492477,0.39853097974173674,0.006160407534652293,17704.0,20960.0,4.248,4.677,0.02581569793488825,1500,0.14661622488875992,26
621594,3,floor,46.0,118,97,21,1,2.108695652173913,0.45652173913043476,0.021739130434782608,31264.0,35424.0,4.002,4.164,0.10279606054109536,97,0.1406634012723771,1
621594,3,ring,337.0,940,687,253,10,2.0385756676557865,0.7507418397626113,0.02967359050445104,18016.0,14152.0,3.996,4.134,0.053654578078635495,687,0.297642639283481,10
621594,3,far,4259.0,11908,8048,3860,58,1.8896454566799719,0.9063160366283165,0.013618220239492839,17136.0,13952.0,3.96,4.008,0.02823472061436405,1500,0.15555665955659492,58
621594,4,floor,28.0,127,91,36,1,3.25,1.2857142857142858,0.03571428571428571,20896.0,18704.0,1.716,1.836,0.07325434982010393,91,0.2933301892691702,1
621594,4,ring,302.5,1648,1078,570,0,3.5636363636363635,1.884297520661157,0.0,23800.0,,1.704,,0.03081193403374982,1078,,0
621594,4,far,4147.25,16670,12112,4558,20,2.9204894809813733,1.099041533546326,0.004822472722888661,19584.0,15976.0,1.692,1.815,0.021733884951459004,1500,0.16396560295777363,20
621594,5,floor,22.75,98,78,20,0,3.4285714285714284,0.8791208791208791,0.0,13984.0,,3.789,,0.021172173914379755,78,,0
621594,5,ring,293.75,1417,976,441,8,3.322553191489362,1.5012765957446808,0.02723404255319149,23504.0,16224.0,3.7560000000000002,3.9059999999999997,0.041743312411284705,976,0.2683419810589669,8
621594,5,far,4116.75,14184,11327,2857,25,2.751442278496387,0.6939940487034676,0.006072751563733527,22592.0,17520.0,3.72,4.206,0.02018859286732777,1500,0.10090972534089815,25
621594,6,floor,45.0,182,119,63,0,2.6444444444444444,1.4,0.0,12224.0,,1.842,,0.023741131493579815,119,,0
621594,6,ring,334.25,1331,877,454,0,2.62378459237098,1.3582647718773373,0.0,25840.0,,1.842,,0.0471805048770193,877,,0
621594,6,far,4249.5,35031,20195,14836,14,4.75232380280033,3.4912342628544533,0.003294505235910107,21728.0,14224.0,1.578,1.131,0.017043895290925093,1500,0.1775324154333191,14
621594,7,floor,31.25,10,5,5,1,0.16,0.16,0.032,6576.0,2000.0,0.15,0.006,0.03741684846579574,5,0.009332588698612199,1
621594,7,ring,311.0,1295,969,326,0,3.1157556270096465,1.0482315112540193,0.0,28624.0,,0.15,,0.03308869691596783,969,,0
621594,7,far,4171.5,28877,17328,11549,5,4.153901474289824,2.7685484837588397,0.001198609612849095,20496.0,13152.0,0.546,0.714,0.016791544710343942,1500,0.1396301141544427,5
621594,8,floor,22.75,99,72,27,0,3.1648351648351647,1.1868131868131868,0.0,34608.0,,3.018,,0.12207424631819208,72,,0
621594,8,ring,297.25,1150,983,167,0,3.3069806560134567,0.5618166526492852,0.0,32944.0,,3.024,,0.03294440727006531,983,,0
621594,8,far,4124.5,38917,30113,8804,0,7.301006182567584,2.134561765062432,0.0,22416.0,,3.318,,0.0192893800706031,1500,,0
621594,9,floor,34.25,95,85,10,7,2.4817518248175183,0.291970802919708,0.20437956204379562,25744.0,32352.0,0.234,0.228,0.1018682476402546,85,0.19850871227697553,7
621594,9,ring,323.25,1054,881,173,8,2.725444702242846,0.5351894818252126,0.02474864655839134,22080.0,9368.0,0.21,0.42600000000000005,0.0464467443104013,881,0.16637249035909463,8
621594,9,far,4211.5,12764,11159,1605,5,2.6496497684910363,0.3810993707705093,0.0011872254541137363,22320.0,18448.0,0.528,0.984,0.013220268788074918,1500,0.058236958533086636,5
621594,10,floor,25.0,70,61,9,2,2.44,0.36,0.08,24048.0,23208.0,2.838,2.76,0.09442735921152234,61,0.1612252177695268,2
621594,10,ring,298.25,882,785,97,0,2.632020117351215,0.32523051131601005,0.0,29520.0,,2.88,,0.034606509754326,785,,0
621594,10,far,4128.25,11691,10698,993,0,2.5914128262580998,0.2405377581299582,0.0,22112.0,,2.868,,0.01703511330677543,1500,,0
621594,11,floor,44.25,42,16,26,5,0.3615819209039548,0.5875706214689266,0.11299435028248588,3632.0,3680.0,2.88,2.916,0.016510431808285375,16,0.10364658118760417,5
621594,11,ring,341.25,1269,862,407,0,2.526007326007326,1.1926739926739927,0.0,26288.0,,2.85,,0.023716081093368757,862,,0
621594,11,far,4271.5,15886,11687,4199,29,2.7360412033243593,0.9830270396816106,0.0067891841273557295,21632.0,18784.0,2.868,2.2560000000000002,0.02168018516769621,1500,0.21906366127188903,29
621594,12,floor,46.5,122,119,3,0,2.5591397849462365,0.06451612903225806,0.0,24064.0,,2.664,,0.0526932965198057,119,,0
621594,12,ring,340.25,1071,852,219,0,2.5040411462160175,0.6436443791329904,0.0,33120.0,,2.664,,0.03187524535741204,852,,0
621594,12,far,4267.75,13185,10964,2221,24,2.5690352059047505,0.5204147384453166,0.005623572139886357,21632.0,18184.0,2.61,2.661,0.0178228034285155,1500,0.32479478235418924,24
621594,13,floor,27.75,94,71,23,3,2.5585585585585586,0.8288288288288288,0.10810810810810811,26048.0,20464.0,0.12,0.114,0.10241692740351027,71,0.21882630907697376,3
621594,13,ring,305.25,1158,859,299,5,2.814086814086814,0.9795249795249795,0.01638001638001638,27104.0,15184.0,0.14400000000000002,0.042,0.03254133861582886,859,0.21062163237689902,5
621594,13,far,4152.5,12900,11633,1264,32,2.801444912703191,0.30439494280553886,0.007706201083684527,22592.0,19856.0,0.546,0.42000000000000004,0.02666784010651213,1500,0.2618484748325045,32
621594,14,floor,42.25,156,141,15,0,3.337278106508876,0.35502958579881655,0.0,23088.0,,0.084,,0.028351114817496637,141,,0
621594,14,ring,334.75,1306,1083,223,15,3.2352501867064976,0.666168782673637,0.04480955937266617,29312.0,22976.0,0.138,0.054,0.04922374465957091,1083,0.21158009293600344,15
621594,14,far,4256.25,13581,11698,1883,20,2.7484287812041117,0.44240822320117473,0.004698972099853157,22816.0,16744.0,0.582,0.42,0.01918069140626244,1500,0.23760611716352287,20
621594,15,floor,30.0,21,21,0,0,0.7,0.0,0.0,7392.0,,3.0660000000000003,,0.028456649911504428,21,,0
621594,15,ring,309.75,779,665,114,6,2.146892655367232,0.36803874092009686,0.01937046004842615,26880.0,15624.0,3.09,3.117,0.02412931683778652,665,0.17653861162230555,6
621594,15,far,4164.25,11932,9910,2022,8,2.379780272558084,0.4855616257429309,0.0019211142462628324,21552.0,15224.0,2.988,3.843,0.022089276117725376,1500,0.06788549618511297,8
621594,16,floor,34.5,154,96,58,2,2.782608695652174,1.681159420289855,0.057971014492753624,26528.0,11624.0,2.4210000000000003,2.4749999999999996,0.09111002440346283,96,0.37205220360604585,2
621594,16,ring,319.25,1313,950,363,4,2.9757243539545812,1.1370399373531714,0.012529365700861394,21824.0,9496.0,2.448,2.3760000000000003,0.040985328682694444,950,0.21668730796716318,4
621594,16,far,4200.25,13094,10958,2136,25,2.6088923278376286,0.5085411582643891,0.005952026665079459,24272.0,20608.0,2.5260000000000002,2.622,0.020424542782222943,1500,0.13504564933884922,25
621594,17,floor,98.25,220,154,66,0,1.5674300254452926,0.6717557251908397,0.0,23888.0,,0.279,,0.06416017260409035,154,,0
621594,17,ring,687.5,2104,1677,427,0,2.4392727272727273,0.6210909090909091,0.0,21760.0,,0.40800000000000003,,0.02633004716520304,1500,,0
621594,17,far,7647.0,20912,18142,2770,12,2.3724336341048775,0.36223355564273574,0.001569242840329541,22960.0,19936.0,0.7020000000000001,0.762,0.0190811456513984,1500,0.17449620610253191,12
621594,18,floor,26.25,99,59,40,5,2.2476190476190476,1.5238095238095237,0.19047619047619047,28864.0,24432.0,2.484,2.424,0.13349303744053032,59,0.23315763401365075,5
621594,18,ring,312.0,1011,794,217,0,2.5448717948717947,0.6955128205128205,0.0,27968.0,,2.5140000000000002,,0.023543794033997756,794,,0
621594,18,far,4175.75,12246,10017,2229,17,2.398850505897144,0.5337963240136503,0.004071124947614201,23312.0,14400.0,2.436,2.7960000000000003,0.02103905613304846,1500,0.19354784415151016,17
621594,19,floor,36.0,86,77,9,0,2.138888888888889,0.25,0.0,7216.0,,3.2520000000000002,,0.023932426166140885,77,,0
621594,19,ring,328.5,1013,730,283,0,2.2222222222222223,0.8614916286149162,0.0,28928.0,,3.234,,0.029613681068127562,730,,0
621594,19,far,4227.5,12212,9874,2338,13,2.335659373151981,0.5530455351862803,0.003075103489059728,22480.0,14320.0,3.186,3.948,0.02212088302874804,1500,0.10139402650247575,13
621594,20,floor,25.25,89,67,22,0,2.6534653465346536,0.8712871287128713,0.0,20048.0,,2.442,,0.10110908719599365,67,,0
621594,20,ring,304.5,1029,770,259,6,2.528735632183908,0.8505747126436781,0.019704433497536946,23120.0,24704.0,2.46,2.496,0.039940747214899375,770,0.1648396242472927,6
621594,20,far,4151.25,12094,9846,2248,22,2.3718157181571815,0.5415236374585968,0.005299608551641072,24272.0,22120.0,2.472,3.21,0.01790269051866744,1500,0.1492472988781799,22
621594,21,floor,87.0,198,188,10,0,2.160919540229885,0.11494252873563218,0.0,21040.0,,1.275,,0.05860601413721156,188,,0
621594,21,ring,666.75,1986,1758,228,8,2.6366704161979753,0.34195725534308213,0.011998500187476566,22800.0,23456.0,0.726,0.891,0.03355932252802063,1500,0.19651769920363904,8
621594,21,far,6916.0,19478,18004,1474,8,2.603238866396761,0.21312897628687102,0.001156737998843262,24032.0,18184.0,0.96,1.983,0.015981049392138402,1500,0.1699237687139714,8
621594,22,floor,20.5,56,43,13,8,2.097560975609756,0.6341463414634146,0.3902439024390244,10080.0,11744.0,5.712,5.691,0.07590453295654243,43,0.18842856466181956,8
