model,kind,threshold,split,n,touch,centroid,iou30,frac_touch,frac_centroid,frac_iou30,median_cover
pit_unet_v2,pit,0.3,val,72,72,71,69,1.0,0.9861111111111112,0.9583333333333334,0.9827196853457685
pit_unet_v2,pit,0.3,test,69,69,69,69,1.0,1.0,1.0,0.9876379056298288
pit_unet_v2,pit,0.3,heldout,141,141,140,138,1.0,0.9929078014184397,0.9787234042553191,0.9868650566674271
pit_unet_v2,pit,0.3,train,330,325,321,316,0.9848484848484849,0.9727272727272728,0.9575757575757575,0.9828775167364872
pit_unet_v2,pit,0.5,val,72,62,62,59,0.8611111111111112,0.8611111111111112,0.8194444444444444,0.6835780019696408
pit_unet_v2,pit,0.5,test,69,68,65,67,0.9855072463768116,0.9420289855072463,0.9710144927536232,0.7924979403482834
pit_unet_v2,pit,0.5,heldout,141,130,127,126,0.9219858156028369,0.900709219858156,0.8936170212765957,0.7526045118243944
pit_unet_v2,pit,0.5,train,330,305,298,293,0.9242424242424242,0.9030303030303031,0.8878787878787879,0.7460015736242429
pit_unet_v2,pit,0.6,val,72,57,56,51,0.7916666666666666,0.7777777777777778,0.7083333333333334,0.521370668480887
pit_unet_v2,pit,0.6,test,69,67,62,61,0.9710144927536232,0.8985507246376812,0.8840579710144928,0.6110411541226757
pit_unet_v2,pit,0.6,heldout,141,124,118,112,0.8794326241134752,0.8368794326241135,0.7943262411347518,0.5911467841206088
pit_unet_v2,pit,0.6,train,330,286,273,256,0.8666666666666667,0.8272727272727273,0.7757575757575758,0.5812676444296734
pit_unet_v2,pit,0.7,val,72,51,50,38,0.7083333333333334,0.6944444444444444,0.5277777777777778,0.3502823691585105
pit_unet_v2,pit,0.7,test,69,57,52,43,0.8260869565217391,0.7536231884057971,0.6231884057971014,0.45898322620925686
pit_unet_v2,pit,0.7,heldout,141,108,102,81,0.7659574468085106,0.723404255319149,0.574468085106383,0.3992389666760475
pit_unet_v2,pit,0.7,train,330,241,219,193,0.7303030303030303,0.6636363636363637,0.5848484848484848,0.39032492684735687
plat_unet,pad,0.3,val,100,100,99,71,1.0,0.99,0.71,0.9999999999999991
plat_unet,pad,0.3,test,87,87,86,54,1.0,0.9885057471264368,0.6206896551724138,0.9998377982669334
plat_unet,pad,0.3,heldout,187,187,185,125,1.0,0.9893048128342246,0.6684491978609626,0.9999999999999988
plat_unet,pad,0.3,train,397,395,395,251,0.9949622166246851,0.9949622166246851,0.6322418136020151,0.9999999999999993
plat_unet,pad,0.5,val,100,99,96,94,0.99,0.96,0.94,0.9489539753484653
plat_unet,pad,0.5,test,87,85,85,81,0.9770114942528736,0.9770114942528736,0.9310344827586207,0.9113030410076571
plat_unet,pad,0.5,heldout,187,184,181,175,0.983957219251337,0.9679144385026738,0.9358288770053476,0.9350229251274862
plat_unet,pad,0.5,train,397,392,385,376,0.9874055415617129,0.9697732997481109,0.947103274559194,0.9438704483517519
plat_unet,pad,0.6,val,100,95,90,89,0.95,0.9,0.89,0.820728188134769
plat_unet,pad,0.6,test,87,84,78,74,0.9655172413793104,0.896551724137931,0.8505747126436781,0.7209155682335271
plat_unet,pad,0.6,heldout,187,179,168,163,0.9572192513368984,0.8983957219251337,0.8716577540106952,0.7781087474464552
plat_unet,pad,0.6,train,397,382,354,356,0.9622166246851386,0.8916876574307305,0.8967254408060453,0.7812080386007321
plat_unet,pad,0.7,val,100,82,72,64,0.82,0.72,0.64,0.47451805547356285
plat_unet,pad,0.7,test,87,66,49,49,0.7586206896551724,0.5632183908045977,0.5632183908045977,0.3807128665934354
plat_unet,pad,0.7,heldout,187,148,121,113,0.7914438502673797,0.6470588235294118,0.6042780748663101,0.4164570062659134
plat_unet,pad,0.7,train,397,330,257,237,0.8312342569269522,0.6473551637279596,0.5969773299748111,0.41082023268034956
