tile,position,band,points
621594,only,below ground,30856
621594,only,at ground,1272323
621594,only,low veg,93082
621594,only,medium veg,6733
621594,only,high veg,9995
621594,only,above canopy,0
621594,first,below ground,13
621594,first,at ground,136
621594,first,low veg,48955
621594,first,medium veg,118145
621594,first,high veg,905651
621594,first,above canopy,0
621594,inter,below ground,9
621594,inter,at ground,31
621594,inter,low veg,8069
621594,inter,medium veg,20977
621594,inter,high veg,134508
621594,inter,above canopy,0
621594,last,below ground,10331
621594,last,at ground,203304
621594,last,low veg,20369
621594,last,medium veg,2625
621594,last,high veg,18374
621594,last,above canopy,0
616591,only,below ground,31183
616591,only,at ground,972495
616591,only,low veg,71560
616591,only,medium veg,3480
616591,only,high veg,24840
616591,only,above canopy,0
616591,first,below ground,40
616591,first,at ground,117
616591,first,low veg,71029
616591,first,medium veg,96476
616591,first,high veg,1591714
616591,first,above canopy,0
616591,inter,below ground,10
616591,inter,at ground,54
616591,inter,low veg,13815
616591,inter,medium veg,18991
616591,inter,high veg,316992
616591,inter,above canopy,0
616591,last,below ground,18807
616591,last,at ground,321656
616591,last,low veg,29600
616591,last,medium veg,1643
616591,last,high veg,30862
616591,last,above canopy,0
615591,only,below ground,28135
615591,only,at ground,880413
615591,only,low veg,72528
615591,only,medium veg,8463
615591,only,high veg,246774
615591,only,above canopy,0
615591,first,below ground,9
615591,first,at ground,68
615591,first,low veg,94253
615591,first,medium veg,209789
615591,first,high veg,2642267
615591,first,above canopy,0
615591,inter,below ground,8
615591,inter,at ground,69
615591,inter,low veg,35102
615591,inter,medium veg,97852
615591,inter,high veg,735381
615591,inter,above canopy,0
615591,last,below ground,31520
615591,last,at ground,409454
615591,last,low veg,56371
615591,last,medium veg,20322
615591,last,high veg,453762
615591,last,above canopy,0
613591,only,below ground,25600
613591,only,at ground,1088810
613591,only,low veg,36637
613591,only,medium veg,6718
613591,only,high veg,54201
613591,only,above canopy,0
613591,first,below ground,31
613591,first,at ground,43
613591,first,low veg,83245
613591,first,medium veg,173023
613591,first,high veg,1953765
613591,first,above canopy,0
613591,inter,below ground,21
613591,inter,at ground,36
613591,inter,low veg,21159
613591,inter,medium veg,45881
613591,inter,high veg,418967
613591,inter,above canopy,0
613591,last,below ground,20944
613591,last,at ground,466789
613591,last,low veg,21158
613591,last,medium veg,5368
613591,last,high veg,83232
613591,last,above canopy,0
