tile,n_returns,points,share,share_class1,share_ground
621594,1,6646366,0.742085048133501,0.21259572524293727,0.7874032215499417
621594,2,1846776,0.20619762090318144,0.6195954463345853,0.3803428244681542
621594,3,410388,0.045820949182366906,0.7415713909763444,0.25837743793678175
621594,4,48633,0.005430008239973025,0.8093681245244998,0.1905907511360599
621594,5,3977,0.0004440429907752497,0.8486296203168218,0.15111893386975106
621594,6,192,2.143732819432938e-05,0.8697916666666666,0.13020833333333334
621594,8,8,8.932220080970575e-07,0.875,0.125
616591,1,5594094,0.5909563020828271,0.1972719800561092,0.8009690219721013
616591,2,2892197,0.30552973260997157,0.6144173443233638,0.3849893350971597
616591,3,845929,0.08936336673367017,0.7408624128029657,0.25875221206507876
616591,4,123782,0.013076246660212808,0.8040829846019615,0.1956746538268892
616591,5,9735,0.0010283988078813695,0.838828967642527,0.1610683102208526
616591,6,428,4.521363017701347e-05,0.8644859813084113,0.13551401869158877
616591,7,7,7.39475259904426e-07,0.8571428571428571,0.14285714285714285
615591,1,5330403,0.4408145007578459,0.23193612190297808,0.7680616268601079
615591,2,4429227,0.36628890700162287,0.6567960955715297,0.34311856222315995
615591,3,1828832,0.15124103469286898,0.7922548380605764,0.20766751675386258
615591,4,436873,0.03612859166362889,0.8473354956703665,0.15261185745056344
615591,5,62189,0.005142915645895757,0.8675328434289022,0.13241891652864654
615591,6,4511,0.00037305138334168034,0.8825094214143205,0.11749057858567945
615591,7,133,1.0998854795930721e-05,0.8796992481203008,0.12030075187969924
613591,1,5541840,0.5300344130617564,0.21869379123179306,0.7809052589031802
613591,2,3563245,0.3407970046356874,0.6329227993023213,0.3669826239845983
613591,3,1146331,0.10963775185849757,0.7586883718576921,0.24126015958741412
613591,4,185427,0.017734667747679886,0.8226148295555663,0.17731506199205077
613591,5,17672,0.001690191010138755,0.8590425531914894,0.14095744680851063
613591,6,1059,0.00010128521275107184,0.8838526912181303,0.11614730878186968
613591,7,49,4.686473488954221e-06,0.8775510204081632,0.12244897959183673
