points,lines,ground_pct,max_ang,cut,lost,flown,area,colour,tile
8855007,2,67.70074828851067,19.59600067138672,18.0,1119189,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF619593
11640087,2,57.101196924043606,28.998001098632812,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE565467
9275751,3,61.94173388224845,19.469999313354492,18.0,986865,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF609593
10983798,2,61.04571478827269,19.40399932861328,18.0,1130049,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF615594
10379355,3,57.99106013812997,19.6560001373291,18.0,1142925,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF624594
11035449,3,51.30144681924587,19.757999420166016,18.0,1138938,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPG610602
9562965,2,63.862714126842455,19.9320011138916,18.0,1280703,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPG618600
7344360,3,40.65658546149699,28.998001098632812,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1423n2235
8150241,2,48.94379196885098,28.998001098632812,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1424n2235
8836779,2,43.6679812859414,28.998001098632812,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1425n2235
8910798,2,34.29093555930681,28.998001098632812,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1426n2235
9614628,2,37.43823473981521,28.998001098632812,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2235
7900038,2,42.15629089379064,28.998001098632812,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2235
7821264,2,39.36560637769036,28.998001098632812,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1429n2235
