points,lines,ground_pct,max_ang,cut,lost,flown,area,colour,tile,block
7344360,3,40.65658546149699,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1423n2235,McKean 2019-04
5902974,2,54.81399714787835,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1423n2236,McKean 2019-04
8467629,2,40.39513304137439,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1423n2237,McKean 2019-04
9582072,2,38.96097837711927,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1423n2238,McKean 2019-04
12328761,2,28.281893046673545,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1423n2239,McKean 2019-04
13090710,2,25.71978907179213,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1423n2240,McKean 2019-04
11898327,2,23.662839321864325,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1423n2241,McKean 2019-04
11079072,2,36.188364873881135,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1424n2234,McKean 2019-04
8150241,2,48.94379196885098,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1424n2235,McKean 2019-04
7330722,2,46.02815384350955,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1424n2236,McKean 2019-04
9171021,2,31.303755601475565,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1424n2237,McKean 2019-04
6975753,3,44.05365270243944,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1424n2238,McKean 2019-04
9840612,2,34.8106093401508,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1424n2239,McKean 2019-04
13056990,2,26.09900903653905,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1424n2240,McKean 2019-04
12952569,2,26.31979030569148,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1424n2241,McKean 2019-04
8101278,2,43.27554245145026,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1425n2234,McKean 2019-04
8836779,2,43.6679812859414,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1425n2235,McKean 2019-04
9803547,2,39.24352073795331,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1425n2236,McKean 2019-04
12248355,2,28.42344135192032,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1425n2237,McKean 2019-04
9762207,2,33.992671943956935,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1425n2238,McKean 2019-04
9692784,2,33.139828556996626,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1425n2239,McKean 2019-04
9510258,2,32.534385502475324,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1425n2240,McKean 2019-04
9128043,3,29.32091796675366,30.0,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1425n2241,McKean 2019-04
6082368,2,52.62575365384008,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1426n2234,McKean 2019-04
8910798,2,34.29093555930681,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1426n2235,McKean 2019-04
9440859,3,32.62594007600368,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1426n2236,McKean 2019-04
10842360,2,31.56594136331943,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1426n2237,McKean 2019-04
9186099,2,38.20118855675298,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1426n2238,McKean 2019-04
11351034,2,35.359060681167904,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1426n2239,McKean 2019-04
12202248,2,29.83186376805323,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1426n2240,McKean 2019-04
11975448,2,31.724257831523296,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1426n2241,McKean 2019-04
9776829,2,37.82978100568191,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2234,McKean 2019-04
9614628,2,37.43823473981521,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2235,McKean 2019-04
11722803,2,31.95623094579001,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2236,McKean 2019-04
11032827,2,32.03252439288679,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2237,McKean 2019-04
7566291,2,42.19179516093156,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2238,McKean 2019-04
8468301,3,36.83981001620042,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2239,McKean 2019-04
9200040,2,34.54021939035048,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2240,McKean 2019-04
10861278,2,32.194553900563086,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2241,McKean 2019-04
10086789,2,33.0473850498905,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2242,McKean 2019-04
7900038,2,42.15629089379064,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2235,McKean 2019-04
8966547,2,39.67186030475276,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2236,McKean 2019-04
10129740,2,36.11953515095156,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2237,McKean 2019-04
8848248,2,42.09396029586874,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2238,McKean 2019-04
10655304,2,31.70806764405783,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2239,McKean 2019-04
8874129,2,34.70277477372709,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2240,McKean 2019-04
8424783,2,29.49344808050249,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2241,McKean 2019-04
