area,tile,flown,points,ground_pct,ground_stops,data_stops,gap,barred_pct,pts_beyond,error
McKean,e1423n2235,2019-04-04,7344359.0,40.66560471785217,28.75,28.75,0.0,0.0,0.0,
McKean,e1423n2236,2019-04-04,5902974.0,54.83752765978641,28.75,28.75,0.0,0.0,0.0,
McKean,e1423n2237,2019-04-04,8467630.0,40.402391223990655,30.25,30.25,0.0,0.0,0.0,
McKean,e1423n2238,2019-04-04,9582072.0,38.93376088178005,30.25,30.25,0.0,0.0,0.0,
McKean,e1423n2239,2019-04-04,12328760.0,28.281684451639904,30.25,30.25,0.0,0.0,0.0,
McKean,e1423n2240,2019-04-04,13090711.0,25.721689219172283,30.25,30.25,0.0,0.0,0.0,
McKean,e1423n2241,2019-04-04,11898326.0,23.645931368832894,30.25,30.25,0.0,0.0,0.0,
McKean,e1424n2234,2019-04-04,11079071.0,36.18969496630178,30.25,30.25,0.0,0.0,0.0,
McKean,e1424n2235,2019-04-04,8150242.0,48.94347922429788,28.75,28.75,0.0,0.0,0.0,
McKean,e1424n2236,2019-04-04,7330721.0,46.0010004472957,28.75,28.75,0.0,0.0,65.0,
McKean,e1424n2237,2019-04-04,9171020.0,31.271123604571795,30.25,30.25,0.0,0.0,0.0,
McKean,e1424n2238,2019-04-04,6975752.0,44.07503305736786,28.75,28.75,0.0,0.0,0.0,
McKean,e1424n2239,2019-04-04,9840612.0,34.800183159340094,28.75,28.75,0.0,0.0,5.0,
McKean,e1424n2240,2019-04-04,13056990.0,26.08631085724964,28.75,28.75,0.0,0.0,60.0,
McKean,e1424n2241,2019-04-04,12952569.0,26.30254276198027,30.25,30.25,0.0,0.0,0.0,
McKean,e1425n2234,2019-04-04,8101278.0,43.314573330281966,28.75,28.75,0.0,0.0,0.0,
McKean,e1425n2235,2019-04-04,8836778.0,43.71141834727544,28.75,28.75,0.0,0.0,0.0,
McKean,e1425n2236,2019-04-04,9803548.0,39.248759734740936,28.75,28.75,0.0,0.0,0.0,
McKean,e1425n2237,2019-04-04,12248354.0,28.41092770506143,28.75,28.75,0.0,0.0,0.0,
McKean,e1425n2238,2019-04-04,9762207.0,33.97326034983688,30.25,30.25,0.0,0.0,0.0,
McKean,e1425n2239,2019-04-04,9692784.0,33.11192119828524,28.75,28.75,0.0,0.0,0.0,
McKean,e1425n2240,2019-04-04,9510259.0,32.512668687572024,28.75,28.75,0.0,0.0,0.0,
McKean,e1425n2241,2019-04-04,9128042.0,29.306087767781964,30.25,30.25,0.0,0.0,0.0,
McKean,e1426n2234,2019-04-04,6082369.0,52.62135526470032,28.75,28.75,0.0,0.0,0.0,
McKean,e1426n2235,2019-04-04,8910799.0,34.289876811271355,28.75,28.75,0.0,0.0,0.0,
McKean,e1426n2236,2019-04-04,9440860.0,32.58166099274854,28.75,28.75,0.0,0.0,0.0,
McKean,e1426n2237,2019-04-04,10842361.0,31.56302395760481,28.75,30.25,1.5,4.958677685950414,209.0,
McKean,e1426n2238,2019-04-04,9186100.0,38.189090038209905,28.75,28.75,0.0,0.0,0.0,
McKean,e1426n2239,2019-04-04,11351035.0,35.35847612134047,28.75,28.75,0.0,0.0,0.0,
McKean,e1426n2240,2019-04-04,12202249.0,29.82388738338318,30.25,30.25,0.0,0.0,0.0,
McKean,e1426n2241,2019-04-04,11975448.0,31.717869761532096,30.25,30.25,0.0,0.0,0.0,
McKean,e1427n2234,2019-04-04,9776828.0,37.82014984819207,28.75,28.75,0.0,0.0,7.0,
McKean,e1427n2235,2019-04-04,9614629.0,37.47847160821286,28.75,30.25,1.5,4.958677685950414,142.0,
McKean,e1427n2236,2019-04-04,11722804.0,31.986297817484623,28.75,28.75,0.0,0.0,0.0,
McKean,e1427n2237,2019-04-04,11032826.0,32.04420154908634,28.75,30.25,1.5,4.958677685950414,162.0,
McKean,e1427n2238,2019-04-04,7566292.0,42.18569677194589,28.75,28.75,0.0,0.0,0.0,
McKean,e1427n2239,2019-04-04,8468300.0,36.827793063542856,28.75,28.75,0.0,0.0,0.0,
McKean,e1427n2240,2019-04-04,9200040.0,34.54291503080422,28.75,28.75,0.0,0.0,0.0,
McKean,e1427n2241,2019-04-04,10861278.0,32.2250659636923,28.75,28.75,0.0,0.0,0.0,
McKean,e1427n2242,2019-04-04,10086788.0,33.04654563970215,28.75,28.75,0.0,0.0,0.0,
McKean,e1428n2235,2019-04-04,7900039.0,42.15527290434895,28.75,28.75,0.0,0.0,0.0,
McKean,e1428n2236,2019-04-04,8966548.0,39.65259540237781,28.75,28.75,0.0,0.0,0.0,
McKean,e1428n2237,2019-04-04,10129739.0,36.12910460970416,28.75,28.75,0.0,0.0,0.0,
McKean,e1428n2238,2019-04-04,8848247.0,42.0530077878703,28.75,28.75,0.0,0.0,0.0,
McKean,e1428n2239,2019-04-04,10655303.0,31.690867918068587,28.75,28.75,0.0,0.0,0.0,
McKean,e1428n2240,2019-04-04,8874128.0,34.69954456370248,28.75,28.75,0.0,0.0,0.0,
McKean,e1428n2241,2019-04-04,8424783.0,29.46004662672024,28.75,28.75,0.0,0.0,0.0,
McKean,e1428n2242,2019-04-04,7575158.0,31.363451428999895,28.75,28.75,0.0,0.0,8.0,
McKean,e1429n2235,2019-04-04,7821263.0,39.34760920327062,28.75,28.75,0.0,0.0,0.0,
McKean,e1429n2236,2019-04-04,7422424.0,39.41341804240771,28.75,28.75,0.0,0.0,0.0,
McKean,e1429n2237,2019-04-04,8701780.0,36.34859764324081,30.25,30.25,0.0,0.0,0.0,
McKean,e1429n2238,2019-04-04,10132075.0,34.50121520024279,30.25,30.25,0.0,0.0,0.0,
McKean,e1429n2239,2019-04-04,11684313.0,31.804189086683998,30.25,30.25,0.0,0.0,0.0,
McKean,e1429n2240,2019-04-04,11921215.0,30.745624502200492,30.25,30.25,0.0,0.0,0.0,
McKean,e1429n2241,2019-04-04,11700187.0,28.49835647925969,30.25,30.25,0.0,0.0,0.0,
McKean,e1429n2242,2019-04-04,11068908.0,29.67182489907767,28.75,30.25,1.5,4.958677685950414,291.0,
McKean,e1430n2235,2019-04-04,11472250.0,34.538551722635056,28.75,30.25,1.5,4.958677685950414,225.0,
McKean,e1430n2236,2019-04-04,10399377.0,39.15719182024077,28.75,28.75,0.0,0.0,0.0,
McKean,e1430n2237,2019-04-04,11993142.0,32.95905276532205,28.75,28.75,0.0,0.0,0.0,
Venango,008_002886,2011-09-14,3487965.0,77.57038846433379,0.25,0.25,0.0,0.0,0.0,
Venango,008_002887,2011-09-14,3730582.0,67.74253990396136,0.25,0.25,0.0,0.0,0.0,
Venango,008_003021,2011-09-14,3402903.0,65.76955029279412,0.25,0.25,0.0,0.0,0.0,
Venango,008_003022,2011-09-14,3629368.0,54.45479763969925,0.25,0.25,0.0,0.0,0.0,
Venango,008_003023,2011-09-14,3525821.0,60.14809033130156,0.25,0.25,0.0,0.0,0.0,
Venango,17TNE562464,2019-11-26,10944747.0,65.63867579579501,28.75,28.75,0.0,0.0,0.0,
Venango,17TNE562465,2019-11-26,12076860.0,59.88945802137311,28.75,28.75,0.0,0.0,0.0,
Venango,17TNE562467,2019-11-26,11937523.0,58.9743533897275,28.75,28.75,0.0,0.0,0.0,
Venango,17TNE562468,2019-11-26,12905099.0,54.7300876963439,28.75,28.75,0.0,0.0,0.0,
Venango,17TNE564464,2019-11-26,10751228.0,65.97356134573651,31.25,31.25,0.0,0.0,0.0,
Venango,17TNE564465,2019-11-26,13049865.0,53.96697207212489,31.25,31.25,0.0,0.0,0.0,
Venango,17TNE564467,2019-11-26,12450400.0,56.06379714707961,31.25,31.25,0.0,0.0,0.0,
Venango,17TNE564468,2019-11-26,11228016.0,55.934289726697926,31.25,31.25,0.0,0.0,0.0,
Venango,17TNE565464,2019-11-26,11112339.0,64.6083961261441,31.25,31.25,0.0,0.0,0.0,
Venango,17TNE565465,2019-11-26,12541786.0,54.050276411987895,30.25,30.25,0.0,0.0,0.0,
Venango,17TNE565467,2019-11-26,11640088.0,57.10112329047684,30.25,30.25,0.0,0.0,0.0,
Venango,17TNE565468,2019-11-26,11858616.0,56.98048574977046,31.25,31.25,0.0,0.0,0.0,
Venango,17TNE567464,2019-11-26,11893508.0,56.11781654327722,31.25,31.25,0.0,0.0,0.0,
Venango,17TNE567465,2019-11-26,12220109.0,55.72302996642665,31.25,31.25,0.0,0.0,0.0,
Venango,17TNE567467,2019-11-26,11988016.0,58.96559530784744,31.25,31.25,0.0,0.0,0.0,
Venango,17TNE567468,2019-11-26,12094860.0,57.24563988338848,31.25,31.25,0.0,0.0,0.0,
Venango,17TPF604590,2020-03-05,22915034.0,43.10375450457547,28.75,28.75,0.0,0.0,63.0,
Venango,17TPF604590,2020-03-05,22915034.0,43.10375450457547,28.75,28.75,0.0,0.0,63.0,
Venango,17TPF604591,2020-03-07,11909816.0,60.74784026890087,28.75,28.75,0.0,0.0,0.0,
Venango,17TPF604591,2020-03-07,11909816.0,60.74784026890087,28.75,28.75,0.0,0.0,0.0,
Venango,17TPF604593,2020-03-07,12503474.0,57.16372105864338,28.75,28.75,0.0,0.0,0.0,
Venango,17TPF604593,2020-03-07,12503474.0,57.16372105864338,28.75,28.75,0.0,0.0,0.0,
Venango,17TPF604594,2020-03-07,11825799.0,62.81518060640131,28.75,28.75,0.0,0.0,0.0,
Venango,17TPF604594,2020-03-07,11825799.0,62.81518060640131,28.75,28.75,0.0,0.0,0.0,
Venango,17TPF604596,2020-03-07,12617990.0,58.35725024350153,28.75,28.75,0.0,0.0,0.0,
Venango,17TPF604597,2020-03-07,13805388.0,52.26962835090183,28.75,28.75,0.0,0.0,0.0,
Venango,17TPF604599,2020-03-07,13240708.0,51.97061214551367,28.75,28.75,0.0,0.0,0.0,
Venango,17TPF606590,2020-03-05,9517802.0,62.83200680157036,17.75,19.25,1.5,7.792207792207792,1532162.0,
Venango,17TPF606591,2020-03-16,9374402.0,67.30563720224501,17.75,19.75,2.0,10.126582278481013,1504405.0,
Venango,17TPF606593,2020-03-16,9334447.0,64.60901218893845,17.75,19.75,2.0,10.126582278481013,1497015.0,
Venango,17TPF606594,2020-03-16,8996501.0,69.65125663855315,17.75,19.75,2.0,10.126582278481013,1374085.0,
Venango,17TPF606596,2020-03-16,8959577.0,68.66580866485104,17.75,19.75,2.0,10.126582278481013,1491743.0,
Venango,17TPF606597,2020-03-16,9704508.0,62.98046227588251,17.75,19.75,2.0,10.126582278481013,2123377.0,
Venango,17TPF606599,2020-03-16,10101274.0,62.65828448965942,17.75,19.25,1.5,7.792207792207792,2157025.0,
Venango,17TPF607590,2020-03-16,9352949.0,64.09290802291342,17.75,19.25,1.5,7.792207792207792,1426532.0,
Venango,17TPF607591,2020-03-16,9456677.0,63.45140052895959,17.75,19.25,1.5,7.792207792207792,1763211.0,
Venango,17TPF607593,2020-03-16,9163968.0,63.19613948892009,17.75,19.25,1.5,7.792207792207792,1685624.0,
Venango,17TPF607594,2020-03-16,10638492.0,63.76843635357342,17.75,19.25,1.5,7.792207792207792,1982666.0,
Venango,17TPF607596,2020-03-16,9727158.0,62.56488277459871,17.75,19.25,1.5,7.792207792207792,1916404.0,
Venango,17TPF607597,2020-03-16,9113955.0,70.71684027406323,17.75,19.25,1.5,7.792207792207792,1326153.0,
Venango,17TPF607599,2020-03-16,9300796.0,73.24298909469684,17.75,19.25,1.5,7.792207792207792,1291135.0,
Venango,17TPF609590,2020-03-16,10250038.0,63.34626271629432,17.75,19.75,2.0,10.126582278481013,1771470.0,
