area,tile,angle,at_ground_returns,pct_called_ground
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,0.5,108921,98.68895805216626
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,1.5,109347,98.76539822766055
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,2.5,109304,98.93965454146235
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,3.5,110294,99.13413240974124
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,4.5,110829,99.11034115619557
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,5.5,123696,99.03634717371621
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,6.5,153384,99.00511135450894
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,7.5,118554,98.99455100629248
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,8.5,107366,98.45947506659463
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,9.5,107613,98.3440662373505
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,10.5,107362,97.93595499338686
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,11.5,106387,97.1293485106263
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,12.5,106753,97.09610034378426
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,13.5,107224,97.33361933895397
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,14.5,107765,97.61796501647102
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,15.5,111793,91.99681554301253
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,16.5,118804,88.67378202754117
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,17.5,136652,89.5186312677458
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,18.5,197308,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF619593,19.5,175755,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,0.5,54310,98.06481310992451
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,1.5,165918,97.93030292071987
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,3.5,54672,97.773997658765
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,4.5,109750,97.6118451025057
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,6.5,55170,97.70346202646365
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,7.5,109951,97.53708470136698
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,9.5,55470,97.3246800072111
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,10.5,111547,98.05194223062924
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,12.5,55009,98.22210910941845
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,13.5,168571,98.21618190554722
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,15.5,110074,98.24209168377637
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,16.5,218337,98.10476465280735
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,18.5,108366,98.31404684126016
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,19.5,215598,97.89098229111588
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,21.5,106432,97.61725796752856
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,22.5,211136,96.60787359806002
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,24.5,103560,88.3796832753959
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,25.5,207405,73.25908247149297
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,27.5,95171,64.77183175547174
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,28.5,72769,57.51212741689456
"PA WesternPA 2019 D20  (Venango, QL2)",17TNE565467,29.5,600,58.833333333333336
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,0.5,77420,98.3802634978042
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,1.5,89305,97.75152567045518
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,2.5,100012,97.48530176378834
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,3.5,101330,97.21109247014704
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,4.5,100517,97.18555070286618
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,5.5,99987,97.40966325622331
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,6.5,100683,97.66395518607908
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,7.5,100890,97.86401030825652
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,8.5,99685,97.77800070221197
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,9.5,100001,97.6890231097689
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,10.5,100343,97.52249783243475
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,11.5,100634,97.33390305463362
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,12.5,102048,96.51438538726873
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,13.5,113243,94.31841261711541
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,14.5,153730,92.62733363689586
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,15.5,156074,91.50659302638492
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,16.5,126392,90.6655484524337
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,17.5,185386,90.34986460682036
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,18.5,247335,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF609593,19.5,81620,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,0.5,119729,99.44207334897978
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,1.5,119882,99.36270666155053
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,2.5,119077,99.40626653341955
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,3.5,119806,99.51671869522394
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,4.5,119718,99.53473997226816
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,5.5,118843,99.5304729769528
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,6.5,119482,99.4384091327564
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,7.5,119040,99.34307795698925
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,8.5,118244,99.26085044484286
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,9.5,123572,99.05803903796976
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,10.5,164273,98.43431361209693
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,11.5,168703,97.99055144247582
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,12.5,147720,97.84660167885188
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,13.5,123524,97.77371199119199
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,14.5,115467,91.3092052274676
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,15.5,119856,87.48414764383926
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,16.5,128807,87.03641882816927
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,17.5,151199,86.14739515472985
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,18.5,237382,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF615594,19.5,139301,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,0.5,199622,98.75815290899801
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,1.5,147177,98.45016544704676
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,2.5,106435,98.59820547752149
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,3.5,106028,98.45889764967744
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,4.5,105154,98.46225535880708
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,5.5,103119,98.63846623803568
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,6.5,104437,98.25732259639783
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,7.5,104830,98.24763903462748
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,8.5,104478,97.95267903290646
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,9.5,105957,97.59713846182886
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,10.5,105535,97.65764912114464
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,11.5,104372,97.72831793967731
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,12.5,105770,97.97768743500048
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,13.5,106138,97.201756204187
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,14.5,106351,91.3428176509859
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,15.5,110581,89.95487470722819
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,16.5,119320,89.6371102916527
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,17.5,138189,88.96728393721642
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,18.5,208605,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPF624594,19.5,172370,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,0.5,103155,98.74654645921187
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,1.5,105156,98.64772338240329
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,2.5,104450,98.6242221158449
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,3.5,102490,98.57059225290273
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,4.5,101642,98.20841778005155
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,5.5,99652,98.05322522377875
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,6.5,98786,98.2558257242929
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,7.5,96786,98.07720124811439
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,8.5,98284,98.20621871311708
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,9.5,100981,98.40861152097919
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,10.5,99751,98.22959168329139
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,11.5,117486,98.07381305006554
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,12.5,149551,98.05751883972692
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,13.5,146973,96.11221108639002
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,14.5,100088,91.65834066021901
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,15.5,97334,89.74048122958061
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,16.5,112044,88.06004783834922
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,17.5,131646,85.98742081035505
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,18.5,194489,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG610602,19.5,185157,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,0.5,108153,99.53954120551441
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,1.5,108433,99.42084051903018
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,2.5,107975,99.47210002315352
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,3.5,110619,99.63749446297653
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,4.5,144599,99.54978941763083
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,5.5,159080,99.4908222278099
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,6.5,145494,99.50719617303805
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,7.5,110679,99.45337417215552
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,8.5,104018,99.3443442481109
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,9.5,104844,99.29132806836824
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,10.5,105204,99.28139614463328
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,11.5,104622,99.41312534648544
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,12.5,105183,99.39819172299707
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,13.5,105133,99.19054911397943
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,14.5,105142,98.74075060394514
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,15.5,108499,93.28104406492226
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,16.5,114453,90.7245769005618
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,17.5,126995,88.1782747352258
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,18.5,161219,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,19.5,265490,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",17TPG618600,20.5,192,0.0
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,0.5,31070,97.17734148696492
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,1.5,126921,97.6032335074574
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,3.5,63477,97.91893126644297
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,4.5,131046,98.04190894800298
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,6.5,66898,98.1090615563993
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,7.5,133400,98.19340329835083
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,9.5,66475,97.99623918766454
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,10.5,132526,97.73252041108914
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,12.5,63625,97.45540275049116
"PA Northcentral 2019 B19  (McKean, QL1)",e1423n2235,13.5,103377,97.34853981059617
