area,block,tile,angle,at_ground_returns,pct_called_ground
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,0.5,108921,98.68895805216626
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,1.5,109347,98.76539822766055
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,2.5,109304,98.93965454146236
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,3.5,110294,99.13413240974124
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,4.5,110829,99.11034115619556
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,5.5,123696,99.0363471737162
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,6.5,153384,99.00511135450894
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,7.5,118554,98.99455100629248
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,8.5,107366,98.45947506659463
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,9.5,107613,98.3440662373505
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,10.5,107362,97.93595499338686
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,11.5,106387,97.1293485106263
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,12.5,106753,97.09610034378426
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,13.5,107224,97.33361933895397
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,14.5,107765,97.61796501647102
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,15.5,111793,91.99681554301252
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,16.5,118804,88.67378202754117
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619593,17.5,136652,89.5186312677458
