feature,metric,n_cells_in,n_cells_ring,inside,ring,delta,mean_in,mean_ring,cliffs_delta,p
621594/pad,cover,5584,11042,0.07959573715925217,0.05819598212838173,0.021399755030870438,0.1523006558418274,0.13728384673595428,0.04661202430725098,6.598063464480219e-07
621594/pad,under,5584,11042,0.0,0.0,0.0,0.019373152405023575,0.016194092109799385,0.07098281383514404,3.790308553804132e-19
621594/pad,penetration,5584,11042,0.17942968010902405,0.13378039002418518,0.04564929008483887,0.2498982548713684,0.22303763031959534,0.06693696975708008,1.3243237886526038e-12
621594/pad,h95,3427,6236,14.248285293579102,16.962907791137695,-2.7146224975585938,13.226972579956055,15.55105972290039,-0.2420969009399414,0.0
621594/pit,cover,130,3717,0.07619738578796387,0.0810810774564743,-0.004883691668510437,0.1300750970840454,0.1557442992925644,-0.034705400466918945,0.4965085983276367
621594/pit,under,130,3717,0.0,0.0,0.0,0.02333596721291542,0.02076295018196106,0.004662513732910156,0.9165425896644592
621594/pit,penetration,130,3717,0.20185184478759766,0.18390804529190063,0.01794379949569702,0.2351253181695938,0.25503915548324585,-0.024165451526641846,0.638075590133667
621594/pit,h95,86,2314,14.193714141845703,15.497005462646484,-1.3032913208007812,12.617701530456543,14.130400657653809,-0.14105242490768433,0.02613954432308674
616591/pit,cover,86,2394,0.17096081376075745,0.19148936867713928,-0.020528554916381836,0.2100321352481842,0.2386372834444046,-0.0401342511177063,0.5258994102478027
616591/pit,under,86,2394,0.0,0.0,0.0,0.012204703874886036,0.010211980901658535,0.04816794395446777,0.31440407037734985
616591/pit,penetration,86,2394,0.3539658784866333,0.3479968309402466,0.005969047546386719,0.3332289457321167,0.3647541403770447,-0.05676013231277466,0.3702782988548279
616591/pit,h95,67,1817,19.57788848876953,21.249629974365234,-1.6717414855957031,18.94244956970215,20.43160057067871,-0.2028355598449707,0.004754234105348587
615591/pit,cover,50,1322,0.17862838506698608,0.2270384281873703,-0.048410043120384216,0.19543245434761047,0.25223827362060547,-0.17438727617263794,0.03610197454690933
615591/pit,under,50,1322,0.0,0.0,0.0,0.005229207221418619,0.011199599131941795,-0.1262783408164978,0.0721382200717926
615591/pit,penetration,50,1322,0.37021514773368835,0.4077804982662201,-0.03756535053253174,0.33464986085891724,0.40139368176460266,-0.17090773582458496,0.03999818116426468
615591/pit,h95,39,1182,19.970096588134766,22.14444351196289,-2.174346923828125,18.758352279663086,20.805559158325195,-0.25614994764328003,0.006435399409383535
613591/pit,cover,26,877,0.20502644777297974,0.29411765933036804,-0.0890912115573883,0.2406197488307953,0.30589720606803894,-0.14529424905776978,0.2061302363872528
613591/pit,under,26,877,0.0,0.0,0.0,0.0283694788813591,0.023368332535028458,0.062494516372680664,0.5397666692733765
613591/pit,penetration,26,877,0.3521360754966736,0.4819277226924896,-0.12979164719581604,0.37201642990112305,0.45564234256744385,-0.17480921745300293,0.12839938700199127
613591/pit,h95,20,740,17.3690185546875,20.175277709960938,-2.8062591552734375,15.132296562194824,18.549280166625977,-0.361621618270874,0.005750587675720453
