model,fold,block_id,thr,tau,n_gt,tp_gt,n_pred,tp_pred,split
pad,0,-1,0.05,0.3,96,0,40,0,val
pad,0,-1,0.05,0.5,96,0,40,0,val
pad,0,6,0.05,0.3,1,0,2,0,heldout
pad,0,12,0.05,0.3,6,0,0,0,heldout
pad,0,22,0.05,0.3,2,0,5,0,heldout
pad,0,24,0.05,0.3,5,0,1,0,heldout
pad,0,48,0.05,0.3,9,0,4,0,heldout
pad,0,73,0.05,0.3,10,0,0,0,heldout
pad,0,83,0.05,0.3,6,0,1,0,heldout
pad,0,84,0.05,0.3,7,0,0,0,heldout
pad,0,87,0.05,0.3,5,0,0,0,heldout
pad,0,89,0.05,0.3,5,0,3,0,heldout
pad,0,90,0.05,0.3,6,0,2,0,heldout
pad,0,94,0.05,0.3,3,0,0,0,heldout
pad,0,95,0.05,0.3,9,0,0,0,heldout
pad,0,105,0.05,0.3,8,0,5,0,heldout
pad,0,115,0.05,0.3,3,0,0,0,heldout
pad,0,118,0.05,0.3,6,0,5,0,heldout
pad,0,126,0.05,0.3,2,0,1,0,heldout
pad,0,127,0.05,0.3,3,0,0,0,heldout
pad,0,130,0.05,0.3,4,0,5,0,heldout
pad,0,131,0.05,0.3,4,0,0,0,heldout
pad,0,132,0.05,0.3,6,0,3,0,heldout
pad,0,135,0.05,0.3,6,0,0,0,heldout
pad,0,136,0.05,0.3,6,0,1,0,heldout
pad,0,138,0.05,0.3,8,0,3,0,heldout
pad,0,6,0.05,0.5,1,0,2,0,heldout
pad,0,12,0.05,0.5,6,0,0,0,heldout
pad,0,22,0.05,0.5,2,0,5,0,heldout
pad,0,24,0.05,0.5,5,0,1,0,heldout
pad,0,48,0.05,0.5,9,0,4,0,heldout
pad,0,73,0.05,0.5,10,0,0,0,heldout
pad,0,83,0.05,0.5,6,0,1,0,heldout
pad,0,84,0.05,0.5,7,0,0,0,heldout
pad,0,87,0.05,0.5,5,0,0,0,heldout
pad,0,89,0.05,0.5,5,0,3,0,heldout
pad,0,90,0.05,0.5,6,0,2,0,heldout
pad,0,94,0.05,0.5,3,0,0,0,heldout
pad,0,95,0.05,0.5,9,0,0,0,heldout
pad,0,105,0.05,0.5,8,0,5,0,heldout
pad,0,115,0.05,0.5,3,0,0,0,heldout
pad,0,118,0.05,0.5,6,0,5,0,heldout
pad,0,126,0.05,0.5,2,0,1,0,heldout
pad,0,127,0.05,0.5,3,0,0,0,heldout
pad,0,130,0.05,0.5,4,0,5,0,heldout
pad,0,131,0.05,0.5,4,0,0,0,heldout
pad,0,132,0.05,0.5,6,0,3,0,heldout
pad,0,135,0.05,0.5,6,0,0,0,heldout
pad,0,136,0.05,0.5,6,0,1,0,heldout
pad,0,138,0.05,0.5,8,0,3,0,heldout
pad,0,-1,0.075,0.3,96,0,37,0,val
pad,0,-1,0.075,0.5,96,0,37,0,val
pad,0,6,0.075,0.3,1,0,2,0,heldout
pad,0,12,0.075,0.3,6,0,0,0,heldout
pad,0,22,0.075,0.3,2,0,2,0,heldout
pad,0,24,0.075,0.3,5,0,0,0,heldout
pad,0,48,0.075,0.3,9,0,1,0,heldout
pad,0,73,0.075,0.3,10,0,0,0,heldout
pad,0,83,0.075,0.3,6,0,1,0,heldout
pad,0,84,0.075,0.3,7,0,1,0,heldout
pad,0,87,0.075,0.3,5,0,1,0,heldout
pad,0,89,0.075,0.3,5,0,2,0,heldout
pad,0,90,0.075,0.3,6,0,2,0,heldout
pad,0,94,0.075,0.3,3,0,0,0,heldout
pad,0,95,0.075,0.3,9,0,0,0,heldout
pad,0,105,0.075,0.3,8,0,3,0,heldout
pad,0,115,0.075,0.3,3,0,0,0,heldout
pad,0,118,0.075,0.3,6,0,2,0,heldout
pad,0,126,0.075,0.3,2,0,0,0,heldout
pad,0,127,0.075,0.3,3,0,1,0,heldout
pad,0,130,0.075,0.3,4,0,2,0,heldout
pad,0,131,0.075,0.3,4,0,2,0,heldout
pad,0,132,0.075,0.3,6,0,5,0,heldout
pad,0,135,0.075,0.3,6,0,3,0,heldout
pad,0,136,0.075,0.3,6,0,1,0,heldout
pad,0,138,0.075,0.3,8,0,0,0,heldout
pad,0,6,0.075,0.5,1,0,2,0,heldout
pad,0,12,0.075,0.5,6,0,0,0,heldout
pad,0,22,0.075,0.5,2,0,2,0,heldout
pad,0,24,0.075,0.5,5,0,0,0,heldout
pad,0,48,0.075,0.5,9,0,1,0,heldout
pad,0,73,0.075,0.5,10,0,0,0,heldout
pad,0,83,0.075,0.5,6,0,1,0,heldout
pad,0,84,0.075,0.5,7,0,1,0,heldout
pad,0,87,0.075,0.5,5,0,1,0,heldout
pad,0,89,0.075,0.5,5,0,2,0,heldout
pad,0,90,0.075,0.5,6,0,2,0,heldout
pad,0,94,0.075,0.5,3,0,0,0,heldout
pad,0,95,0.075,0.5,9,0,0,0,heldout
pad,0,105,0.075,0.5,8,0,3,0,heldout
pad,0,115,0.075,0.5,3,0,0,0,heldout
pad,0,118,0.075,0.5,6,0,2,0,heldout
pad,0,126,0.075,0.5,2,0,0,0,heldout
pad,0,127,0.075,0.5,3,0,1,0,heldout
pad,0,130,0.075,0.5,4,0,2,0,heldout
pad,0,131,0.075,0.5,4,0,2,0,heldout
pad,0,132,0.075,0.5,6,0,5,0,heldout
pad,0,135,0.075,0.5,6,0,3,0,heldout
pad,0,136,0.075,0.5,6,0,1,0,heldout
pad,0,138,0.075,0.5,8,0,0,0,heldout
pad,0,-1,0.1,0.3,96,1,80,1,val
pad,0,-1,0.1,0.5,96,0,80,0,val
pad,0,6,0.1,0.3,1,0,4,0,heldout
pad,0,12,0.1,0.3,6,0,2,0,heldout
pad,0,22,0.1,0.3,2,0,10,0,heldout
pad,0,24,0.1,0.3,5,0,2,0,heldout
pad,0,48,0.1,0.3,9,0,4,0,heldout
pad,0,73,0.1,0.3,10,0,1,0,heldout
pad,0,83,0.1,0.3,6,0,1,0,heldout
pad,0,84,0.1,0.3,7,0,0,0,heldout
pad,0,87,0.1,0.3,5,0,3,0,heldout
pad,0,89,0.1,0.3,5,0,4,0,heldout
pad,0,90,0.1,0.3,6,0,8,0,heldout
pad,0,94,0.1,0.3,3,0,0,0,heldout
pad,0,95,0.1,0.3,9,0,0,0,heldout
pad,0,105,0.1,0.3,8,0,3,0,heldout
pad,0,115,0.1,0.3,3,0,1,0,heldout
pad,0,118,0.1,0.3,6,0,3,0,heldout
pad,0,126,0.1,0.3,2,0,1,0,heldout
pad,0,127,0.1,0.3,3,0,5,0,heldout
pad,0,130,0.1,0.3,4,0,11,0,heldout
pad,0,131,0.1,0.3,4,0,2,0,heldout
pad,0,132,0.1,0.3,6,0,9,0,heldout
pad,0,135,0.1,0.3,6,0,2,0,heldout
pad,0,136,0.1,0.3,6,0,1,0,heldout
pad,0,138,0.1,0.3,8,0,2,0,heldout
pad,0,6,0.1,0.5,1,0,4,0,heldout
pad,0,12,0.1,0.5,6,0,2,0,heldout
pad,0,22,0.1,0.5,2,0,10,0,heldout
pad,0,24,0.1,0.5,5,0,2,0,heldout
pad,0,48,0.1,0.5,9,0,4,0,heldout
pad,0,73,0.1,0.5,10,0,1,0,heldout
pad,0,83,0.1,0.5,6,0,1,0,heldout
pad,0,84,0.1,0.5,7,0,0,0,heldout
pad,0,87,0.1,0.5,5,0,3,0,heldout
pad,0,89,0.1,0.5,5,0,4,0,heldout
pad,0,90,0.1,0.5,6,0,8,0,heldout
pad,0,94,0.1,0.5,3,0,0,0,heldout
pad,0,95,0.1,0.5,9,0,0,0,heldout
pad,0,105,0.1,0.5,8,0,3,0,heldout
pad,0,115,0.1,0.5,3,0,1,0,heldout
pad,0,118,0.1,0.5,6,0,3,0,heldout
pad,0,126,0.1,0.5,2,0,1,0,heldout
pad,0,127,0.1,0.5,3,0,5,0,heldout
pad,0,130,0.1,0.5,4,0,11,0,heldout
pad,0,131,0.1,0.5,4,0,2,0,heldout
pad,0,132,0.1,0.5,6,0,9,0,heldout
pad,0,135,0.1,0.5,6,0,2,0,heldout
pad,0,136,0.1,0.5,6,0,1,0,heldout
pad,0,138,0.1,0.5,8,0,2,0,heldout
pad,0,-1,0.125,0.3,96,2,115,2,val
pad,0,-1,0.125,0.5,96,0,115,0,val
pad,0,6,0.125,0.3,1,0,9,0,heldout
pad,0,12,0.125,0.3,6,0,3,0,heldout
pad,0,22,0.125,0.3,2,0,18,0,heldout
pad,0,24,0.125,0.3,5,0,1,0,heldout
pad,0,48,0.125,0.3,9,1,7,1,heldout
pad,0,73,0.125,0.3,10,0,2,0,heldout
pad,0,83,0.125,0.3,6,0,2,0,heldout
pad,0,84,0.125,0.3,7,0,2,0,heldout
pad,0,87,0.125,0.3,5,0,7,0,heldout
pad,0,89,0.125,0.3,5,0,10,0,heldout
pad,0,90,0.125,0.3,6,0,5,0,heldout
pad,0,94,0.125,0.3,3,0,4,0,heldout
pad,0,95,0.125,0.3,9,1,1,1,heldout
pad,0,105,0.125,0.3,8,0,1,0,heldout
pad,0,115,0.125,0.3,3,0,4,0,heldout
pad,0,118,0.125,0.3,6,0,5,0,heldout
pad,0,126,0.125,0.3,2,0,4,0,heldout
pad,0,127,0.125,0.3,3,0,6,0,heldout
pad,0,130,0.125,0.3,4,0,9,0,heldout
pad,0,131,0.125,0.3,4,0,1,0,heldout
pad,0,132,0.125,0.3,6,1,14,1,heldout
pad,0,135,0.125,0.3,6,1,10,1,heldout
pad,0,136,0.125,0.3,6,0,2,0,heldout
pad,0,138,0.125,0.3,8,0,3,0,heldout
pad,0,6,0.125,0.5,1,0,9,0,heldout
