model,fold,block_id,thr,tau,n_gt,tp_gt,n_pred,tp_pred,split
pit_smrf,0,-1,0.05,0.3,85,30,371,30,val
pit_smrf,0,-1,0.05,0.5,85,3,371,3,val
pit_smrf,0,2,0.05,0.3,5,3,24,3,heldout
pit_smrf,0,14,0.05,0.3,3,2,41,2,heldout
pit_smrf,0,18,0.05,0.3,2,1,17,1,heldout
pit_smrf,0,27,0.05,0.3,6,6,25,6,heldout
pit_smrf,0,36,0.05,0.3,3,1,23,1,heldout
pit_smrf,0,37,0.05,0.3,2,0,17,0,heldout
pit_smrf,0,41,0.05,0.3,5,0,36,0,heldout
pit_smrf,0,44,0.05,0.3,1,1,41,1,heldout
pit_smrf,0,60,0.05,0.3,5,1,25,1,heldout
pit_smrf,0,61,0.05,0.3,8,1,31,1,heldout
pit_smrf,0,71,0.05,0.3,6,4,11,4,heldout
pit_smrf,0,72,0.05,0.3,6,2,23,2,heldout
pit_smrf,0,82,0.05,0.3,2,1,27,1,heldout
pit_smrf,0,86,0.05,0.3,1,1,6,1,heldout
pit_smrf,0,88,0.05,0.3,4,2,30,2,heldout
pit_smrf,0,94,0.05,0.3,2,1,31,1,heldout
pit_smrf,0,95,0.05,0.3,8,2,27,2,heldout
pit_smrf,0,107,0.05,0.3,6,1,19,1,heldout
pit_smrf,0,108,0.05,0.3,7,1,21,1,heldout
pit_smrf,0,111,0.05,0.3,3,3,20,3,heldout
pit_smrf,0,114,0.05,0.3,2,1,24,1,heldout
pit_smrf,0,125,0.05,0.3,1,0,16,0,heldout
pit_smrf,0,126,0.05,0.3,2,1,7,1,heldout
pit_smrf,0,133,0.05,0.3,8,2,26,2,heldout
pit_smrf,0,134,0.05,0.3,5,3,26,3,heldout
pit_smrf,0,2,0.05,0.5,5,0,24,0,heldout
pit_smrf,0,14,0.05,0.5,3,0,41,0,heldout
pit_smrf,0,18,0.05,0.5,2,1,17,1,heldout
pit_smrf,0,27,0.05,0.5,6,0,25,0,heldout
pit_smrf,0,36,0.05,0.5,3,0,23,0,heldout
pit_smrf,0,37,0.05,0.5,2,0,17,0,heldout
pit_smrf,0,41,0.05,0.5,5,0,36,0,heldout
pit_smrf,0,44,0.05,0.5,1,0,41,0,heldout
pit_smrf,0,60,0.05,0.5,5,1,25,1,heldout
pit_smrf,0,61,0.05,0.5,8,0,31,0,heldout
pit_smrf,0,71,0.05,0.5,6,1,11,1,heldout
pit_smrf,0,72,0.05,0.5,6,0,23,0,heldout
pit_smrf,0,82,0.05,0.5,2,0,27,0,heldout
pit_smrf,0,86,0.05,0.5,1,0,6,0,heldout
pit_smrf,0,88,0.05,0.5,4,1,30,1,heldout
pit_smrf,0,94,0.05,0.5,2,1,31,1,heldout
pit_smrf,0,95,0.05,0.5,8,0,27,0,heldout
pit_smrf,0,107,0.05,0.5,6,0,19,0,heldout
pit_smrf,0,108,0.05,0.5,7,0,21,0,heldout
pit_smrf,0,111,0.05,0.5,3,1,20,1,heldout
pit_smrf,0,114,0.05,0.5,2,0,24,0,heldout
pit_smrf,0,125,0.05,0.5,1,0,16,0,heldout
pit_smrf,0,126,0.05,0.5,2,0,7,0,heldout
pit_smrf,0,133,0.05,0.5,8,1,26,1,heldout
pit_smrf,0,134,0.05,0.5,5,0,26,0,heldout
pit_smrf,0,-1,0.075,0.3,85,39,213,39,val
pit_smrf,0,-1,0.075,0.5,85,6,213,6,val
pit_smrf,0,2,0.075,0.3,5,3,13,3,heldout
pit_smrf,0,14,0.075,0.3,3,2,23,2,heldout
pit_smrf,0,18,0.075,0.3,2,1,6,1,heldout
pit_smrf,0,27,0.075,0.3,6,6,17,6,heldout
pit_smrf,0,36,0.075,0.3,3,1,13,1,heldout
pit_smrf,0,37,0.075,0.3,2,0,12,0,heldout
pit_smrf,0,41,0.075,0.3,5,0,19,0,heldout
pit_smrf,0,44,0.075,0.3,1,1,18,1,heldout
pit_smrf,0,60,0.075,0.3,5,1,11,1,heldout
pit_smrf,0,61,0.075,0.3,8,2,19,2,heldout
pit_smrf,0,71,0.075,0.3,6,4,6,4,heldout
pit_smrf,0,72,0.075,0.3,6,2,21,2,heldout
pit_smrf,0,82,0.075,0.3,2,1,18,1,heldout
pit_smrf,0,86,0.075,0.3,1,1,2,1,heldout
pit_smrf,0,88,0.075,0.3,4,3,15,3,heldout
pit_smrf,0,94,0.075,0.3,2,1,19,1,heldout
pit_smrf,0,95,0.075,0.3,8,3,18,3,heldout
pit_smrf,0,107,0.075,0.3,6,2,10,2,heldout
pit_smrf,0,108,0.075,0.3,7,1,17,1,heldout
pit_smrf,0,111,0.075,0.3,3,3,11,3,heldout
pit_smrf,0,114,0.075,0.3,2,1,13,1,heldout
pit_smrf,0,125,0.075,0.3,1,0,7,0,heldout
pit_smrf,0,126,0.075,0.3,2,1,3,1,heldout
pit_smrf,0,133,0.075,0.3,8,4,17,4,heldout
pit_smrf,0,134,0.075,0.3,5,5,11,5,heldout
pit_smrf,0,2,0.075,0.5,5,0,13,0,heldout
pit_smrf,0,14,0.075,0.5,3,1,23,1,heldout
pit_smrf,0,18,0.075,0.5,2,1,6,1,heldout
pit_smrf,0,27,0.075,0.5,6,0,17,0,heldout
pit_smrf,0,36,0.075,0.5,3,0,13,0,heldout
pit_smrf,0,37,0.075,0.5,2,0,12,0,heldout
pit_smrf,0,41,0.075,0.5,5,0,19,0,heldout
pit_smrf,0,44,0.075,0.5,1,0,18,0,heldout
pit_smrf,0,60,0.075,0.5,5,1,11,1,heldout
pit_smrf,0,61,0.075,0.5,8,0,19,0,heldout
pit_smrf,0,71,0.075,0.5,6,1,6,1,heldout
pit_smrf,0,72,0.075,0.5,6,1,21,1,heldout
pit_smrf,0,82,0.075,0.5,2,0,18,0,heldout
pit_smrf,0,86,0.075,0.5,1,0,2,0,heldout
pit_smrf,0,88,0.075,0.5,4,1,15,1,heldout
pit_smrf,0,94,0.075,0.5,2,1,19,1,heldout
pit_smrf,0,95,0.075,0.5,8,1,18,1,heldout
pit_smrf,0,107,0.075,0.5,6,0,10,0,heldout
pit_smrf,0,108,0.075,0.5,7,0,17,0,heldout
pit_smrf,0,111,0.075,0.5,3,1,11,1,heldout
pit_smrf,0,114,0.075,0.5,2,0,13,0,heldout
pit_smrf,0,125,0.075,0.5,1,0,7,0,heldout
pit_smrf,0,126,0.075,0.5,2,1,3,1,heldout
pit_smrf,0,133,0.075,0.5,8,1,17,1,heldout
pit_smrf,0,134,0.075,0.5,5,1,11,1,heldout
pit_smrf,0,-1,0.1,0.3,85,46,181,46,val
pit_smrf,0,-1,0.1,0.5,85,10,181,10,val
pit_smrf,0,2,0.1,0.3,5,3,11,3,heldout
pit_smrf,0,14,0.1,0.3,3,2,17,2,heldout
