model,fold,block_id,thr,tau,n_gt,tp_gt,n_pred,tp_pred,split
pit,0,-1,0.05,0.3,85,31,801,31,val
pit,0,-1,0.05,0.5,85,4,801,4,val
pit,0,2,0.05,0.3,5,2,52,2,heldout
pit,0,14,0.05,0.3,3,2,69,2,heldout
pit,0,18,0.05,0.3,2,1,104,1,heldout
pit,0,27,0.05,0.3,6,6,36,6,heldout
pit,0,36,0.05,0.3,3,1,38,1,heldout
pit,0,37,0.05,0.3,2,1,23,1,heldout
pit,0,41,0.05,0.3,5,0,67,0,heldout
pit,0,44,0.05,0.3,1,0,85,0,heldout
pit,0,60,0.05,0.3,5,1,33,1,heldout
pit,0,61,0.05,0.3,8,0,40,0,heldout
pit,0,71,0.05,0.3,6,4,14,4,heldout
pit,0,72,0.05,0.3,6,2,47,2,heldout
pit,0,82,0.05,0.3,2,1,87,1,heldout
pit,0,86,0.05,0.3,1,1,16,1,heldout
pit,0,88,0.05,0.3,4,3,61,3,heldout
pit,0,94,0.05,0.3,2,1,79,1,heldout
pit,0,95,0.05,0.3,8,1,40,1,heldout
pit,0,107,0.05,0.3,6,2,51,2,heldout
pit,0,108,0.05,0.3,7,1,39,1,heldout
pit,0,111,0.05,0.3,3,3,27,3,heldout
pit,0,114,0.05,0.3,2,1,49,1,heldout
pit,0,125,0.05,0.3,1,0,51,0,heldout
pit,0,126,0.05,0.3,2,1,15,1,heldout
pit,0,133,0.05,0.3,8,4,68,4,heldout
pit,0,134,0.05,0.3,5,2,46,2,heldout
pit,0,2,0.05,0.5,5,1,52,1,heldout
pit,0,14,0.05,0.5,3,1,69,1,heldout
pit,0,18,0.05,0.5,2,1,104,1,heldout
pit,0,27,0.05,0.5,6,3,36,3,heldout
pit,0,36,0.05,0.5,3,0,38,0,heldout
pit,0,37,0.05,0.5,2,0,23,0,heldout
pit,0,41,0.05,0.5,5,0,67,0,heldout
pit,0,44,0.05,0.5,1,0,85,0,heldout
pit,0,60,0.05,0.5,5,0,33,0,heldout
pit,0,61,0.05,0.5,8,0,40,0,heldout
pit,0,71,0.05,0.5,6,1,14,1,heldout
pit,0,72,0.05,0.5,6,0,47,0,heldout
pit,0,82,0.05,0.5,2,0,87,0,heldout
pit,0,86,0.05,0.5,1,0,16,0,heldout
pit,0,88,0.05,0.5,4,1,61,1,heldout
pit,0,94,0.05,0.5,2,1,79,1,heldout
pit,0,95,0.05,0.5,8,0,40,0,heldout
pit,0,107,0.05,0.5,6,0,51,0,heldout
pit,0,108,0.05,0.5,7,0,39,0,heldout
pit,0,111,0.05,0.5,3,1,27,1,heldout
pit,0,114,0.05,0.5,2,0,49,0,heldout
pit,0,125,0.05,0.5,1,0,51,0,heldout
pit,0,126,0.05,0.5,2,1,15,1,heldout
pit,0,133,0.05,0.5,8,2,68,2,heldout
pit,0,134,0.05,0.5,5,0,46,0,heldout
pit,0,-1,0.075,0.3,85,40,438,40,val
pit,0,-1,0.075,0.5,85,7,438,7,val
pit,0,2,0.075,0.3,5,3,25,3,heldout
pit,0,14,0.075,0.3,3,2,43,2,heldout
pit,0,18,0.075,0.3,2,1,54,1,heldout
pit,0,27,0.075,0.3,6,6,17,6,heldout
pit,0,36,0.075,0.3,3,1,26,1,heldout
pit,0,37,0.075,0.3,2,1,14,1,heldout
pit,0,41,0.075,0.3,5,0,38,0,heldout
pit,0,44,0.075,0.3,1,1,51,1,heldout
pit,0,60,0.075,0.3,5,3,20,3,heldout
pit,0,61,0.075,0.3,8,0,30,0,heldout
