task,family,setting,recall,recall_lo,recall_hi,precision,precision_lo,precision_hi,candidates,tp,fp,n_gt,candidates_per_km2,fp_per_km2,recall_fold_min,recall_fold_max,recall_per_fold,block_mean_recall,rule_per_fold,infeasible_folds,regret_per_feature,regret_relative,target_met_pooled,target_met_block_mean,folds_meeting_target
pit,cost,0.5,0.68389662027833,0.6385049481238533,0.7297925531914893,0.8229665071770335,0.7759025758205235,0.861906916612799,418,344.0,74.0,503.0,25.847342995169083,4.57584541062802,0.56,0.78,"[0.6893, 0.56, 0.6263, 0.78, 0.7624]",0.6459075224292616,"[0.6667, 0.6667, 0.6667, 0.6667, 0.6667]",0.0,0.04572564612326044,0.17624521072796934,,,
pit,cost,1,0.8409542743538767,0.8079326044136207,0.8722152033227083,0.7818853974121996,0.7323319363365232,0.8251889013073224,541,423.0,118.0,503.0,33.453140096618355,7.296618357487922,0.76,0.900990099009901,"[0.835, 0.76, 0.8283, 0.88, 0.901]",0.808367839889579,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.0,0.0437375745526839,0.125,,,
pit,cost,2,0.8906560636182903,0.8609348494317819,0.9184120174351381,0.7454242928452579,0.696906809805778,0.7905084603786229,601,448.0,153.0,503.0,37.16328502415459,9.460869565217392,0.8686868686868687,0.9207920792079208,"[0.8738, 0.88, 0.8687, 0.91, 0.9208]",0.8667460317460317,"[0.3333, 0.3333, 0.3333, 0.3333, 0.3333]",0.0,0.04771371769383698,0.100418410041841,,,
pit,cost,4,0.9224652087475149,0.8986083499005965,0.9452974734751669,0.6977443609022557,0.6474010840108402,0.7435410925766213,665,464.0,201.0,503.0,41.1207729468599,12.428985507246377,0.883495145631068,0.9405940594059405,"[0.8835, 0.93, 0.9293, 0.93, 0.9406]",0.9173602484472049,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.0636182902584493,0.09846153846153846,,,
pit,cost,8,0.9383697813121272,0.9186756591048436,0.957833916929669,0.6573816155988857,0.6059690436705363,0.7059640399170649,718,472.0,246.0,503.0,44.39806763285024,15.211594202898551,0.9029126213592233,0.96,"[0.9029, 0.96, 0.9394, 0.94, 0.9505]",0.9321670117322292,"[0.1111, 0.1111, 0.1111, 0.1111, 0.1111]",0.0,0.06759443339960239,0.07391304347826087,,,
pit,cost,16,0.9443339960238568,0.9256186518200745,0.9621928166351607,0.6201044386422977,0.5704951990773172,0.6685051986491102,766,475.0,291.0,503.0,47.36618357487923,17.994202898550725,0.912621359223301,0.96,"[0.9126, 0.96, 0.9394, 0.96, 0.9505]",0.9397032436162872,"[0.0588, 0.0588, 0.0588, 0.0588, 0.0588]",0.0,0.12127236580516898,0.08997050147492626,,,
pit,cost,32,0.9463220675944334,0.9275907643777199,0.9643577084091736,0.6110397946084724,0.562105594623248,0.6592340899897914,779,476.0,303.0,503.0,48.170048309178746,18.736231884057972,0.912621359223301,0.97,"[0.9126, 0.97, 0.9394, 0.96, 0.9505]",0.9414423740510697,"[0.0303, 0.0303, 0.0303, 0.0303, 0.0303]",0.0,0.11332007952286283,0.051351351351351354,,,
pit,cost,64,0.9463220675944334,0.9275907643777199,0.9643577084091736,0.6110397946084724,0.562105594623248,0.6592340899897914,779,476.0,303.0,503.0,48.170048309178746,18.736231884057972,0.912621359223301,0.97,"[0.9126, 0.97, 0.9394, 0.96, 0.9505]",0.9414423740510697,"[0.0154, 0.0154, 0.0154, 0.0154, 0.0154]",0.0,0.11332007952286283,0.028875379939209727,,,
pit,cost,128,0.9463220675944334,0.9275907643777199,0.9643577084091736,0.6110397946084724,0.562105594623248,0.6592340899897914,779,476.0,303.0,503.0,48.170048309178746,18.736231884057972,0.912621359223301,0.97,"[0.9126, 0.97, 0.9394, 0.96, 0.9505]",0.9414423740510697,"[0.0078, 0.0078, 0.0078, 0.0078, 0.0078]",0.0,0.11332007952286283,0.01539708265802269,,,
pit,budget,2,0.05765407554671968,0.038020347138422776,0.07915057915057915,0.9666666666666667,0.8888888888888888,1.0,30,29.0,1.0,503.0,1.855072463768116,0.06183574879227053,0.04950495049504951,0.07,"[0.068, 0.07, 0.0505, 0.05, 0.0495]",0.04268806073153899,"[7, 7, 5, 6, 5]",0.0,,,,,
pit,budget,5,0.147117296222664,0.1111111111111111,0.18511459040467712,0.9367088607594937,0.875,0.9857242063492063,79,74.0,5.0,503.0,4.885024154589372,0.30917874396135264,0.13131313131313133,0.18,"[0.1456, 0.18, 0.1313, 0.14, 0.1386]",0.12606280193236716,"[17, 18, 14, 16, 14]",0.0,,,,,
pit,budget,10,0.28429423459244535,0.23274068698597,0.33395220510133267,0.89375,0.8478087787316533,0.9344286690085871,160,143.0,17.0,503.0,9.893719806763285,1.051207729468599,0.25252525252525254,0.34,"[0.2913, 0.34, 0.2525, 0.28, 0.2574]",0.27823326432022083,"[35, 36, 28, 32, 29]",0.0,,,,,
pit,budget,15,0.41749502982107356,0.36672005983798583,0.4682771498475163,0.875,0.83399209486166,0.9122892181911088,240,210.0,30.0,503.0,14.840579710144928,1.855072463768116,0.37373737373737376,0.49,"[0.4272, 0.49, 0.3737, 0.41, 0.3861]",0.40754313319530705,"[52, 54, 42, 48, 44]",0.0,,,,,
pit,budget,20,0.5407554671968191,0.4912200956937799,0.5915844825968665,0.84472049689441,0.79733746349653,0.8852533083152281,322,272.0,50.0,503.0,19.91111111111111,3.0917874396135265,0.504950495049505,0.63,"[0.5243, 0.63, 0.5152, 0.53, 0.505]",0.5212594893029676,"[70, 73, 56, 64, 59]",0.0,,,,,
pit,budget,25,0.6640159045725647,0.6130344281355588,0.7117035129403751,0.8329177057356608,0.7869632838441281,0.8729411764705882,401,334.0,67.0,503.0,24.79613526570048,4.142995169082125,0.6039603960396039,0.78,"[0.6408, 0.78, 0.6364, 0.66, 0.604]",0.6470565907522429,"[87, 91, 70, 80, 73]",0.0,,,,,
pit,budget,30,0.7813121272365805,0.7386998086726504,0.8220214285714285,0.8136645962732919,0.7682540911845915,0.8522290695092161,483,393.0,90.0,503.0,29.866666666666667,5.565217391304348,0.7227722772277227,0.9,"[0.7476, 0.9, 0.7677, 0.77, 0.7228]",0.7620255348516218,"[105, 109, 84, 97, 88]",0.0,,,,,
pit,budget,40,0.9085487077534792,0.8811659192825112,0.934655650785808,0.717425431711146,0.6682922901692785,0.7619047619047619,637,457.0,180.0,503.0,39.38937198067633,11.130434782608695,0.8686868686868687,0.97,"[0.8835, 0.97, 0.8687, 0.91, 0.9109]",0.8934851621808144,"[140, 146, 112, 129, 118]",0.0,,,,,
pit,budget,50,0.9463220675944334,0.9275907643777199,0.9643577084091736,0.6287978863936592,0.5792273588742682,0.6768224600563446,757,476.0,281.0,503.0,46.80966183574879,17.37584541062802,0.912621359223301,0.97,"[0.9126, 0.97, 0.9394, 0.96, 0.9505]",0.9414423740510697,"[175, 182, 140, 161, 147]",0.0,,,,,
pit,recall,0.6,0.6461232604373758,0.5974258844019638,0.6924648268398268,0.8333333333333334,0.7880413441839289,0.8705913394381499,390,325.0,65.0,503.0,24.115942028985508,4.019323671497585,0.53,0.75,"[0.6214, 0.53, 0.596, 0.75, 0.7327]",0.6132436162870945,"[0.7237, 0.7058, 0.6928, 0.6995, 0.6852]",0.0,,,True,True,3.0
pit,recall,0.7,0.7375745526838966,0.6941703087551107,0.779197672765191,0.8100436681222707,0.7625563315128182,0.8495790355967587,458,371.0,87.0,503.0,28.320772946859904,5.379710144927536,0.59,0.8613861386138614,"[0.7087, 0.59, 0.7071, 0.82, 0.8614]",0.69311939268461,"[0.6541, 0.6321, 0.6246, 0.6091, 0.5951]",0.0,,,True,False,4.0
pit,recall,0.75,0.7852882703777336,0.7444916049360653,0.8258239600635516,0.8012170385395537,0.7542008053221289,0.8431802339009384,493,395.0,98.0,503.0,30.48502415458937,6.0599033816425125,0.65,0.87,"[0.7282, 0.65, 0.8182, 0.87, 0.8614]",0.7430814354727397,"[0.6086, 0.5851, 0.563, 0.5593, 0.5599]",0.0,,,True,False,3.0
pit,recall,0.8,0.8290258449304175,0.7966754228548691,0.8612244897959184,0.7867924528301887,0.7378277153558053,0.8287803598115382,530,417.0,113.0,503.0,32.772946859903385,6.98743961352657,0.73,0.9108910891089109,"[0.7961, 0.73, 0.8283, 0.88, 0.9109]",0.7913043478260869,"[0.5494, 0.5221, 0.5167, 0.4746, 0.4667]",0.0,,,True,False,3.0
pit,recall,0.85,0.878727634194831,0.8459882076046925,0.9081430041795323,0.7607573149741824,0.7113024877935364,0.8066202090592335,581,442.0,139.0,503.0,35.92657004830918,8.595169082125604,0.84,0.9207920792079208,"[0.8544, 0.84, 0.8586, 0.92, 0.9208]",0.8514803312629399,"[0.3949, 0.4056, 0.418, 0.3194, 0.3374]",0.0,,,True,True,4.0
pit,recall,0.9,0.9244532803180915,0.901005945531262,0.9478789586448546,0.7088414634146342,0.6579752146411058,0.7555919531964291,656,465.0,191.0,503.0,40.56425120772947,11.810628019323671,0.883495145631068,0.95,"[0.8835, 0.95, 0.9091, 0.94, 0.9406]",0.9145341614906833,"[0.266, 0.1866, 0.2413, 0.1894, 0.2112]",0.0,,,True,True,4.0
pit,recall,0.95,0.9463220675944334,0.9275907643777199,0.9643577084091736,0.6110397946084724,0.562105594623248,0.6592340899897914,779,476.0,303.0,503.0,48.170048309178746,18.736231884057972,0.912621359223301,0.97,"[0.9126, 0.97, 0.9394, 0.96, 0.9505]",0.9414423740510697,"[0.0, 0.0, 0.0, 0.0, 0.0]",5.0,,,False,False,3.0
