model,tau,thr,recall,precision,fp_per_km2,n_pred,tp,n_gt
pit,0.3,0.05,0.4831013916500994,0.03817153628652215,378.6202898550725,6366,243,503
pit,0.3,0.075,0.5566600397614314,0.11267605633802817,136.34782608695653,2485,280,503
pit,0.3,0.1,0.6282306163021869,0.180881511161992,88.48695652173913,1747,316,503
pit,0.3,0.125,0.6938369781312127,0.2503586800573888,64.61835748792271,1394,349,503
pit,0.3,0.15,0.7554671968190855,0.31020408163265306,52.2512077294686,1225,380,503
pit,0.3,0.175,0.7912524850894632,0.35695067264573993,44.33623188405797,1115,398,503
pit,0.3,0.2,0.8349900596421471,0.41216879293424924,37.03961352657005,1019,420,503
pit,0.3,0.225,0.8747514910536779,0.4573804573804574,32.278260869565216,962,440,503
pit,0.3,0.25,0.8966202783300199,0.49451754385964913,28.506280193236716,912,451,503
pit,0.3,0.275,0.9204771371769384,0.533410138248848,25.043478260869566,868,463,503
pit,0.3,0.3,0.9383697813121272,0.5721212121212121,21.828019323671498,825,472,503
pit,0.3,0.325,0.9443339960238568,0.5944931163954944,20.034782608695654,799,475,503
pit,0.3,0.35,0.9463220675944334,0.6110397946084724,18.736231884057972,779,476,503
pit,0.3,0.375,0.9423459244532804,0.6228646517739816,17.746859903381644,761,474,503
pit,0.3,0.4,0.9423459244532804,0.6405405405405405,16.448309178743962,740,474,503
pit,0.3,0.425,0.9304174950298211,0.6473029045643154,15.768115942028986,723,468,503
pit,0.3,0.45,0.9244532803180915,0.6577086280056577,14.964251207729468,707,465,503
pit,0.3,0.475,0.9165009940357853,0.6720116618075802,13.91304347826087,686,461,503
pit,0.3,0.5,0.8986083499005965,0.6869300911854104,12.73816425120773,658,452,503
pit,0.3,0.525,0.8846918489065606,0.689922480620155,12.367149758454106,645,445,503
pit,0.3,0.55,0.8648111332007953,0.7016129032258065,11.439613526570048,620,435,503
pit,0.3,0.575,0.8449304174950298,0.7083333333333334,10.821256038647343,600,425,503
pit,0.3,0.6,0.8091451292246521,0.6945392491467577,11.068599033816426,586,407,503
pit,0.3,0.625,0.7753479125248509,0.6890459363957597,10.883091787439614,566,390,503
pit,0.3,0.65,0.7296222664015904,0.6821561338289963,10.57391304347826,538,367,503
pit,0.3,0.675,0.6679920477137177,0.65625,10.883091787439614,512,336,503
pit,0.3,0.7,0.5984095427435387,0.621900826446281,11.315942028985507,484,301,503
pit,0.3,0.725,0.5248508946322068,0.5892857142857143,11.377777777777778,448,264,503
pit,0.3,0.75,0.4552683896620278,0.5439429928741093,11.872463768115942,421,229,503
pit,0.3,0.775,0.3817097415506958,0.5348189415041783,10.32657004830918,359,192,503
pit,0.3,0.8,0.3081510934393638,0.5016181229773463,9.522705314009661,309,155,503
pit,0.3,0.825,0.2544731610337972,0.5079365079365079,7.667632850241546,252,128,503
pit,0.3,0.85,0.18290258449304175,0.4816753926701571,6.121739130434783,191,92,503
pit,0.3,0.875,0.12524850894632206,0.45,4.761352657004831,140,63,503
pit,0.3,0.9,0.055666003976143144,0.2978723404255319,4.081159420289855,94,28,503
pit,0.3,0.925,0.007952286282306162,0.10526315789473684,2.102415458937198,38,4,503
pit,0.3,0.95,0.0,0.0,0.6183574879227053,10,0,503
pit,0.5,0.05,0.10934393638170974,0.008639648130694313,390.24541062801933,6366,55,503
pit,0.5,0.075,0.12922465208747516,0.026156941649899398,149.6425120772947,2485,65,503
pit,0.5,0.1,0.17296222664015903,0.04979965655409273,102.64734299516908,1747,87,503
pit,0.5,0.125,0.21272365805168986,0.07675753228120516,79.58260869565217,1394,107,503
pit,0.5,0.15,0.2584493041749503,0.10612244897959183,67.71014492753623,1225,130,503
pit,0.5,0.175,0.3061630218687873,0.13811659192825113,59.42415458937198,1115,154,503
pit,0.5,0.2,0.3717693836978131,0.18351324828263002,51.44734299516908,1019,187,503
pit,0.5,0.225,0.4433399602385686,0.23180873180873182,45.69661835748792,962,223,503
pit,0.5,0.25,0.536779324055666,0.29605263157894735,39.698550724637684,912,270,503
pit,0.5,0.275,0.6023856858846919,0.3490783410138249,34.93719806763285,868,303,503
pit,0.5,0.3,0.6779324055666004,0.41333333333333333,29.928502415458937,825,341,503
pit,0.5,0.325,0.7395626242544732,0.4655819774718398,26.403864734299518,799,372,503
pit,0.5,0.35,0.7952286282306164,0.5134788189987163,23.43574879227053,779,400,503
pit,0.5,0.375,0.8091451292246521,0.5348226018396847,21.889855072463767,761,407,503
pit,0.5,0.4,0.8409542743538767,0.5716216216216217,19.601932367149757,740,423,503
pit,0.5,0.425,0.8409542743538767,0.5850622406639004,18.55072463768116,723,423,503
pit,0.5,0.45,0.8349900596421471,0.594059405940594,17.746859903381644,707,420,503
pit,0.5,0.475,0.8131212723658051,0.5962099125364432,17.128502415458936,686,409,503
pit,0.5,0.5,0.7813121272365805,0.5972644376899696,16.386473429951693,658,393,503
pit,0.5,0.525,0.731610337972167,0.5705426356589147,17.128502415458936,645,368,503
pit,0.5,0.55,0.68389662027833,0.5548387096774193,17.066666666666666,620,344,503
pit,0.5,0.575,0.6620278330019881,0.555,16.51014492753623,600,333,503
pit,0.5,0.6,0.6003976143141153,0.515358361774744,17.561352657004832,586,302,503
pit,0.5,0.625,0.5447316103379721,0.4840989399293286,18.056038647342994,566,274,503
pit,0.5,0.65,0.48111332007952284,0.44981412639405205,18.30338164251208,538,242,503
pit,0.5,0.675,0.3996023856858847,0.392578125,19.230917874396134,512,201,503
pit,0.5,0.7,0.3220675944333996,0.3347107438016529,19.91111111111111,484,162,503
pit,0.5,0.725,0.27435387673956263,0.3080357142857143,19.169082125603865,448,138,503
pit,0.5,0.75,0.20278330019880716,0.24228028503562946,19.7256038647343,421,102,503
pit,0.5,0.775,0.147117296222664,0.20612813370473537,17.6231884057971,359,74,503
pit,0.5,0.8,0.10337972166998012,0.16828478964401294,15.891787439613527,309,52,503
pit,0.5,0.825,0.061630218687872766,0.12301587301587301,13.665700483091788,252,31,503
pit,0.5,0.85,0.03180914512922465,0.08376963350785341,10.821256038647343,191,16,503
pit,0.5,0.875,0.011928429423459244,0.04285714285714286,8.28599033816425,140,6,503
pit,0.5,0.9,0.0,0.0,5.81256038647343,94,0,503
pit,0.5,0.925,0.0,0.0,2.34975845410628,38,0,503
pit,0.5,0.95,0.0,0.0,0.6183574879227053,10,0,503
pit_smrf,0.3,0.05,0.49304174950298213,0.026130017911705827,571.5478260869565,9491,248,503
pit_smrf,0.3,0.075,0.5864811133200796,0.10684534588917059,152.48695652173913,2761,295,503
pit_smrf,0.3,0.1,0.6441351888667992,0.1772428884026258,93.00096618357487,1828,324,503
pit_smrf,0.3,0.125,0.7077534791252486,0.24400274160383825,68.20483091787439,1459,356,503
pit_smrf,0.3,0.15,0.7534791252485089,0.3104013104013104,52.06570048309179,1221,379,503
pit_smrf,0.3,0.175,0.7972166998011928,0.3652094717668488,43.09951690821256,1098,401,503
pit_smrf,0.3,0.2,0.8330019880715706,0.42323232323232324,35.30821256038647,990,419,503
pit_smrf,0.3,0.225,0.8608349900596421,0.48272017837235226,28.691787439613528,897,433,503
pit_smrf,0.3,0.25,0.8866799204771372,0.5259433962264151,24.857971014492755,848,446,503
pit_smrf,0.3,0.275,0.9184890656063618,0.5767790262172284,20.96231884057971,801,462,503
pit_smrf,0.3,0.3,0.9403578528827038,0.6040868454661558,19.169082125603865,783,473,503
pit_smrf,0.3,0.325,0.9423459244532804,0.6196078431372549,17.994202898550725,765,474,503
