model,tau,rank,score,recall,precision,fp_per_km2
pit,0.3,1,0.7327572121852781,0.0019880715705765406,1.0,0.0
pit,0.3,2,0.7255593757112543,0.003976143141153081,1.0,0.0
pit,0.3,3,0.7223518056528909,0.005964214711729622,1.0,0.0
pit,0.3,4,0.7195331708095861,0.007952286282306162,1.0,0.0
pit,0.3,5,0.7173283810002936,0.009940357852882704,1.0,0.0
pit,0.3,6,0.7159342192775034,0.011928429423459244,1.0,0.0
pit,0.3,7,0.714833657909595,0.013916500994035786,1.0,0.0
pit,0.3,8,0.709323396772341,0.015904572564612324,1.0,0.0
pit,0.3,9,0.7083346320361625,0.017892644135188866,1.0,0.0
pit,0.3,10,0.7078030188230501,0.019880715705765408,1.0,0.0
pit,0.3,11,0.6972711705786037,0.02186878727634195,1.0,0.0
pit,0.3,12,0.694501312268086,0.02385685884691849,1.0,0.0
pit,0.3,13,0.6932265285522707,0.02584493041749503,1.0,0.0
pit,0.3,14,0.692781829339568,0.027833001988071572,1.0,0.0
pit,0.3,15,0.6927147195384833,0.02982107355864811,1.0,0.0
pit,0.3,16,0.6918056343550457,0.03180914512922465,1.0,0.0
pit,0.3,17,0.6884403165157248,0.033797216699801194,1.0,0.0
pit,0.3,18,0.6857185692999376,0.03578528827037773,1.0,0.0
pit,0.3,19,0.6854466689795983,0.03777335984095427,1.0,0.0
pit,0.3,20,0.6851943573951721,0.03777335984095427,0.95,0.06183574879227053
pit,0.3,21,0.6837274469066374,0.039761431411530816,0.9523809523809523,0.06183574879227053
pit,0.3,22,0.6836920562899593,0.039761431411530816,0.9090909090909091,0.12367149758454106
pit,0.3,23,0.6835283250250714,0.041749502982107355,0.9130434782608695,0.12367149758454106
pit,0.3,24,0.6831091112798924,0.0437375745526839,0.9166666666666666,0.12367149758454106
pit,0.3,25,0.681991733806698,0.04572564612326044,0.92,0.12367149758454106
pit,0.3,26,0.6810454982168535,0.04771371769383698,0.9230769230769231,0.12367149758454106
pit,0.3,27,0.6810163252783897,0.04970178926441352,0.9259259259259259,0.12367149758454106
pit,0.3,28,0.6805191364358453,0.05168986083499006,0.9285714285714286,0.12367149758454106
pit,0.3,29,0.6800389956807559,0.0536779324055666,0.9310344827586207,0.12367149758454106
pit,0.3,30,0.6797107243782854,0.055666003976143144,0.9333333333333333,0.12367149758454106
pit,0.3,31,0.6788381135758058,0.05765407554671968,0.9354838709677419,0.12367149758454106
pit,0.3,32,0.6771294590673949,0.05964214711729622,0.9375,0.12367149758454106
pit,0.3,33,0.6744063335588608,0.061630218687872766,0.9393939393939394,0.12367149758454106
pit,0.3,34,0.6736695690519491,0.0636182902584493,0.9411764705882353,0.12367149758454106
pit,0.3,35,0.6729923008547889,0.06560636182902585,0.9428571428571428,0.12367149758454106
pit,0.3,36,0.6723719414193832,0.06759443339960239,0.9444444444444444,0.12367149758454106
pit,0.3,37,0.6720443760907209,0.06958250497017893,0.9459459459459459,0.12367149758454106
pit,0.3,38,0.6719789661188177,0.07157057654075547,0.9473684210526315,0.12367149758454106
pit,0.3,39,0.6718349851410964,0.073558648111332,0.9487179487179487,0.12367149758454106
pit,0.3,40,0.6683835828489111,0.07554671968190854,0.95,0.12367149758454106
pit,0.3,41,0.668264769671256,0.0775347912524851,0.9512195121951219,0.12367149758454106
pit,0.3,42,0.6682549981183784,0.07952286282306163,0.9523809523809523,0.12367149758454106
pit,0.3,43,0.6680640309221215,0.08151093439363817,0.9534883720930233,0.12367149758454106
pit,0.3,44,0.667953417167183,0.08349900596421471,0.9545454545454546,0.12367149758454106
pit,0.3,45,0.6671977538254953,0.08548707753479125,0.9555555555555556,0.12367149758454106
pit,0.3,46,0.6669176542256252,0.0874751491053678,0.9565217391304348,0.12367149758454106
pit,0.3,47,0.6668337588960475,0.08946322067594434,0.9574468085106383,0.12367149758454106
pit,0.3,48,0.6654262798397165,0.09145129224652088,0.9583333333333334,0.12367149758454106
pit,0.3,49,0.6640919342171401,0.09343936381709742,0.9591836734693877,0.12367149758454106
pit,0.3,50,0.6617563174416622,0.09542743538767395,0.96,0.12367149758454106
pit,0.3,51,0.6612062526390692,0.09741550695825049,0.9607843137254902,0.12367149758454106
pit,0.3,52,0.6598699561391885,0.09940357852882704,0.9615384615384616,0.12367149758454106
pit,0.3,53,0.6589899546442888,0.10139165009940358,0.9622641509433962,0.12367149758454106
pit,0.3,54,0.6579658653534634,0.10139165009940358,0.9444444444444444,0.1855072463768116
pit,0.3,55,0.6572499251883963,0.10337972166998012,0.9454545454545454,0.1855072463768116
pit,0.3,56,0.6568541177827069,0.10536779324055666,0.9464285714285714,0.1855072463768116
pit,0.3,57,0.656528998767176,0.1073558648111332,0.9473684210526315,0.1855072463768116
pit,0.3,58,0.6558027519285679,0.10934393638170974,0.9482758620689655,0.1855072463768116
pit,0.3,59,0.6557469726062093,0.11133200795228629,0.9491525423728814,0.1855072463768116
pit,0.3,60,0.6552777842129811,0.11332007952286283,0.95,0.1855072463768116
pit,0.3,61,0.6552711212635041,0.11530815109343936,0.9508196721311475,0.1855072463768116
pit,0.3,62,0.6548390699698862,0.1172962226640159,0.9516129032258065,0.1855072463768116
pit,0.3,63,0.6544280560787566,0.11928429423459244,0.9523809523809523,0.1855072463768116
pit,0.3,64,0.6538682404905558,0.12127236580516898,0.953125,0.1855072463768116
pit,0.3,65,0.6536686382232568,0.12127236580516898,0.9384615384615385,0.24734299516908212
pit,0.3,66,0.6534842677852687,0.12326043737574553,0.9393939393939394,0.24734299516908212
pit,0.3,67,0.6529866254269169,0.12524850894632206,0.9402985074626866,0.24734299516908212
pit,0.3,68,0.652666624840789,0.1272365805168986,0.9411764705882353,0.24734299516908212
pit,0.3,69,0.6515051820684993,0.12922465208747516,0.9420289855072463,0.24734299516908212
pit,0.3,70,0.6505472147927701,0.1312127236580517,0.9428571428571428,0.24734299516908212
pit,0.3,71,0.65039227052597,0.1312127236580517,0.9295774647887324,0.30917874396135264
pit,0.3,72,0.6498501540830471,0.13320079522862824,0.9305555555555556,0.30917874396135264
pit,0.3,73,0.6495054787711093,0.13518886679920478,0.9315068493150684,0.30917874396135264
pit,0.3,74,0.648699001685993,0.13717693836978131,0.9324324324324325,0.30917874396135264
pit,0.3,75,0.648339570689022,0.13916500994035785,0.9333333333333333,0.30917874396135264
pit,0.3,76,0.6483315885066986,0.1411530815109344,0.9342105263157895,0.30917874396135264
pit,0.3,77,0.648058211247538,0.14314115308151093,0.935064935064935,0.30917874396135264
pit,0.3,78,0.6479878706218553,0.14512922465208747,0.9358974358974359,0.30917874396135264
pit,0.3,79,0.6461366430634544,0.147117296222664,0.9367088607594937,0.30917874396135264
pit,0.3,80,0.6455926121505973,0.14910536779324055,0.9375,0.30917874396135264
pit,0.3,81,0.6455035497576503,0.15109343936381708,0.9382716049382716,0.30917874396135264
pit,0.3,82,0.6451274621709485,0.15308151093439365,0.9390243902439024,0.30917874396135264
pit,0.3,83,0.6449460895045808,0.1550695825049702,0.9397590361445783,0.30917874396135264
