threshold,n_polygons,ha_claimed,pct_of_tile,n_heldout,found_iou30,missed_iou30,recall_iou30,found_pred_centroid_in_gt,found_gt_centroid_covered,median_best_iou
0.05,188,1184.78,58.508,194,0,194,0.0,0,194,0.0
0.1,534,766.01,37.828,194,10,184,0.052,12,193,0.0
0.15,930,610.32,30.139,194,37,157,0.191,48,193,0.077
0.2,1005,514.04,25.385,194,59,135,0.304,70,192,0.161
0.25,1061,440.65,21.761,194,83,111,0.428,90,191,0.234
0.3,1104,378.43,18.688,194,112,82,0.577,109,190,0.35
0.35,1109,323.69,15.985,194,148,46,0.763,149,187,0.46
0.4,1090,278.24,13.74,194,166,28,0.856,163,187,0.522
0.45,1049,235.77,11.643,194,178,16,0.918,172,183,0.585
0.5,1005,197.95,9.775,194,178,16,0.918,176,181,0.62
0.55,960,159.78,7.89,194,172,22,0.887,173,176,0.636
0.6,907,122.6,6.055,194,164,30,0.845,171,160,0.645
0.65,804,85.0,4.197,194,141,53,0.727,157,136,0.548
0.7,627,52.45,2.59,194,104,90,0.536,135,116,0.344
0.8,247,10.99,0.543,194,18,176,0.093,49,31,0.0
0.9,3,0.11,0.006,194,0,194,0.0,0,0,0.0
