thr,tp,n_pred,n_gt,recall,precision,f1
0.3,413,798,424,0.9740566037735849,0.5175438596491229,0.6759410801963993
0.35,404,725,424,0.9528301886792453,0.5572413793103448,0.7032201914708442
0.4,399,672,424,0.9410377358490566,0.59375,0.7281021897810219
0.45,388,625,424,0.9150943396226415,0.6208,0.7397521448999047
0.5,385,587,424,0.9080188679245284,0.65587734241908,0.7616221562809099
0.55,374,538,424,0.8820754716981132,0.6951672862453532,0.7775467775467776
0.6,357,487,424,0.8419811320754716,0.7330595482546202,0.7837541163556532
0.65,333,439,424,0.785377358490566,0.7585421412300684,0.7717265353418308
0.7,298,374,424,0.7028301886792453,0.7967914438502673,0.7468671679197995
0.75,238,281,424,0.5613207547169812,0.8469750889679716,0.675177304964539
0.8,170,197,424,0.4009433962264151,0.8629441624365483,0.5475040257648953
0.85,114,125,424,0.2688679245283019,0.912,0.4153005464480874
0.9,46,47,424,0.10849056603773585,0.9787234042553191,0.19532908704883226
0.95,8,8,424,0.018867924528301886,1.0,0.037037037037037035
