n_sd,cut_m2,overlap,n_pred,matched,precision,recall,f1,candidates
none,0,0.5,984,613,0.623,0.943,0.75,371
none,0,0.3,984,613,0.623,0.943,0.75,371
4.0,171,0.5,962,612,0.636,0.942,0.759,350
4.0,171,0.3,962,612,0.636,0.942,0.759,350
3.0,283,0.5,932,609,0.653,0.937,0.77,323
3.0,283,0.3,932,609,0.653,0.937,0.77,323
2.5,364,0.5,915,605,0.661,0.931,0.773,310
2.5,364,0.3,915,605,0.661,0.931,0.773,310
2.0,468,0.5,893,600,0.672,0.923,0.778,293
2.0,468,0.3,893,600,0.672,0.923,0.778,293
1.5,602,0.5,859,592,0.689,0.911,0.785,267
1.5,602,0.3,859,592,0.689,0.911,0.785,267
