threshold,ha_claimed,pct_of_tile,n_heldout_road,found,missed,recall,n_clean,found_clean,recall_clean,km_road_covered,km_road_total,drainage_claimed_frac,not_road_claimed_frac
0.05,159.1,7.857,1220,1214,6,0.995,735,729,0.992,42.8,43.07,0.039,0.0
0.1,126.52,6.248,1220,1209,11,0.991,735,724,0.985,42.69,43.07,0.034,0.0
0.15,111.48,5.505,1220,1207,13,0.989,735,722,0.982,42.6,43.07,0.029,0.0
0.2,101.65,5.02,1220,1207,13,0.989,735,722,0.982,42.56,43.07,0.026,0.0
0.25,94.14,4.649,1220,1205,15,0.988,735,720,0.98,42.5,43.07,0.026,0.0
0.3,87.98,4.345,1220,1202,18,0.985,735,717,0.976,42.42,43.07,0.023,0.0
0.35,82.74,4.086,1220,1201,19,0.984,735,716,0.974,42.35,43.07,0.023,0.0
0.4,78.09,3.856,1220,1198,22,0.982,735,713,0.97,42.28,43.07,0.021,0.0
0.45,73.79,3.644,1220,1196,24,0.98,735,711,0.967,42.18,43.07,0.021,0.0
0.5,69.54,3.434,1220,1192,28,0.977,735,707,0.962,42.1,43.07,0.021,0.0
0.6,60.65,2.995,1220,1189,31,0.975,735,704,0.958,41.93,43.07,0.016,0.0
0.7,50.69,2.503,1220,1179,41,0.966,735,694,0.944,41.64,43.07,0.016,0.0
0.8,38.86,1.919,1220,1161,59,0.952,735,679,0.924,40.72,43.07,0.013,0.0
0.9,22.85,1.129,1220,1033,187,0.847,735,586,0.797,35.35,43.07,0.01,0.0
