model,kind,block_split,radius_m,n_uncounted,n_recovered,frac
pit_unet_v2,pit,test,10,127,2,0.015748031496062992
pit_unet_v2,pit,test,15,127,2,0.015748031496062992
pit_unet_v2,pit,test,20,127,2,0.015748031496062992
pit_unet_v2,pit,test,25,127,2,0.015748031496062992
pit_unet_v2,pit,test,30,127,7,0.05511811023622047
pit_unet_v2,pit,test,40,127,14,0.11023622047244094
pit_unet_v2,pit,test,50,127,21,0.16535433070866143
pit_unet_v2,pit,test,75,127,43,0.33858267716535434
pit_unet_v2,pit,test,100,127,67,0.5275590551181102
pit_unet_v2,pit,val,10,134,3,0.022388059701492536
pit_unet_v2,pit,val,15,134,3,0.022388059701492536
pit_unet_v2,pit,val,20,134,3,0.022388059701492536
pit_unet_v2,pit,val,25,134,5,0.03731343283582089
pit_unet_v2,pit,val,30,134,6,0.04477611940298507
pit_unet_v2,pit,val,40,134,13,0.09701492537313433
pit_unet_v2,pit,val,50,134,17,0.12686567164179105
pit_unet_v2,pit,val,75,134,36,0.26865671641791045
pit_unet_v2,pit,val,100,134,65,0.48507462686567165
pit_unet_v2,pit,train,10,590,14,0.023728813559322035
pit_unet_v2,pit,train,15,590,24,0.04067796610169491
pit_unet_v2,pit,train,20,590,35,0.059322033898305086
pit_unet_v2,pit,train,25,590,36,0.061016949152542375
pit_unet_v2,pit,train,30,590,48,0.08135593220338982
pit_unet_v2,pit,train,40,590,68,0.1152542372881356
pit_unet_v2,pit,train,50,590,110,0.1864406779661017
pit_unet_v2,pit,train,75,590,239,0.40508474576271186
pit_unet_v2,pit,train,100,590,325,0.5508474576271186
pit_unet_v2,pit,all,10,854,19,0.02224824355971897
pit_unet_v2,pit,all,15,854,29,0.03395784543325527
pit_unet_v2,pit,all,20,854,40,0.0468384074941452
pit_unet_v2,pit,all,25,854,43,0.05035128805620609
pit_unet_v2,pit,all,30,854,61,0.07142857142857142
pit_unet_v2,pit,all,40,854,95,0.11124121779859485
pit_unet_v2,pit,all,50,854,148,0.17330210772833723
pit_unet_v2,pit,all,75,854,318,0.37236533957845436
pit_unet_v2,pit,all,100,854,457,0.5351288056206089
plat_unet,pad,test,10,60,10,0.16666666666666666
plat_unet,pad,test,15,60,11,0.18333333333333332
plat_unet,pad,test,20,60,15,0.25
plat_unet,pad,test,25,60,15,0.25
plat_unet,pad,test,30,60,19,0.31666666666666665
plat_unet,pad,test,40,60,23,0.38333333333333336
plat_unet,pad,test,50,60,30,0.5
plat_unet,pad,test,75,60,50,0.8333333333333334
plat_unet,pad,test,100,60,53,0.8833333333333333
plat_unet,pad,val,10,79,18,0.22784810126582278
plat_unet,pad,val,15,79,20,0.25316455696202533
plat_unet,pad,val,20,79,25,0.31645569620253167
plat_unet,pad,val,25,79,30,0.379746835443038
plat_unet,pad,val,30,79,33,0.4177215189873418
plat_unet,pad,val,40,79,38,0.4810126582278481
plat_unet,pad,val,50,79,54,0.6835443037974683
plat_unet,pad,val,75,79,74,0.9367088607594937
plat_unet,pad,val,100,79,79,1.0
plat_unet,pad,train,10,368,90,0.24456521739130435
plat_unet,pad,train,15,368,113,0.3070652173913043
plat_unet,pad,train,20,368,128,0.34782608695652173
plat_unet,pad,train,25,368,143,0.38858695652173914
plat_unet,pad,train,30,368,161,0.4375
plat_unet,pad,train,40,368,203,0.5516304347826086
plat_unet,pad,train,50,368,263,0.7146739130434783
plat_unet,pad,train,75,368,333,0.904891304347826
plat_unet,pad,train,100,368,351,0.9538043478260869
plat_unet,pad,all,10,510,118,0.23137254901960785
plat_unet,pad,all,15,510,144,0.2823529411764706
plat_unet,pad,all,20,510,168,0.32941176470588235
plat_unet,pad,all,25,510,188,0.3686274509803922
plat_unet,pad,all,30,510,213,0.4176470588235294
plat_unet,pad,all,40,510,264,0.5176470588235295
plat_unet,pad,all,50,510,347,0.6803921568627451
plat_unet,pad,all,75,510,457,0.8960784313725491
plat_unet,pad,all,100,510,484,0.9490196078431372
