fold,objective,prob_threshold,ckpt_epoch,n_gt_floors_613590,n_rims_613590,n_pred,n_unmatched_pred_NOT_FALSE_POSITIVES,recall_iou30_613590,recall_iou50_613590,containment_613590,containment_hits,recall_iou30_9t_heldout,delta_recall_iou30
0,f1,0.55,30,153,36,291,168,0.803921568627451,0.39869281045751637,0.8611111111111112,31,0.8640776699029126,-0.06015610127546156
0,f2,0.35,30,153,36,540,395,0.9477124183006536,0.9150326797385621,0.9444444444444444,34,0.912621359223301,0.03509105907735255
1,f1,0.6,22,153,36,440,343,0.6339869281045751,0.32679738562091504,0.7222222222222222,26,0.82,-0.18601307189542482
1,f2,0.45,22,153,36,586,459,0.8300653594771242,0.7254901960784313,0.8055555555555556,29,0.93,-0.09993464052287582
2,f1,0.45,24,153,36,363,226,0.8954248366013072,0.6666666666666666,0.9166666666666666,33,0.898989898989899,-0.0035650623885917776
2,f2,0.45,24,153,36,363,226,0.8954248366013072,0.6666666666666666,0.9166666666666666,33,0.898989898989899,-0.0035650623885917776
3,f1,0.6,31,153,36,470,358,0.7320261437908496,0.2875816993464052,0.8611111111111112,31,0.81,-0.07797385620915043
3,f2,0.4,31,153,36,1162,1020,0.9281045751633987,0.8758169934640523,0.9166666666666666,33,0.95,-0.02189542483660123
4,f1,0.5,32,153,36,363,226,0.8954248366013072,0.6143790849673203,0.9166666666666666,33,0.9108910891089108,-0.015466252507603584
4,f2,0.4,32,153,36,401,255,0.954248366013072,0.8562091503267973,0.9444444444444444,34,0.9504950495049505,0.003753316508121496
