pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,PC1_depth_volume,PC2_size_vs_slope,PC3_rim_asymmetry,z_depth_from_rim_mean_m,z_depth_from_rim_max_m,z_rim_radius_m,z_effective_radius_m,z_diameter_m,z_aspect_ratio,z_rim_symmetry_std_m,z_volume_approx_m3,z_lrm5_depth_m,z_lrm11_depth_m,z_slope_inner_deg,anomaly_reason,anomaly_reason_zscore,anomaly_rank
427.8201,427.7849,428.0599,-0.0352,0.2398,1.0000,5.0990,2.0000,-0.0176,0.2107,-0.0368,0.1194,0.5406,13.4908,450,9t,,3.7138,2.0880,11.0931,0.6823,-6.0094,-2.2520,1.9234,-2.1172,-1.9591,-3.7138,-1.7286,-3.7138,-2.5735,-1.0094,-1.4876,1.7516,2.3555,0.5575,rim_radius_m,-3.7138,1
421.1044,422.1282,422.6072,1.0238,1.5028,3.0000,5.2421,6.0000,0.1706,0.3517,9.6491,-0.7404,-0.8203,21.7648,197,9t,,4.0524,1.7943,10.8652,0.6383,-2.3017,5.8745,2.1686,0.8374,-0.1778,-2.3129,-1.3395,-2.3129,3.7224,-0.7177,-1.0438,-4.0524,-1.3118,1.9086,lrm5_depth_m,-4.0524,2
551.2208,551.1882,551.4876,-0.0327,0.2668,1.5000,5.0990,3.0000,-0.0109,0.1971,-0.0769,0.1146,0.4410,11.3252,809,mk5,,3.3636,1.9430,8.9207,0.6661,-5.7430,-2.1845,1.5527,-2.1102,-1.9211,-3.3636,-1.7286,-3.3636,-2.3495,-1.0376,-1.4894,1.7186,2.0869,0.2039,rim_radius_m,-3.3636,3
572.7540,575.2961,577.5945,2.5421,4.8405,7.5000,6.2037,15.0000,0.1695,2.1620,149.7393,-0.1523,-0.3182,17.3147,575,mk5,,5.3750,2.3592,8.7175,0.6683,8.4576,4.1276,1.3923,5.0734,4.5297,0.8392,1.2758,0.8392,3.6835,3.0295,5.3750,-0.0826,0.0411,1.1820,volume_approx_m3,5.3750,4
560.2695,562.0749,566.1622,1.8054,5.8927,7.5000,5.6569,15.0000,0.1204,2.4587,106.3480,-0.5836,-1.3003,22.2722,846,mkf,,6.0138,2.5076,8.3396,0.6758,7.0976,5.1359,2.5676,3.0181,6.0138,0.8392,-0.2114,0.8392,2.0407,3.6436,3.3868,-2.9938,-2.6051,1.9915,depth_from_rim_max_m,6.0138,5
588.4158,588.4159,588.4777,0.0001,0.0619,1.0000,5.0990,2.0000,0.0001,0.0458,0.0001,0.0204,0.1603,5.4190,702,mk5,,3.7138,1.9436,7.9679,0.6637,-6.3088,-1.2113,0.6242,-2.0188,-2.2100,-3.7138,-1.7286,-3.7138,-1.9834,-1.3510,-1.4859,1.0829,1.3305,-0.7605,rim_radius_m,-3.7138,6
478.4638,479.6309,480.2069,1.1671,1.7431,3.5000,5.0000,7.0000,0.1667,0.3764,14.9719,-0.6208,-0.8881,22.6632,330,9t,,3.5918,1.7432,7.7714,0.6249,-1.7830,5.6590,2.5434,1.2372,0.1611,-1.9627,-1.9979,-1.9627,3.5918,-0.6666,-0.7999,-3.2455,-1.4945,2.0554,aspect_ratio,3.5918,7
436.5246,437.2833,437.8574,0.7587,1.3328,3.0000,5.0990,6.0000,0.1264,0.3174,7.1506,-0.5671,-0.4840,19.4604,351,9t,,2.8829,1.4438,7.5787,0.5909,-2.9667,3.9041,2.1943,0.0977,-0.4176,-2.3129,-1.7286,-2.3129,2.2444,-0.7887,-1.1583,-2.8829,-0.4055,1.5323,lrm5_depth_m,-2.8829,8
407.0630,407.8901,409.1459,0.8271,2.0829,7.5000,5.3852,15.0000,0.0551,2.6300,48.7195,0.1785,0.7648,32.2173,194,9t,,3.9982,1.5608,6.8488,0.5880,2.9706,-2.8895,5.0398,0.2885,0.6404,0.8392,-0.9504,0.8392,-0.1410,3.9982,0.7463,2.1504,2.9594,3.6155,rim_symmetry_std_m,3.9982,9
626.9547,627.0443,627.5361,0.0897,0.5814,1.5000,5.0990,3.0000,0.0299,0.3011,0.2113,-0.0145,0.2752,17.1173,697,mk5,,3.3636,1.6931,6.8332,0.6240,-5.1611,-0.7076,2.3258,-1.7689,-1.4773,-3.3636,-1.7286,-3.3636,-0.9857,-0.8223,-1.4762,0.8477,1.6402,1.1497,rim_radius_m,-3.3636,10
608.5508,610.6226,613.3939,2.0717,4.8431,7.5000,6.0000,15.0000,0.1381,2.8074,122.0342,-0.2657,-0.3908,17.1758,751,mk5,,4.5334,2.1784,6.7717,0.6461,7.6527,3.2036,2.1205,3.7611,4.5334,0.8392,0.7219,0.8392,2.6346,4.3655,4.1055,-0.8485,-0.1544,1.1593,depth_from_rim_max_m,4.5334,11
413.2109,414.6068,415.7679,1.3958,2.5569,4.0000,5.0990,8.0000,0.1745,0.5064,23.3871,-0.5468,-1.1389,22.2098,188,9t,,3.8509,1.7907,6.7128,0.6491,-0.4397,6.0785,2.3356,1.8753,1.3090,-1.6124,-1.7286,-1.6124,3.8509,-0.3974,-0.4144,-2.7453,-2.1702,1.9813,aspect_ratio,3.8509,12
375.6062,376.3812,377.1682,0.7750,1.5619,7.5000,6.3246,15.0000,0.0517,1.8877,45.6491,0.4366,0.7394,24.0430,447,9t,,3.8927,1.4463,6.6003,0.5750,2.6899,-3.9502,2.1292,0.1431,-0.0944,0.8392,1.6046,0.8392,-0.2572,2.4617,0.6057,3.8927,2.8911,2.2807,lrm5_depth_m,3.8927,13
593.9664,594.1807,594.2864,0.2144,0.3201,2.0000,5.0990,4.0000,0.0536,0.0968,0.8979,-0.1724,-0.0121,6.5958,764,mk5,,3.0133,1.4144,5.9835,0.5748,-5.2187,0.3921,0.6953,-1.4210,-1.8459,-3.0133,-1.7286,-3.0133,-0.1929,-1.2453,-1.4448,-0.2186,0.8659,-0.5684,rim_radius_m,-3.0133,14
445.9645,446.5916,446.8580,0.6271,0.8935,3.0000,5.0990,6.0000,0.1045,0.2730,5.9103,-0.3903,-0.4541,15.6133,265,9t,,2.3129,1.2896,5.9826,0.5432,-3.4783,2.7157,1.6339,-0.2694,-1.0371,-2.3129,-1.7286,-2.3129,1.5107,-0.8806,-1.2151,-1.6892,-0.3249,0.9041,rim_radius_m,-2.3129,15
571.4290,573.3465,575.2365,1.9175,3.8074,7.5000,6.3246,15.0000,0.1278,1.3761,112.9489,-0.0654,-0.3925,12.0605,614,mk5,,3.6893,1.6415,5.9537,0.5792,5.8675,2.3778,-0.1131,3.3308,3.0727,0.8392,1.6046,0.8392,2.2906,1.4028,3.6893,0.5041,-0.1588,0.3240,volume_approx_m3,3.6893,16
450.5915,451.4236,452.4706,0.8322,1.8791,6.5000,5.3852,13.0000,0.0640,1.0518,36.8179,-0.5620,-0.6984,16.4589,245,9t,,2.8479,0.7132,5.8733,0.5125,0.3931,1.9969,1.2649,0.3027,0.3529,0.1387,-0.9504,0.1387,0.1558,0.7315,0.2010,-2.8479,-0.9832,1.0422,lrm5_depth_m,-2.8479,17
517.1874,518.8098,520.1150,1.6224,2.9276,7.5000,5.3852,15.0000,0.1082,1.1671,95.5658,-0.4888,-1.2325,20.2338,578,mk5,,2.8928,1.7180,5.8560,0.5940,3.7638,4.2533,1.3866,2.5074,1.8317,0.8392,-0.9504,0.8392,1.6325,0.9701,2.8928,-2.3539,-2.4224,1.6586,volume_approx_m3,2.8928,18
469.3127,470.2197,470.4343,0.9070,1.1216,3.5000,5.3852,7.0000,0.1296,0.1085,11.6349,-0.5581,-0.7968,17.7747,673,mk5,,2.8222,1.4503,5.7177,0.5660,-2.5411,4.2848,1.1388,0.5114,-0.7154,-1.9627,-0.9504,-1.9627,2.3487,-1.2210,-0.9528,-2.8222,-1.2485,1.2571,lrm5_depth_m,-2.8222,19
628.4749,630.1606,631.5193,1.6857,3.0444,7.5000,6.3246,15.0000,0.1124,1.7713,99.2977,-0.0093,-0.1024,7.1535,605,mk5,,3.0638,1.5458,5.6486,0.5543,5.1173,0.9115,-0.3233,2.6842,1.9965,0.8392,1.6046,0.8392,1.7738,2.2207,3.0638,0.8823,0.6227,-0.4773,volume_approx_m3,3.0638,20
457.3885,458.4148,459.5957,1.0263,2.2073,4.5000,5.3852,9.0000,0.1140,0.5230,21.7636,-0.6622,-0.9366,18.8317,499,9t,,3.5248,1.3087,5.6064,0.5396,-0.8282,4.4589,1.4475,0.8444,0.8158,-1.2622,-0.9504,-1.2622,1.8291,-0.3631,-0.4887,-3.5248,-1.6252,1.4297,lrm5_depth_m,-3.5248,21
482.8365,483.1910,484.1970,0.3545,1.3605,7.5000,5.6569,15.0000,0.0236,1.1490,20.8813,0.3192,0.4657,27.1262,284,9t,,3.0998,1.2720,5.6057,0.5077,0.5375,-3.8651,2.7378,-1.0300,-0.3785,0.8392,-0.2114,0.8392,-1.1949,0.9327,-0.5292,3.0998,2.1535,2.7841,lrm5_depth_m,3.0998,22
604.9099,605.0789,605.4195,0.1690,0.5096,2.0000,5.3852,4.0000,0.0423,0.1240,0.7079,-0.1393,0.1492,6.8357,771,mk5,,3.0133,1.3775,5.5941,0.5691,-4.9347,-0.1908,0.4462,-1.5476,-1.5785,-3.0133,-0.9504,-3.0133,-0.5721,-1.1890,-1.4535,0.0051,1.3006,-0.5292,rim_radius_m,-3.0133,23
483.5341,485.0346,485.3727,1.5005,1.8386,7.5000,6.0828,15.0000,0.1000,0.1486,88.3879,-0.4371,-1.1025,19.4038,118,9t,,2.5639,1.4320,5.5443,0.5688,2.6374,3.5932,-0.5114,2.1674,0.2958,0.8392,0.9470,0.8392,1.3608,-1.1380,2.5639,-2.0052,-2.0721,1.5231,volume_approx_m3,2.5639,24
417.3177,418.5231,420.4081,1.2054,3.0904,7.5000,5.2421,15.0000,0.0804,1.1386,71.0047,-0.5866,-0.9338,22.8827,855,9t,,3.0142,1.5025,5.4325,0.5763,2.7690,3.2302,2.1192,1.3441,2.0614,0.8392,-1.3395,0.8392,0.7027,0.9112,1.7674,-3.0142,-1.6175,2.0912,lrm5_depth_m,-3.0142,25
408.8865,409.6255,411.1714,0.7390,2.2848,7.5000,5.0990,15.0000,0.0493,2.0554,43.5297,-0.0143,0.5107,21.4133,462,9t,,2.8088,1.1822,5.4013,0.5317,1.9760,-2.0025,3.6354,0.0427,0.9252,0.8392,-1.7286,0.8392,-0.3375,2.8088,0.5086,0.8485,2.2749,1.8512,rim_symmetry_std_m,2.8088,26
456.4511,458.5910,460.1906,2.1399,3.7395,7.5000,6.0828,15.0000,0.1427,1.3482,126.0519,-0.3038,-1.0235,11.7299,241,9t,,4.2896,1.9282,5.2059,0.6153,6.0385,4.5314,-0.2549,3.9514,2.9769,0.8392,0.9470,0.8392,2.7867,1.3450,4.2896,-1.1056,-1.8593,0.2700,volume_approx_m3,4.2896,27
550.2513,551.3603,552.6741,1.1090,2.4228,5.0000,5.3852,10.0000,0.1109,0.7004,29.0338,-0.0714,-0.7512,7.2832,854,mkf,,1.7243,0.8089,5.1998,0.4989,-0.0635,2.1698,0.2957,1.0751,1.1198,-0.9120,-0.9504,-0.9120,1.7243,0.0042,-0.1556,0.4633,-1.1256,-0.4561,aspect_ratio,1.7243,28
425.9232,427.7421,428.5518,1.8189,2.6286,7.5000,6.0828,15.0000,0.1213,1.2030,107.1408,-0.3757,-0.8300,17.0254,255,9t,,3.4231,1.6084,5.1710,0.5596,4.6008,3.6022,0.2344,3.0557,1.4100,0.8392,0.9470,0.8392,2.0707,1.0446,3.4231,-1.5909,-1.3377,1.1347,volume_approx_m3,3.4231,29
407.5880,408.2257,409.9736,0.6377,2.3856,7.5000,5.6569,15.0000,0.0425,1.7437,37.5634,-0.1827,0.0298,31.3992,456,9t,,3.4819,0.9917,5.1441,0.4969,2.1174,-1.0266,3.5148,-0.2399,1.0673,0.8392,-0.2114,0.8392,-0.5634,2.1637,0.2352,-0.2882,0.9790,3.4819,slope_inner_deg,3.4819,30
483.4205,484.9748,485.7150,1.5543,2.2945,7.5000,6.0828,15.0000,0.1036,0.2763,91.5535,-0.3453,-1.0052,18.6665,130,9t,,2.7090,1.4130,5.1360,0.5468,3.1452,3.3535,-0.3767,2.3174,0.9388,0.8392,0.9470,0.8392,1.4806,-0.8738,2.7090,-1.3855,-1.8100,1.4027,volume_approx_m3,2.7090,31
540.8144,541.5693,544.4690,0.7549,3.6546,7.5000,6.0828,15.0000,0.0503,1.4828,44.4663,-0.1201,-0.4502,5.3585,676,mk5,,2.8571,0.8424,5.1282,0.4526,2.8556,-0.3924,-0.4464,0.0871,2.8571,0.8392,0.9470,0.8392,-0.3020,1.6237,0.5515,0.1345,-0.3144,-0.7704,depth_from_rim_max_m,2.8571,32
465.1045,465.9604,466.6417,0.8560,1.5372,3.5000,5.0990,7.0000,0.1223,0.3691,10.9808,-0.4880,-0.7112,19.0872,506,9t,,2.3488,1.3418,5.0909,0.5489,-2.3650,3.8594,1.9964,0.3692,-0.1292,-1.9627,-1.7286,-1.9627,2.1050,-0.6816,-0.9828,-2.3488,-1.0178,1.4714,lrm5_depth_m,-2.3488,33
574.7608,576.2933,578.7186,1.5325,3.9578,7.5000,6.0000,15.0000,0.1022,2.2660,90.2736,-0.2275,-0.2136,13.6363,607,mk5,,3.2848,1.5240,5.0865,0.5635,5.4408,1.4893,1.3323,2.2568,3.2848,0.8392,0.7219,0.8392,1.4322,3.2447,2.6503,-0.5906,0.3230,0.5813,depth_from_rim_max_m,3.2848,34
645.3082,646.8329,649.5862,1.5247,4.2780,7.5000,6.4031,15.0000,0.1016,1.8640,89.8098,-0.0861,-0.3434,5.8877,765,mkf,,3.7363,1.5454,5.0500,0.5700,5.5506,1.2104,-0.4647,2.2348,3.7363,0.8392,1.8183,0.8392,1.4146,2.4127,2.6291,0.3640,-0.0268,-0.6840,depth_from_rim_max_m,3.7363,35
387.1492,389.0599,390.2218,1.9106,3.0726,7.5000,6.0828,15.0000,0.1274,1.2440,112.5463,-0.2589,-0.9410,12.5493,43,9t,,3.6708,1.6266,5.0363,0.5644,5.0728,3.6328,-0.2648,3.3117,2.0362,0.8392,0.9470,0.8392,2.2754,1.1294,3.6708,-0.8026,-1.6370,0.4038,volume_approx_m3,3.6708,36
395.3396,396.1779,397.3370,0.8383,1.9974,7.5000,5.7439,15.0000,0.0559,1.9858,49.3774,0.0555,0.5535,32.8783,458,9t,,3.7234,1.2303,5.0362,0.5484,2.7128,-2.0846,3.9948,0.3197,0.5198,0.8392,0.0253,0.8392,-0.1161,2.6648,0.7765,1.3196,2.3902,3.7234,slope_inner_deg,3.7234,37
