PERMIT_NUM,WELL_STATU,spud_year,spud_class,era,d_any_annotation,pad_idx,area_m2c,perim_m,compactness,elongation,d_pad,pit_idx,d_pit,has_pad,has_pit,wells_on_pad
121-32096,Plugged OG Well,1800.0,sentinel_1800,,75.79073188605874,,,,,,,,,False,False,
121-32097,Plugged OG Well,1982.0,real,1980-1999,91.51220894508955,,,,,,,,,False,False,
121-32112,Plugged OG Well,1982.0,real,1980-1999,60.14962938371496,,,,,,,,,False,False,
121-26512,Plugged OG Well,1979.0,real,1956-1979,103.3330983159756,,,,,,,,,False,False,
121-32087,Plugged OG Well,1982.0,real,1980-1999,0.0,378.0,1883.6963499907506,174.20620538992526,0.7799980526346214,0.5826172087279302,0.0,358.0,6.6544450463288,True,True,1.0
121-32114,Plugged OG Well,1982.0,real,1980-1999,89.13838922559835,,,,,,,,,False,False,
121-26524,Plugged OG Well,1979.0,real,1956-1979,0.0,960.0,1839.8363170301461,163.44883212589173,0.8654169712431882,0.636611583292593,0.0,,,True,False,1.0
121-26485,Plugged OG Well,1979.0,real,1956-1979,66.08859716646388,,,,,,,,,False,False,
121-26501,Plugged OG Well,1979.0,real,1956-1979,117.59667581242736,,,,,,,,,False,False,
121-26493,Plugged OG Well,1979.0,real,1956-1979,76.52335682602222,,,,,,,,,False,False,
121-26492,Plugged OG Well,1979.0,real,1956-1979,0.0,927.0,1392.2904569486786,161.7952269222133,0.66835668995597,0.45490524701728136,0.0,281.0,15.175415089773393,True,True,1.0
121-32056,Plugged OG Well,1982.0,real,1980-1999,0.0,785.0,1853.6492576416508,173.61976280114862,0.7727501686220232,0.8467339604536002,0.0,,,True,False,1.0
121-26460,Plugged OG Well,1979.0,real,1956-1979,0.0,829.0,2134.0102554852347,193.51756645887457,0.7160866515768012,0.8287038157212449,0.0,,,True,False,1.0
121-42789,Plugged OG Well,1989.0,real,1980-1999,105.94664721569652,,,,,,,,,False,False,
