OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data file date,Well_info,Location_n,Other_note,x,y
97559,API:37121000860000,Pennsylvania,Venango,CORSE 2, , ,Orphan,41.475145,-79.65118, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6511800003567,41.4751450003416
97560,API:37121000870000,Pennsylvania,Venango,CORSE 3, , ,Orphan,41.474014,-79.652765, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6527649997049,41.4740140003459
97561,API:37121000880000,Pennsylvania,Venango,CORSE 4, , ,Orphan,41.474007,-79.650365, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.650364999645,41.4740070000231
97562,API:37121000890000,Pennsylvania,Venango,CORSE 5, , ,Orphan,41.476272,-79.652457, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6524569998906,41.4762720001527
97563,API:37121000900000,Pennsylvania,Venango,CORSE 7, , ,Orphan,41.473242,-79.650749, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6507490002661,41.4732419998185
97564,API:37121000910000,Pennsylvania,Venango,CORSE 8, , ,Orphan,41.473443,-79.649735, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.64973500027,41.4734430000944
97565,API:37121000920000,Pennsylvania,Venango,CORSE 9, , ,Orphan,41.473728,-79.648936, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6489360002961,41.4737279997474
97566,API:37121000930000,Pennsylvania,Venango,CORSE 10, , ,Orphan,41.47492,-79.649696, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6496960002702,41.4749199998582
97567,API:37121000940000,Pennsylvania,Venango,CORSE 11, , ,Orphan,41.47573,-79.649756, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6497560003391,41.4757300003393
97568,API:37121000950000,Pennsylvania,Venango,CORSE 12, , ,Orphan,41.477023,-79.648853, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6488530000659,41.4770229997117
97569,API:37121000960000,Pennsylvania,Venango,CORSE 17, , ,Orphan,41.474201,-79.65417, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6541699997456,41.4742009999762
97570,API:37121000970000,Pennsylvania,Venango,CORSE 18, , ,Orphan,41.474398,-79.654852, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.65485199972,41.4743980000677
97571,API:37121000980000,Pennsylvania,Venango,CORSE 19C, , ,Orphan,41.476378,-79.651482, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6514819998943,41.476377999645
97572,API:37121000990000,Pennsylvania,Venango,CORSE 20, , ,Orphan,41.475914,-79.653576, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6535760002322,41.4759139998313
