block,permit,name,status,spud_year,permit_year,on_chm_min,baseline_p75,deficit,x,y
e1423n2235,083-11892,MIDDLEBROUGH E020,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700714.0446451376,4647301.370472835
e1423n2235,083-11979,WHITEHEAD 2,DEP Orphan List,1800.0,1995.0,14.059814453125,25.25933837890625,11.19952392578125,700382.3767322486,4648265.808421681
e1423n2235,083-11995,WHITEHEAD WH 7,DEP Orphan List,1800.0,1995.0,12.8985595703125,25.25933837890625,12.36077880859375,700299.577612038,4648390.04496334
e1423n2235,083-11997,WHITEHEAD WH 9,DEP Orphan List,1800.0,1995.0,9.2962646484375,25.25933837890625,15.96307373046875,700437.2592261482,4648645.524537129
e1423n2235,083-12010,WHITEHEAD WH 5,DEP Orphan List,1800.0,1995.0,18.365966796875,25.25933837890625,6.89337158203125,700263.0569473155,4648320.448871236
e1423n2235,083-23152,SHANNON ROYALTY K02,DEP Abandoned List,1964.0,1964.0,,25.25933837890625,,700073.2060479617,4648802.830612289
e1423n2235,083-11875,MIDDLEBROUGH E 01,DEP Orphan List,1800.0,1995.0,11.86968994140625,25.25933837890625,13.3896484375,700377.4811628892,4647977.9618219985
e1423n2235,083-12005,WHITEHEAD 08,DEP Orphan List,1800.0,1995.0,13.575927734375,25.25933837890625,11.68341064453125,700313.4561849772,4648550.682131374
e1423n2235,083-10692,LAWTON 125,DEP Orphan List,1800.0,1995.0,18.34161376953125,25.25933837890625,6.917724609375,699380.7237637509,4648249.822190153
e1423n2235,083-10699,LAWTON 69,DEP Orphan List,1800.0,1995.0,21.5081787109375,25.25933837890625,3.75115966796875,700224.2715358915,4648075.319462519
e1423n2235,083-11991,WHITEHEAD WH 2,DEP Orphan List,1800.0,1995.0,15.32830810546875,25.25933837890625,9.9310302734375,700385.2983804068,4648323.899324011
e1423n2235,083-10683,LAWTON 68,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,699898.9277274312,4648798.030010273
e1423n2235,083-10697,LAWTON 156,DEP Orphan List,1800.0,1995.0,11.4251708984375,25.25933837890625,13.83416748046875,699467.8541210426,4648404.735821848
