feature,bold,faint,delta,auc,p,nan_pct,inPANEL
opos_frac_bold,1.0,0.0,0.9866898148148149,0.9933449074074074,3.560179352902989e-15,0.0,
opos_zcontrast,-4.388006210327148,-0.2627667188644409,-0.9826388955116272,0.9913194179534912,1.728089005714143e-14,0.0,yes
lrm25_zcontrast,-2.92634654045105,-0.38519275188446045,-0.9699074029922485,0.9849537014961243,3.733141522147855e-14,0.0,yes
berm_min_m,0.41012001037597656,0.10453737527132034,0.9641203880310059,0.9820601940155029,5.281117611364433e-14,0.0,
sgres19_zcontrast,-2.4371066093444824,-0.27243441343307495,-0.9629629850387573,0.9814814925193787,5.659160612998468e-14,0.0,
tpi15_zcontrast,-2.3170390129089355,-0.3545774519443512,-0.9502314925193787,0.9751157164573669,1.2042858301298393e-13,0.0,yes
tpi05_zcontrast,-2.2929611206054688,-0.2521093487739563,-0.9398148059844971,0.9699074029922485,2.2178615823216508e-13,0.0,
lrm51_zcontrast,-2.3582546710968018,-0.34137260913848877,-0.9375,0.96875,2.53795872122084e-13,0.0,
incision_depth_m,0.48722586035728455,0.17015087604522705,0.9351851940155029,0.9675925970077515,2.9033318717924805e-13,0.0,yes
opos_along_sd,1.9034183025360107,0.6464507579803467,0.9097222089767456,0.9548611044883728,1.2479959557096243e-12,0.0,
lrm5_zcontrast,-0.5690605044364929,0.0994284376502037,-0.8877314925193787,0.9438657164573669,4.261793175308615e-12,0.0,
lrm11_zcontrast,-1.4520108699798584,-0.050982266664505005,-0.8784722089767456,0.9392361044883728,7.086195779465454e-12,0.0,
raniso_zcontrast,2.36125111579895,0.735930323600769,0.8622685670852661,0.9311342835426331,1.7040693509051685e-11,0.0,
berm_max_m,0.5867733955383301,0.2407326102256775,0.8333333730697632,0.9166666865348816,7.852769823291084e-11,0.0,
pcurv_zcontrast,-1.3243045806884766,-0.042596831917762756,-0.8275462985038757,0.9137731790542603,1.0595533478374719e-10,0.0,
tread_flat_m,0.08396483957767487,0.03538763150572777,0.8078703880310059,0.9039351940155029,2.890490069518137e-10,0.0,
tpi51_zcontrast,-1.8652430772781372,-0.33514344692230225,-0.7465277910232544,0.8732638955116272,5.694640758946434e-09,0.0,
slope_zcontrast,1.358070969581604,-0.1345933973789215,0.7372685670852661,0.8686342835426331,8.758211045289954e-09,0.0,yes
relief10_zcontrast,1.0008258819580078,-0.22874820232391357,0.6793981790542603,0.8396990895271301,1.1501998642415856e-07,0.0,yes
chm_zcontrast,1.648008108139038,0.04075758904218674,0.6064814329147339,0.8032407164573669,2.225427579105599e-06,0.0,
twi_zcontrast,-0.5017912983894348,-0.0350961908698082,-0.6041666269302368,0.8020833134651184,2.432373094052309e-06,0.0,
cut_width_m,13.875,16.0,-0.5613425925925926,0.7806712962962963,1.1537458162978535e-05,0.0,
oneg_zcontrast,-1.5311309099197388,-0.15737104415893555,-0.53125,0.765625,3.408894917811267e-05,0.0,yes
chm_contrast,0.03530120849609375,0.00171661376953125,0.4861111640930176,0.7430555820465088,0.0001495813048677519,0.0,
cdoublet_zcontrast,2.099874496459961,0.3273353576660156,0.31307876110076904,0.6565393805503845,0.013389038853347301,0.0,
bench_asym_m,0.16064941883087158,0.1304842233657837,0.24768519401550293,0.6238425970077515,0.05363445729017258,0.0,
intens_zcontrast,-0.0044811079278588295,0.18581326305866241,-0.20023149251937866,0.6001157760620117,0.11895197629928589,0.0,
allret_contrast,0.0,0.0,0.10879623889923096,0.5543981194496155,0.3644443452358246,0.0,
allret_zcontrast,0.0,0.0,0.10243058204650879,0.5512152910232544,0.39411941170692444,0.0,
gdens_zcontrast,0.0,0.0,0.0,0.5,1.0,0.0,
gdens_contrast,0.0,0.0,0.0,0.5,1.0,0.0,
