seg_id,class,src_file,src_line,length_m,n_transects,mid_x,mid_y,P_road,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
b0000,bold,bold_roads.shp,0,50.12,10,620510.92,4597039.72,0.8997,-5.1316,-4.8993,-4.4635,1.6911,4.8091,-3.0931,0.7617
b0001,bold,bold_roads.shp,0,50.18,10,620559.2,4597028.56,0.864,-1.5149,-1.6937,-1.1424,0.7387,3.3727,-0.8407,0.4197
b0002,bold,bold_roads.shp,0,50.15,10,620606.21,4597011.46,0.7899,-11.7042,-4.7171,-4.056,3.6029,5.0901,-6.1097,0.643
b0003,bold,bold_roads.shp,0,50.15,10,620652.22,4596992.24,0.8003,-9.931,-4.4955,-4.0982,2.045,2.4396,-5.3853,0.5432
b0004,bold,bold_roads.shp,0,50.12,10,620698.93,4596976.39,0.703,-8.4798,-3.6722,-3.2614,1.9101,0.9941,-2.5497,0.502
b0005,bold,bold_roads.shp,1,45.41,9,620544.95,4596746.93,0.8005,-2.1863,-2.312,-2.3423,0.1327,-0.2713,-0.3746,0.5423
b0006,bold,bold_roads.shp,1,45.4,9,620575.96,4596779.2,0.8685,-3.4725,-2.1014,-1.9444,2.051,0.8633,-2.0127,0.4697
b0007,bold,bold_roads.shp,1,45.24,9,620597.53,4596815.81,0.8655,-4.6704,-2.25,-2.136,2.3837,1.0889,-1.624,0.5992
b0008,bold,bold_roads.shp,2,50.1,10,620805.47,4596609.05,0.922,-3.1566,-1.5757,-1.9366,1.2104,1.4331,-1.5189,0.3869
b0009,bold,bold_roads.shp,2,49.99,9,620832.77,4596648.64,0.8297,-4.4633,-2.8684,-2.7761,1.3694,1.0091,-2.1964,0.3729
b0010,bold,bold_roads.shp,2,50.06,10,620864.58,4596685.45,0.752,-4.8298,-3.1956,-3.6719,0.7286,2.1364,-0.3308,0.4413
b0011,bold,bold_roads.shp,3,46.82,9,621132.35,4596557.99,0.769,-5.4363,-1.8455,-3.023,1.3181,0.6067,-4.0222,0.5501
b0012,bold,bold_roads.shp,3,46.81,9,621100.26,4596591.95,0.6385,-6.8471,-3.4667,-2.9877,2.4248,0.6804,-3.213,0.4933
b0013,bold,bold_roads.shp,3,46.8,9,621069.14,4596626.48,0.7877,-4.1611,-2.7485,-0.8882,2.2523,1.4404,-3.6656,0.4472
b0014,bold,bold_roads.shp,3,46.8,9,621041.36,4596663.32,0.8504,-2.4473,-0.8951,-1.2128,1.064,0.2372,-1.9646,0.3739
b0015,bold,bold_roads.shp,3,46.76,9,621039.32,4596707.58,0.8434,-2.1245,-1.042,-1.5426,-0.2095,0.7719,-0.0671,0.3973
b0016,bold,bold_roads.shp,4,51.23,10,621185.71,4596846.87,0.9491,-4.2963,-3.2756,-2.2264,1.4366,2.6725,-2.5349,0.4193
b0017,bold,bold_roads.shp,4,51.18,10,621135.06,4596848.42,0.9204,-4.6382,-2.6002,-1.409,1.7735,2.7634,-1.5434,0.4131
b0018,bold,bold_roads.shp,4,51.23,10,621086.78,4596834.0,0.8545,-6.0241,-3.6155,-3.3528,1.8401,5.1761,-2.2658,0.6132
b0019,bold,bold_roads.shp,5,49.22,9,621494.08,4596222.68,0.9196,-5.6159,-2.9498,-1.8684,1.2414,1.1515,-1.3701,0.4392
b0020,bold,bold_roads.shp,5,49.22,9,621458.34,4596256.52,0.8174,-2.695,-1.5084,-1.2825,1.2748,0.6181,-0.8127,0.4745
b0021,bold,bold_roads.shp,5,49.22,9,621421.15,4596288.75,0.5739,-3.8633,-3.4514,-3.1115,0.1609,0.6786,-0.7929,0.6042
b0022,bold,bold_roads.shp,5,49.22,9,621384.51,4596321.55,0.774,-8.5634,-2.6807,-1.3086,2.4464,0.3814,-5.0358,0.5492
b0023,bold,bold_roads.shp,5,49.22,9,621347.94,4596354.45,0.8592,-2.9457,-3.3657,-6.5585,0.4941,0.3831,-0.4967,0.7955
b0024,bold,bold_roads.shp,5,49.21,9,621312.83,4596388.88,0.9494,-7.543,-2.7515,-1.5912,1.3334,0.1692,-2.7221,0.5295
b0025,bold,bold_roads.shp,6,52.26,10,621514.8,4595687.32,0.4273,-7.9701,-5.5124,-4.3409,1.3827,0.8518,0.1678,0.6825
b0026,bold,bold_roads.shp,6,52.24,10,621498.75,4595735.8,0.7738,-6.2395,-3.5611,-3.6033,2.0414,0.2729,-3.016,0.5884
b0027,bold,bold_roads.shp,6,52.24,10,621472.87,4595779.23,0.7671,-9.1325,-3.6276,-2.1412,1.8068,1.3154,-3.43,0.3973
b0028,bold,bold_roads.shp,6,52.27,10,621445.91,4595822.2,0.351,-5.9624,-3.9906,-3.429,0.0474,1.7731,0.1376,0.6388
b0029,bold,bold_roads.shp,7,50.74,10,621903.56,4595161.67,0.5701,-1.9195,-2.021,-0.8263,-0.1109,0.7819,-0.1154,0.8855
b0030,bold,bold_roads.shp,7,50.8,10,621854.54,4595165.47,0.5597,-1.6426,-0.5604,-1.137,-0.2165,0.1796,0.4402,0.4396
b0031,bold,bold_roads.shp,7,50.74,10,621804.99,4595170.01,0.8336,-3.956,-3.3198,-3.2787,0.7188,1.0573,0.1717,0.4651
b0032,bold,bold_roads.shp,7,50.73,10,621756.03,4595175.59,0.6091,-1.4977,-1.4487,-1.9425,0.0562,1.0075,0.5878,0.4161
b0033,bold,bold_roads.shp,7,50.83,10,621712.56,4595201.11,0.7702,-4.3127,-3.6056,-4.6534,0.8265,0.7994,0.297,0.7005
b0034,bold,bold_roads.shp,7,50.67,10,621678.89,4595237.54,0.6185,-2.4111,-2.3319,-2.2063,-0.2218,0.7601,0.2343,0.4811
