feature,bold_med,faint_med,delta,auc,p,delta_transect,auc_transect,abs_delta,q
lrm25_road,-0.1274871826171875,-0.0229949951171875,-1.0,0.0,4.65967474383433e-07,-0.7771941063420884,0.1114029468289558,1.0,7.571971458730786e-06
road_density_100m_km,0.7155558157810716,0.10418991268631049,1.0,1.0,4.27559516490337e-05,,,1.0,7.571971458730786e-06
lrm25_contrast,-0.12755584716796875,-0.02382659912109375,-1.0,0.0,4.65967474383433e-07,-0.7485714285714286,0.12571428571428572,1.0,7.571971458730786e-06
opos_contrast,-2.7251510620117188,-0.146697998046875,-1.0,0.0,4.65967474383433e-07,-0.9085714285714286,0.045714285714285714,1.0,7.571971458730786e-06
opos_road,85.75895690917969,88.47357177734375,-1.0,0.0,4.65967474383433e-07,-0.9278923766816144,0.03605381165919282,1.0,7.571971458730786e-06
rough_contrast,0.12909944355487823,0.0,1.0,1.0,1.4475958778348286e-05,0.5688661114670083,0.7844330557335042,1.0,2.4230308667938516e-05
lrm5_road,-0.00968170166015625,-0.003265380859375,-0.9761904761904762,0.011904761904761904,6.97072537150234e-05,-0.5059833440102498,0.2470083279948751,0.9761904761904762,2.4230308667938516e-05
lrm5_contrast,-0.009677886962890625,-0.00164794921875,-0.9761904761904762,0.011904761904761904,1.863869897533732e-06,-0.4811531069827034,0.2594234465086483,0.9761904761904762,2.4230308667938516e-05
tpi15_road,-0.1778411865234375,-0.024322509765625,-0.9642857142857143,0.017857142857142856,3.261772462792578e-06,-0.7426777706598334,0.1286611146700833,0.9642857142857143,3.0287887154502512e-05
incision_depth_m,0.5469127893447876,0.18074439465999603,0.9642857142857143,0.9821428571428571,3.261772462792578e-06,0.8692632927610506,0.9346316463805253,0.9642857142857143,3.0287887154502512e-05
slope_contrast,2.3854033946990967,-0.43754518032073975,0.9523809523809523,0.9761904761904762,5.591609806288034e-06,0.5843177450352338,0.792158872517617,0.9523809523809523,4.5431829676090274e-05
dist_pad_m,0.0,126.44703279652353,-0.9404761904761905,0.02976190476190476,0.00011473983237438135,,,0.9404761904761905,0.00020292883527872618
tpi15_contrast,-0.1696014404296875,-0.029541015625,-0.9047619047619048,0.047619047619047616,3.121982081211172e-05,-0.6974503523382447,0.15127482383087765,0.9047619047619048,0.00020292883527872618
length_m,221.70604307519687,118.74728195146308,0.8452380952380952,0.9226190476190477,0.0001616907164133551,,,0.8452380952380952,0.0007507068976334343
relief10_contrast,0.2520294189453125,-0.1121063232421875,0.8333333333333334,0.9166666666666666,0.00021574294078163803,0.6208840486867393,0.8104420243433695,0.8333333333333334,0.0008764556969254045
oneg_contrast,-0.8485908508300781,0.02039337158203125,-0.8333333333333334,0.08333333333333333,0.00021574294078163803,-0.46234465086483023,0.2688276745675849,0.8333333333333334,0.0008764556969254045
oneg_road,87.90899658203125,88.6966781616211,-0.8095238095238095,0.09523809523809523,0.00037044414784759283,-0.46483023702754644,0.2675848814862268,0.8095238095238095,0.0014164040947113844
relief_amp_m,0.5755993127822876,0.2327665090560913,0.7976190476190477,0.8988095238095238,0.00047761667519807816,0.6867136450992953,0.8433568225496476,0.7976190476190477,0.0017247268826597268
oneg_near,88.28214263916016,88.87211608886719,-0.7619047619047619,0.11904761904761904,0.0009780657710507512,-0.5992825112107624,0.20035874439461884,0.7619047619047619,0.0031787137559149414
opos_near,88.10306549072266,88.76533508300781,-0.7619047619047619,0.11904761904761904,0.0009780657710507512,-0.6481742472773863,0.17591287636130684,0.7619047619047619,0.0031787137559149414
canopy_cover_context,0.15492957746478875,0.30985915492957744,-0.6011904761904762,0.1994047619047619,0.014648564387816603,-0.4632158872517617,0.26839205637411917,0.6011904761904762,0.03962804629866566
slope_road,5.268028259277344,3.734556198120117,0.5952380952380952,0.7976190476190477,0.013423590920865536,0.3425752722613709,0.6712876361306854,0.5952380952380952,0.03962804629866566
dist_wells_m,24.23435781990313,75.06437736734371,-0.5833333333333334,0.20833333333333334,0.01563134516657755,,,0.5833333333333334,0.03962804629866566
slope_context,2.861630916595459,4.3376312255859375,-0.5714285714285714,0.21428571428571427,0.01813778467476368,-0.3462652146060218,0.3268673926969891,0.5714285714285714,0.03962804629866566
rough_context,0.0,0.12909944355487823,-0.5714285714285714,0.21428571428571427,0.012802907265722752,-0.2838693145419603,0.35806534272901985,0.5714285714285714,0.03962804629866566
relief10_context,0.9166107177734375,1.40625,-0.5595238095238095,0.22023809523809523,0.02096434310078621,-0.2965534913516976,0.3517232543241512,0.5595238095238095,0.05241085775196552
dsm_contrast,-1.1589813232421875,-6.52301025390625,0.5476190476190477,0.7738095238095238,0.02414969727396965,0.19021140294682895,0.5951057014734145,0.5476190476190477,0.05813816010400101
chm_contrast,-0.8524062633514404,-5.030616760253906,0.5238095238095238,0.7619047619047619,0.031712815165519714,0.16699551569506726,0.5834977578475337,0.5238095238095238,0.07361903520567077
lrm5_near,-0.00262451171875,-0.00164794921875,-0.4880952380952381,0.25595238095238093,0.048049744218587875,-0.0887636130685458,0.4556181934657271,0.4880952380952381,0.10769770255890386
canopy_cover_near,0.21428571428571427,0.3333333333333333,-0.4583333333333333,0.2708333333333333,0.06331735169494311,-0.2663677130044843,0.3668161434977578,0.4583333333333333,0.12962100158135095
