length_m,class,faint_score,margin_sigma,n_transects,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
102.14046557065087,bold,-3.027,1.292,10,0.8552756905555725,val,-3.026968,-2.3448806,-2.7461333,-0.49174634,0.9927482,-1.3932986,1.0180641
365.63162784361754,bold,-2.443,0.708,36,0.9145215749740601,val,-2.4430833,-2.5264192,-2.3335931,-0.35594225,0.44058138,-0.29151076,0.78019524
749.0039570289889,bold,-3.963,2.228,74,0.8447744846343994,train,-3.9629474,-2.386938,-2.275261,-0.8929969,-0.25035447,-0.66894376,1.0783813
548.8754006048099,bold,-2.07,0.334,54,0.9236617088317871,train,-2.0698552,-2.0875869,-1.7350407,-1.0514083,0.24679849,-1.7798501,0.91297626
124.02287175771608,bold,-4.951,3.216,12,0.6882878541946411,val,-4.9514985,-2.5322094,-1.7360759,-0.3110846,-1.8235861,-1.0154604,0.68744516
154.01000788291373,faint,-1.393,-0.342,15,0.9655859470367432,train,-1.393455,-0.40728036,-0.5783049,-1.1766297,0.2178641,-0.35788193,0.5794318
48.42057287618577,faint,-1.32,-0.415,4,0.9187462329864502,val,-1.3200766,-0.83966064,-0.98421323,-0.14882845,-0.8137146,0.4324268,0.9723101
525.2110548774411,bold,-3.55,1.814,52,0.9303271770477295,train,-3.5495486,-2.951616,-2.027862,-0.43459117,2.358341,-0.4461999,0.9540703
113.87113512120536,bold,-3.693,1.958,11,0.8746819496154785,val,-3.6933575,-3.2456229,-2.7293456,-0.2279554,-0.7152888,0.4929878,1.0334282
82.78274799894413,bold,-3.645,1.91,8,0.8937183618545532,val,-3.6451964,-2.3286285,-1.3137317,0.30239412,-0.3437668,-0.51665425,0.7673737
244.94426436762305,bold,-4.414,2.678,24,0.957245409488678,val,-4.4136143,-2.8826852,-2.6789422,0.39769632,0.20391376,-0.20179304,0.8393891
125.99292553735573,bold,-5.01,3.275,12,0.9355769157409668,train,-5.010272,-1.2159452,-0.55980694,0.05895835,-0.035178278,-0.7119771,0.6251458
146.50109225349607,faint,-1.215,-0.52,14,0.8737357258796692,train,-1.2151008,-1.1415937,-0.98245794,-0.42839527,0.23907636,-0.93506515,0.5440968
