parent_road,length_m,class,faint_score,margin_sigma,n_transects,exlabel,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
0,50.97971137,bold,-2.486,0.901,10,unlabelled,0.805220425,val,-2.4861984,-3.0587087,-2.582644,-0.6793247,1.7114357,-1.1363664,1.0909312
0,50.86746049,bold,-4.431,2.846,10,unlabelled,0.921920896,val,-4.4308968,-2.9392216,-2.521637,-0.40176898,0.2159573,-1.3726306,0.8789203
1,52.23205388,bold,-3.886,2.301,10,unlabelled,0.853819847,val,-3.8859715,-2.9033809,-3.3356886,-0.6612127,0.082683735,0.19295898,0.97566783
1,52.21993596,bold,-7.314,5.729,10,unlabelled,0.962613821,val,-7.313698,-4.3590474,-6.048534,-0.21180537,0.08507684,0.58415544,1.3164227
1,52.22896458,bold,-6.74,5.155,10,unlabelled,0.976032913,train,-6.7403316,-4.610626,-4.8650036,0.23553312,0.5926863,-0.33438292,0.88062024
1,52.23192374,bold,-2.54,0.955,10,unlabelled,0.930577755,train,-2.53972,-1.6139922,-1.7981634,-0.3422459,1.0255101,-0.23721454,0.58285844
1,52.09024252,faint,-0.685,-0.9,10,unlabelled,0.831246614,train,-0.6853987,-1.3514184,-1.0329938,-0.1587111,0.8498643,-0.36612338,0.6902533
1,52.2267052,faint,-1.099,-0.486,10,unlabelled,0.940068305,train,-1.0987779,-0.24785611,0.8870144,-0.29743266,0.27120924,-3.1814196,0.43444848
1,52.22027461,bold,-7.323,5.738,10,unlabelled,0.904142559,train,-7.323065,-4.7640615,-1.5431967,2.6183448,2.3976653,-1.485929,0.88289225
2,49.83078615,bold,-6.524,4.939,9,unlabelled,0.72988534,val,-6.5243745,-4.5275717,-4.108681,-0.71397716,-0.52259356,-0.010471728,1.4711533
2,49.92993174,bold,-5.177,3.592,9,unlabelled,0.724417448,val,-5.177069,-5.2802243,-4.316884,-0.75597703,0.2623491,-0.66481763,1.3259104
2,49.93303368,bold,-9.252,7.667,9,unlabelled,0.904636264,val,-9.252407,-5.890514,-5.0299788,-0.13722914,0.40705365,-1.09503,1.2337861
2,49.92122924,bold,-2.217,0.632,9,unlabelled,0.752394617,val,-2.2173867,-2.6737032,-2.5314558,-0.8093493,-0.11604939,-0.3036624,0.9686496
2,49.88286404,faint,-1.284,-0.301,9,unlabelled,0.795656323,val,-1.2839509,-2.0203996,-1.2168633,-0.7459055,-0.4670144,0.46611974,0.9405122
2,49.23579261,faint,-1.202,-0.383,9,unlabelled,0.823870242,val,-1.2018834,-0.7967799,0.052596055,-1.1653597,-1.1345927,-1.1095741,0.7190678
2,49.72258238,faint,-0.198,-1.387,9,unlabelled,0.79487592,train,-0.19829087,-0.89628464,-0.74601686,-0.97737354,-1.191848,0.5895989,1.1686194
2,49.54635022,faint,-1.315,-0.27,9,unlabelled,0.895615339,train,-1.3150021,-1.5218836,-1.2517569,-1.0297258,-0.62019753,-0.8152837,0.8792099
