pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,x,y,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,anomaly_rank
554.0288,553.9507,554.3656,-0.0781,0.3368,1.0000,5.0990,2.0000,-0.0391,0.3821,-0.0818,0.1908,0.4145,21.3433,626,699883.6257,4647161.3431,dem_mk5_1m,,3.2831,2.2858,9.2948,0.6575,1
421.1044,422.1282,422.6072,1.0238,1.5028,3.0000,5.0000,6.0000,0.1706,0.3517,9.6491,-0.7404,-0.8203,21.7648,197,621633.4009,4593670.2409,dem_9t_1m,,4.4022,1.7440,8.7154,0.6311,2
410.1591,410.1268,410.7490,-0.0322,0.5900,1.0000,5.0990,2.0000,-0.0161,0.5256,-0.0337,0.1715,0.5147,26.0880,192,622092.1855,4594399.6117,dem_9t_1m,,3.4906,2.2460,8.1451,0.6625,3
408.3147,408.3247,408.9451,0.0100,0.6304,1.0000,5.0990,2.0000,0.0050,0.5645,0.0105,0.0780,0.3528,27.3149,456,622775.0391,4594548.9911,dem_9t_1m,,3.7409,2.0830,7.9269,0.6431,4
484.4361,484.4402,485.0498,0.0041,0.6136,1.0000,5.0990,2.0000,0.0020,0.5360,0.0043,0.0936,0.5586,27.1662,379,622834.6598,4596458.9828,dem_9t_1m,,3.7105,2.1615,7.8056,0.6538,5
480.1563,480.1036,480.4738,-0.0527,0.3175,1.0000,5.0990,2.0000,-0.0264,0.4112,-0.0552,0.1678,0.3829,20.1051,225,623833.7979,4594525.5687,dem_9t_1m,,3.2831,2.1896,7.7641,0.6418,6
435.1471,435.1070,435.2681,-0.0402,0.1210,1.0000,5.0990,2.0000,-0.0201,0.2967,-0.0421,0.2246,0.5421,19.0080,457,622324.2804,4594535.5601,dem_9t_1m,,3.4338,2.2922,7.6441,0.6479,7
416.4413,416.3852,416.5566,-0.0561,0.1153,1.0000,5.0495,2.0000,-0.0281,0.1937,-0.0588,0.1310,0.2930,11.1965,451,623012.5392,4594740.3015,dem_9t_1m,,3.2831,2.0680,7.4311,0.6304,8
573.2504,574.8685,578.1609,1.6182,4.9106,7.0000,5.8310,14.0000,0.1156,2.4693,83.0323,-0.0852,-0.4860,22.6230,575,700540.6941,4648700.9864,dem_mk5_1m,,5.1461,2.2084,7.3430,0.6667,9
430.8343,430.9247,432.4814,0.0904,1.6471,7.0000,5.3852,14.0000,0.0065,0.7778,4.6399,0.0152,0.1317,18.9826,238,623930.7635,4595618.0689,dem_9t_1m,,2.0414,1.2344,7.1020,0.5525,10
568.9606,569.5204,571.4287,0.5598,2.4681,7.0000,5.3852,14.0000,0.0400,1.4483,28.7256,-0.0126,-0.0760,24.5006,608,699565.1207,4648756.2993,dem_mk5_1m,,3.1669,1.2088,6.9397,0.5248,11
452.4816,452.4521,452.9019,-0.0295,0.4203,1.0000,5.0990,2.0000,-0.0148,0.4062,-0.0309,0.1693,0.4609,20.0146,261,623317.8496,4596856.3450,dem_9t_1m,,3.2831,2.1617,6.9383,0.6376,12
478.3503,480.0850,480.4668,1.7347,2.1164,7.0000,6.0828,14.0000,0.1239,0.2756,89.0111,-0.1033,-0.8013,4.7787,90,621138.2543,4594485.4394,dem_9t_1m,,3.6430,1.4922,6.8238,0.5721,13
549.3895,549.5706,551.5026,0.1812,2.1132,7.0000,5.0495,14.0000,0.0129,1.4046,9.2954,-0.0125,0.0937,21.4139,557,699841.0773,4647820.2351,dem_mk5_1m,,2.5373,1.4826,6.7234,0.5688,14
554.3181,554.9720,556.7870,0.6539,2.4689,7.0000,5.7439,14.0000,0.0467,1.1457,33.5549,0.1268,-0.0298,17.0155,627,699914.6252,4647183.2252,dem_mk5_1m,,2.3434,1.1220,6.6815,0.5205,15
436.5246,437.3387,437.9764,0.8141,1.4518,3.5000,5.0495,7.0000,0.1163,0.4373,10.4429,-0.5671,-0.4840,19.4604,351,622320.6769,4594525.2411,dem_9t_1m,,3.0545,1.1605,6.5773,0.5456,16
478.4638,479.6771,480.1212,1.2133,1.6574,3.5000,5.0000,7.0000,0.1733,0.3764,15.5650,-0.6208,-0.8881,22.6632,330,622683.3149,4596710.2415,dem_9t_1m,,3.4723,1.6739,6.4625,0.6151,17
457.3885,458.4867,459.5957,1.0982,2.2073,4.5000,5.0990,9.0000,0.1220,0.5230,23.2883,-0.6622,-0.9366,18.8317,499,619806.6161,4596647.5087,dem_9t_1m,,3.7942,1.3154,6.4132,0.5434,18
