pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,anomaly_rank,PC1_depth_volume,PC2_size_vs_slope,PC3_rim_asymmetry,z_depth_from_rim_mean_m,z_depth_from_rim_max_m,z_rim_radius_m,z_effective_radius_m,z_diameter_m,z_aspect_ratio,z_rim_symmetry_std_m,z_volume_approx_m3,z_lrm5_depth_m,z_lrm11_depth_m,z_slope_inner_deg,anomaly_reason,anomaly_reason_zscore
554.0288,553.9507,554.3656,-0.0781,0.3368,1.0000,5.0990,2.0000,-0.0391,0.3821,-0.0818,0.1908,0.4145,21.3433,626,dem_mk5_1m,,3.2831,2.2858,9.2948,0.6575,1,-6.5620,-1.1940,2.5065,-2.2512,-1.6995,-3.2831,-1.2034,-3.2831,-3.1923,-0.3814,-1.4937,2.8414,2.9923,2.5229,rim_radius_m,-3.2831
421.1044,422.1282,422.6072,1.0238,1.5028,3.0000,5.0000,6.0000,0.1706,0.3517,9.6491,-0.7404,-0.8203,21.7648,197,dem_9t_1m,,4.4022,1.7440,8.7154,0.6311,2,1.7750,-6.3834,0.7781,0.9154,0.0456,-1.8538,-1.4929,-1.8538,3.3358,-0.4606,-0.9326,-4.4023,-1.2814,2.6089,lrm5_depth_m,-4.4023
410.1591,410.1268,410.7490,-0.0322,0.5900,1.0000,5.0990,2.0000,-0.0161,0.5256,-0.0337,0.1715,0.5147,26.0880,192,dem_9t_1m,,3.4906,2.2460,8.1451,0.6625,3,-5.9878,-1.6207,3.2055,-2.1193,-1.3206,-3.2831,-1.2034,-3.2831,-2.4763,-0.0079,-1.4909,2.6913,3.3390,3.4906,slope_inner_deg,3.4906
408.3147,408.3247,408.9451,0.0100,0.6304,1.0000,5.0990,2.0000,0.0050,0.5645,0.0105,0.0780,0.3528,27.3149,456,dem_9t_1m,,3.7409,2.0830,7.9269,0.6431,4,-5.2569,-2.3301,3.1549,-1.9980,-1.2601,-3.2831,-1.2034,-3.2831,-1.8194,0.0934,-1.4884,1.9640,2.7787,3.7409,slope_inner_deg,3.7409
484.4361,484.4402,485.0498,0.0041,0.6136,1.0000,5.0990,2.0000,0.0020,0.5360,0.0043,0.0936,0.5586,27.1662,379,dem_9t_1m,,3.7105,2.1615,7.8056,0.6538,5,-5.6122,-2.0821,3.2673,-2.0150,-1.2852,-3.2831,-1.2034,-3.2831,-1.9128,0.0192,-1.4887,2.0853,3.4910,3.7105,slope_inner_deg,3.7105
480.1563,480.1036,480.4738,-0.0527,0.3175,1.0000,5.0990,2.0000,-0.0264,0.4112,-0.0552,0.1678,0.3829,20.1051,225,dem_9t_1m,,3.2831,2.1896,7.7641,0.6418,6,-6.3584,-1.3257,2.3600,-2.1782,-1.7284,-3.2831,-1.2034,-3.2831,-2.7969,-0.3057,-1.4921,2.6625,2.8829,2.2704,rim_radius_m,-3.2831
435.1471,435.1070,435.2681,-0.0402,0.1210,1.0000,5.0990,2.0000,-0.0201,0.2967,-0.0421,0.2246,0.5421,19.0080,457,dem_9t_1m,,3.4338,2.2922,7.6441,0.6479,7,-6.7943,-1.1238,2.0558,-2.1423,-2.0225,-3.2831,-1.2034,-3.2831,-2.6008,-0.6037,-1.4914,3.1044,3.4339,2.0466,lrm11_depth_m,3.4339
416.4413,416.3852,416.5566,-0.0561,0.1153,1.0000,5.0495,2.0000,-0.0281,0.1937,-0.0588,0.1310,0.2930,11.1965,451,dem_9t_1m,,3.2831,2.0680,7.4311,0.6304,8,-6.7497,-1.0787,1.2192,-2.1880,-2.0311,-3.2831,-1.3482,-3.2831,-2.8499,-0.8719,-1.4923,2.3763,2.5717,0.4534,rim_radius_m,-3.2831
573.2504,574.8685,578.1609,1.6182,4.9106,7.0000,5.8310,14.0000,0.1156,2.4693,83.0323,-0.0852,-0.4860,22.6230,575,dem_mk5_1m,,5.1461,2.2084,7.3430,0.6667,9,6.8517,1.8069,4.7284,2.6236,5.1461,1.0048,0.9375,1.0048,1.6236,5.0519,3.2982,0.6945,-0.1244,2.7839,depth_from_rim_max_m,5.1461
430.8343,430.9247,432.4814,0.0904,1.6471,7.0000,5.3852,14.0000,0.0065,0.7778,4.6399,0.0152,0.1317,18.9826,238,dem_9t_1m,,2.0414,1.2344,7.1020,0.5525,10,-1.8471,1.8997,2.4098,-1.7670,0.2616,1.0048,-0.3664,1.0048,-1.7728,0.6486,-1.2214,1.4755,2.0135,2.0414,slope_inner_deg,2.0414
