pit_id,x,y,pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,notes
0,622075.9079,4595407.7613,453.8905,455.1309,457.0380,1.2404,3.1474,7.0000,5.0990,14.0000,0.0886,1.1439,63.6460,-0.1803,-0.5034,
1,622201.8434,4595415.7391,442.1126,442.3121,442.8712,0.1995,0.7586,2.0000,5.2202,4.0000,0.0499,0.2754,0.8356,-0.1223,-0.1677,
2,622322.6504,4595425.9963,418.8119,420.0614,420.9801,1.2495,2.1682,5.5000,5.5902,11.0000,0.1136,0.6361,39.5817,-0.1504,-0.4585,
3,622020.9179,4595774.7410,446.5575,446.9457,447.4415,0.3883,0.8840,6.5000,5.3852,13.0000,0.0299,0.3245,17.1789,-0.0611,-0.1821,
4,622132.3224,4595763.0592,434.8945,435.7719,436.8285,0.8774,1.9341,4.5000,5.2202,9.0000,0.0975,0.6879,18.6055,-0.1187,-0.3709,
5,621882.7306,4595746.8186,457.5035,458.3026,459.7073,0.7991,2.2038,6.0000,5.3852,12.0000,0.0666,0.7142,30.1243,-0.1532,-0.3142,
6,622203.2681,4595703.7954,428.2688,428.4804,429.0518,0.2116,0.7831,4.0000,4.6098,8.0000,0.0265,0.2081,3.5461,-0.0370,-0.0956,
7,622277.3478,4595709.2089,421.1210,421.2521,421.8947,0.1311,0.7737,2.5000,4.5138,5.0000,0.0262,0.4783,0.8581,-0.0654,-0.1137,
8,622340.0307,4595835.4294,413.3959,414.1317,414.7740,0.7357,1.3781,5.5000,5.3151,11.0000,0.0669,0.4334,23.3068,-0.1377,-0.3747,
9,622171.9266,4595919.1965,442.4318,443.4601,444.5774,1.0283,2.1456,7.0000,5.7009,14.0000,0.0734,0.7386,52.7643,-0.1012,-0.3017,
10,622026.0465,4595901.2464,451.1478,451.9991,452.4997,0.8513,1.3519,5.0000,5.3852,10.0000,0.0851,0.3600,22.2859,-0.2346,-0.4998,
11,621712.0623,4595871.8995,474.6708,475.2137,475.7129,0.5429,1.0421,3.5000,5.0249,7.0000,0.0776,0.4333,6.9649,-0.1630,-0.3810,
12,621579.5735,4595738.2710,482.7618,483.2799,484.0485,0.5181,1.2867,3.5000,5.0990,7.0000,0.0740,0.3732,6.6466,-0.1538,-0.3381,
13,621437.5398,4595862.7820,483.2107,484.0711,484.5345,0.8605,1.3238,7.0000,5.2202,14.0000,0.0615,0.3405,44.1532,-0.1825,-0.4046,
14,621311.8891,4595614.3298,461.5438,462.2886,462.9832,0.7448,1.4395,4.5000,5.0990,9.0000,0.0828,0.4075,15.7937,-0.1532,-0.4217,
15,621445.5176,4595592.1059,478.6591,479.2786,480.1652,0.6194,1.5060,4.0000,5.2202,8.0000,0.0774,0.4786,10.3789,-0.1145,-0.3149,
16,621309.0399,4595758.5004,469.9935,471.3728,472.2585,1.3792,2.2650,6.5000,5.7659,13.0000,0.1061,0.6231,61.0233,-0.2338,-0.4872,
17,621213.0211,4595618.0338,452.6565,453.0040,453.5552,0.3474,0.8987,7.0000,5.0249,14.0000,0.0248,0.4469,17.8282,-0.1333,-0.2537,
18,621168.2884,4595569.8820,447.5575,447.8595,448.4177,0.3021,0.8603,3.5000,5.0000,7.0000,0.0432,0.3377,3.8749,-0.0275,-0.1574,
19,621070.8450,4595728.0138,444.3807,444.9620,445.9034,0.5813,1.5226,5.5000,5.3852,11.0000,0.0528,0.4814,18.4133,-0.0335,-0.1194,
20,621213.3061,4595453.6337,447.1908,447.7990,448.4977,0.6082,1.3069,5.5000,5.5227,11.0000,0.0553,0.4147,19.2659,-0.0286,-0.1534,
21,621317.0177,4595482.4109,460.6367,462.1679,462.7681,1.5312,2.1313,5.5000,5.4083,11.0000,0.1392,0.5206,48.5046,-0.1349,-0.5789,
22,621217.5799,4595324.8489,443.1618,443.7370,444.6881,0.5752,1.5262,5.0000,5.0990,10.0000,0.0575,0.4509,15.0586,-0.1439,-0.3305,
23,621101.9015,4595320.2902,431.9660,432.5654,433.0292,0.5994,1.0632,7.0000,5.7009,14.0000,0.0428,0.3844,30.7550,-0.0577,-0.1628,
24,621220.7140,4595190.0808,435.3120,436.2657,436.9083,0.9537,1.5963,7.0000,5.5902,14.0000,0.0681,0.3407,48.9356,-0.1602,-0.3397,
25,621331.8337,4595200.0530,444.8362,445.4468,445.8695,0.6107,1.0334,7.0000,5.4083,14.0000,0.0436,0.3539,31.3344,-0.1152,-0.2981,
26,621471.7304,4595195.2094,455.4485,456.3797,457.0137,0.9311,1.5652,4.5000,5.2202,9.0000,0.1035,0.4908,19.7451,-0.1495,-0.4704,
27,621481.1329,4595053.6031,443.4393,443.8512,444.8060,0.4119,1.3667,5.0000,5.2202,10.0000,0.0412,0.4992,10.7842,-0.0913,-0.2515,
28,621483.9821,4594963.8526,432.5506,433.5791,434.4048,1.0285,1.8541,6.0000,5.5902,12.0000,0.0857,0.6318,38.7737,-0.2045,-0.4815,
29,621337.2472,4594948.4668,416.7423,417.1721,418.1184,0.4297,1.3761,4.0000,4.9244,8.0000,0.0537,0.5099,7.2005,-0.0819,-0.2542,
30,621353.7727,4595004.8814,423.0793,423.7645,424.8612,0.6852,1.7819,5.5000,5.1478,11.0000,0.0623,0.7760,21.7050,-0.0694,-0.2529,
31,621206.1830,4595066.4245,422.3437,422.5724,422.8929,0.2287,0.5492,2.5000,5.4542,5.0000,0.0457,0.1970,1.4966,-0.0977,-0.1888,
32,621105.6055,4594925.3881,421.2512,421.9923,422.5525,0.7412,1.3013,7.0000,5.7009,14.0000,0.0529,0.1680,38.0320,-0.1096,-0.3207,
33,621256.6142,4594980.3781,418.0783,418.5355,419.0338,0.4572,0.9555,7.0000,6.5765,14.0000,0.0327,0.2637,23.4578,-0.0400,-0.0045,
34,621351.2084,4594838.4868,411.6051,412.5925,413.1511,0.9874,1.5460,6.0000,5.4083,12.0000,0.0823,0.4535,37.2228,-0.1942,-0.4732,
35,621734.1437,4594710.2719,423.3631,424.0899,425.0854,0.7268,1.7223,6.5000,5.4083,13.0000,0.0559,0.9880,32.1569,-0.2573,-0.3003,
36,621639.8345,4594825.3804,432.1923,433.1977,434.9366,1.0054,2.7443,6.5000,5.3151,13.0000,0.0773,1.1416,44.4844,-0.0888,-0.3052,
37,621870.0516,4594701.1544,440.1345,441.5966,442.2827,1.4621,2.1481,5.5000,5.0249,11.0000,0.1329,0.8440,46.3149,-0.4475,-0.9567,
38,621878.8842,4594588.6101,418.4501,419.6680,420.5055,1.2179,2.0554,7.0000,5.7009,14.0000,0.0870,0.6118,62.4935,-0.2177,-0.4622,
39,621995.9872,4594713.1211,449.3802,449.7094,451.1118,0.3292,1.7316,7.0000,5.2202,14.0000,0.0235,0.7458,16.8902,-0.1150,-0.2014,
40,621749.2446,4594566.9560,397.1593,398.0734,399.7495,0.9140,2.5902,5.5000,4.9244,11.0000,0.0831,0.8628,28.9545,-0.1381,-0.3675,
41,622188.4521,4594921.9690,447.2524,448.2038,448.9935,0.9514,1.7411,6.5000,5.5227,13.0000,0.0732,0.3380,42.0945,-0.2387,-0.5714,
42,622328.9187,4594955.0200,418.4670,419.7005,420.9796,1.2335,2.5126,5.5000,5.4083,11.0000,0.1121,0.7829,39.0732,-0.0947,-0.3528,
43,622457.1337,4595067.5642,387.6080,388.7908,390.2112,1.1828,2.6032,7.0000,5.3151,14.0000,0.0845,1.0866,60.6927,-0.1445,-0.3888,
44,622333.4775,4595168.4267,414.1373,414.7012,415.3893,0.5638,1.2520,3.5000,4.7434,7.0000,0.0805,0.5306,7.2331,-0.1983,-0.4127,
45,621876.4624,4594982.0876,476.0249,476.7597,477.5819,0.7348,1.5570,7.0000,5.7009,14.0000,0.0525,0.3718,37.7047,-0.1471,-0.2397,
46,621960.7993,4595219.1428,460.3081,460.7534,461.3384,0.4453,1.0303,3.5000,5.0990,7.0000,0.0636,0.4068,5.7122,-0.1795,-0.3570,
47,621874.7528,4595267.0097,475.1867,475.7397,476.3412,0.5530,1.1544,4.5000,5.1478,9.0000,0.0614,0.3641,11.7276,-0.1500,-0.3592,
48,621748.8172,4595224.2714,481.6011,482.4286,483.0450,0.8275,1.4440,7.0000,5.5902,14.0000,0.0591,0.2348,42.4604,-0.2031,-0.3882,
