objective,fold,threshold,iou,n_gt,n_pred,recall,precision,f1
f1,0,0.55,0.3,130,180,0.9307692307692308,0.6722222222222223,0.7806451612903226
f1,0,0.55,0.4,130,180,0.8769230769230769,0.6333333333333333,0.7354838709677419
f1,0,0.55,0.5,130,180,0.7846153846153846,0.5666666666666667,0.6580645161290322
f1,0,0.55,0.6,130,180,0.676923076923077,0.4888888888888889,0.567741935483871
f1,0,0.55,0.7,130,180,0.4461538461538462,0.32222222222222224,0.3741935483870968
f1,1,0.6,0.3,129,197,0.9147286821705426,0.5989847715736041,0.7239263803680982
f1,1,0.6,0.4,129,197,0.875968992248062,0.5736040609137056,0.6932515337423313
f1,1,0.6,0.5,129,197,0.8062015503875969,0.5279187817258884,0.638036809815951
f1,1,0.6,0.6,129,197,0.6511627906976745,0.4263959390862944,0.5153374233128835
f1,1,0.6,0.7,129,197,0.4186046511627907,0.27411167512690354,0.33128834355828224
f1,2,0.55,0.3,129,214,0.9457364341085271,0.5700934579439252,0.7113702623906705
f1,2,0.55,0.4,129,214,0.8837209302325582,0.5327102803738317,0.6647230320699709
f1,2,0.55,0.5,129,214,0.8217054263565892,0.4953271028037383,0.6180758017492711
f1,2,0.55,0.6,129,214,0.6434108527131783,0.3878504672897196,0.48396501457725943
f1,2,0.55,0.7,129,214,0.3953488372093023,0.2383177570093458,0.29737609329446063
f1,3,0.6,0.3,132,211,0.8939393939393939,0.5592417061611374,0.6880466472303207
f1,3,0.6,0.4,132,211,0.8484848484848485,0.5308056872037915,0.6530612244897959
f1,3,0.6,0.5,132,211,0.7878787878787878,0.4928909952606635,0.6064139941690961
f1,3,0.6,0.6,132,211,0.6212121212121212,0.3886255924170616,0.478134110787172
f1,3,0.6,0.7,132,211,0.36363636363636365,0.22748815165876776,0.27988338192419826
f1,4,0.65,0.3,130,182,0.9,0.6428571428571429,0.75
f1,4,0.65,0.4,130,182,0.8384615384615385,0.5989010989010989,0.6987179487179487
f1,4,0.65,0.5,130,182,0.7076923076923077,0.5054945054945055,0.5897435897435896
f1,4,0.65,0.6,130,182,0.5153846153846153,0.36813186813186816,0.42948717948717946
f1,4,0.65,0.7,130,182,0.27692307692307694,0.1978021978021978,0.23076923076923078
f2,0,0.55,0.3,130,180,0.9307692307692308,0.6722222222222223,0.7806451612903226
f2,0,0.55,0.4,130,180,0.8769230769230769,0.6333333333333333,0.7354838709677419
f2,0,0.55,0.5,130,180,0.7846153846153846,0.5666666666666667,0.6580645161290322
f2,0,0.55,0.6,130,180,0.676923076923077,0.4888888888888889,0.567741935483871
f2,0,0.55,0.7,130,180,0.4461538461538462,0.32222222222222224,0.3741935483870968
f2,1,0.5,0.3,129,214,0.9302325581395349,0.5607476635514018,0.6997084548104955
f2,1,0.5,0.4,129,214,0.8837209302325582,0.5327102803738317,0.6647230320699709
f2,1,0.5,0.5,129,214,0.7906976744186046,0.4766355140186916,0.5947521865889213
f2,1,0.5,0.6,129,214,0.5891472868217055,0.35514018691588783,0.44314868804664725
f2,1,0.5,0.7,129,214,0.3798449612403101,0.22897196261682243,0.28571428571428575
f2,2,0.55,0.3,129,214,0.9457364341085271,0.5700934579439252,0.7113702623906705
f2,2,0.55,0.4,129,214,0.8837209302325582,0.5327102803738317,0.6647230320699709
f2,2,0.55,0.5,129,214,0.8217054263565892,0.4953271028037383,0.6180758017492711
f2,2,0.55,0.6,129,214,0.6434108527131783,0.3878504672897196,0.48396501457725943
f2,2,0.55,0.7,129,214,0.3953488372093023,0.2383177570093458,0.29737609329446063
f2,3,0.55,0.3,132,205,0.8787878787878788,0.5658536585365853,0.688427299703264
f2,3,0.55,0.4,132,205,0.8257575757575758,0.5317073170731708,0.6468842729970327
f2,3,0.55,0.5,132,205,0.7575757575757576,0.4878048780487805,0.5934718100890207
f2,3,0.55,0.6,132,205,0.5833333333333334,0.375609756097561,0.456973293768546
f2,3,0.55,0.7,132,205,0.3939393939393939,0.25365853658536586,0.3086053412462908
f2,4,0.55,0.3,130,198,0.9230769230769231,0.6060606060606061,0.7317073170731707
f2,4,0.55,0.4,130,198,0.8923076923076924,0.5858585858585859,0.7073170731707317
f2,4,0.55,0.5,130,198,0.7846153846153846,0.5151515151515151,0.6219512195121952
f2,4,0.55,0.6,130,198,0.6307692307692307,0.41414141414141414,0.5
f2,4,0.55,0.7,130,198,0.36923076923076925,0.24242424242424243,0.29268292682926833
