fold,objective,prob_threshold,val_score,n_heldout,n_pred_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,containment,containment_hits,n_rims
0,f1,0.5,0.7999999999999999,86,108,0.9069767441860463,0.7222222222222222,0.8041237113402061,0.8488372093023255,0.9176470588235294,78,85
0,f2,0.3,0.8953722334004024,86,133,0.9534883720930232,0.6165413533834586,0.7488584474885844,0.686046511627907,0.976470588235294,83,85
1,f1,0.4,0.6946107784431137,87,142,0.9540229885057472,0.5845070422535211,0.7248908296943232,0.8620689655172413,0.9540229885057472,83,87
1,f2,0.3,0.8198924731182796,87,157,0.942528735632184,0.5222929936305732,0.6721311475409836,0.7126436781609196,0.9655172413793104,84,87
2,f1,0.5,0.7167630057803468,87,113,0.735632183908046,0.5663716814159292,0.64,0.6091954022988506,0.8505747126436781,74,87
2,f2,0.35,0.8175355450236967,87,140,0.8850574712643678,0.55,0.6784140969162996,0.7701149425287356,0.942528735632184,82,87
3,f1,0.55,0.7848101265822784,83,127,0.8795180722891566,0.5748031496062992,0.6952380952380952,0.7469879518072289,0.926829268292683,76,82
3,f2,0.55,0.856353591160221,83,127,0.8795180722891566,0.5748031496062992,0.6952380952380952,0.7469879518072289,0.926829268292683,76,82
4,f1,0.5,0.6666666666666665,83,100,0.7951807228915663,0.66,0.7213114754098361,0.4819277108433735,0.8433734939759037,70,83
4,f2,0.3,0.7941834451901566,83,152,0.9397590361445783,0.5131578947368421,0.6638297872340426,0.7349397590361446,0.963855421686747,80,83
