image_id,split,basin,source,centroid_lat,centroid_lon,extent_image,annotations_latlon,annotations_image
0,train,denver,label_crowdsource,38.85082999421795,-102.37207,"POLYGON ((-102.37323459030856 38.84992303252055, -102.37090540969143 38.84992303252055, -102.37090540969143 38.85173695591536, -102.37323459030856 38.85173695591536, -102.37323459030856 38.84992303252055))",[],[]
1,train,denver,label_crowdsource,39.0624093942088,-101.9494136,"POLYGON ((-101.95057819030856 39.061505136401955, -101.94824900969144 39.061505136401955, -101.94824900969144 39.06331365201566, -101.95057819030856 39.06331365201566, -101.95057819030856 39.061505136401955))",[],[]
2,train,denver,label_crowdsource,39.07323519420834,-101.9446276,"POLYGON ((-101.94579219030857 39.07233107508232, -101.94346300969143 39.07233107508232, -101.94346300969143 39.074139313334356, -101.94579219030857 39.074139313334356, -101.94579219030857 39.07233107508232))",[],[]
3,train,denver,label_crowdsource,39.66879199418432,-104.64594999999998,"POLYGON ((-104.64711459030855 39.66789555386132, -104.64478540969142 39.66789555386132, -104.64478540969142 39.66968843450733, -104.64711459030855 39.66968843450733, -104.64711459030855 39.66789555386132))","[{'bbox': <POLYGON ((-104.645 39.669, -104.645 39.669, -104.645 39.669, -104.645 39.66...>}, {'bbox': <POLYGON ((-104.645 39.669, -104.645 39.669, -104.645 39.669, -104.645 39.66...>}, {'bbox': <POLYGON ((-104.645 39.669, -104.645 39.669, -104.645 39.669, -104.645 39.66...>}, {'bbox': <POLYGON ((-104.645 39.669, -104.645 39.669, -104.645 39.669, -104.645 39.66...>}, {'bbox': <POLYGON ((-104.645 39.669, -104.645 39.669, -104.645 39.669, -104.645 39.66...>}, {'bbox': <POLYGON ((-104.645 39.669, -104.645 39.669, -104.645 39.669, -104.645 39.66...>}, {'bbox': <POLYGON ((-104.645 39.669, -104.645 39.669, -104.645 39.669, -104.645 39.66...>}, {'bbox': <POLYGON ((-104.645 39.669, -104.645 39.669, -104.645 39.669, -104.645 39.66...>}, {'bbox': <POLYGON ((-104.645 39.669, -104.645 39.669, -104.645 39.669, -104.645 39.66...>}]","[{'bbox': [436.9066666666667, 178.80867237622493, 449.87733333333335, 191.14666666666668], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [452.94933333333336, 178.92853635627532, 467.24718829432106, 190.80533333333335], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [436.224, 193.59829189709066, 449.25005644705664, 205.14133333333334], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [453.97333333333336, 193.1741545204336, 466.630395201885, 205.4826666666667], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [436.9341355017932, 207.53066666666666, 449.19466666666665, 220.16], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [453.97463116186526, 207.872, 466.26133333333337, 220.16], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [436.88031503814756, 221.7941627850422, 449.21734762439144, 234.496], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [436.89726689915204, 236.37004373009964, 449.0421723572211, 248.832], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [453.70467576369634, 236.55358323408856, 466.2613333333333, 249.1733333333333], 'bbox_mode': 0, 'category_id': 0}]"
4,train,denver,label_crowdsource,39.805489994179176,-102.24670999999998,"POLYGON ((-102.24787459030856 39.80459533006694, -102.24554540969143 39.80459533006694, -102.24554540969143 39.806384658291414, -102.24787459030856 39.806384658291414, -102.24787459030856 39.80459533006694))",[],[]
5,train,denver,label_crowdsource,39.84248529417779,-101.9388287,"POLYGON ((-101.93999329030855 39.84159111164687, -101.93766410969144 39.84159111164687, -101.93766410969144 39.84337947670872, -101.93999329030855 39.84337947670872, -101.93999329030855 39.84159111164687))",[],[]
6,train,denver,label_crowdsource,39.88807719417611,-101.6227447,"POLYGON ((-101.62390929030856 39.887183605644374, -101.62158010969144 39.887183605644374, -101.62158010969144 39.88897078270786, -101.62390929030856 39.88897078270786, -101.62390929030856 39.887183605644374))",[],[]
7,train,denver,label_crowdsource,39.99902999417208,-104.892424,"POLYGON ((-104.89358859030857 39.99813785356455, -104.89125940969144 39.99813785356455, -104.89125940969144 39.99992213477964, -104.89358859030857 39.99992213477964, -104.89358859030857 39.99813785356455))","[{'bbox': <POLYGON ((-104.892 39.999, -104.892 39.999, -104.892 39.999, -104.892 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.892 39.999, -104.892 39.999, -104.892 39.999, -104.892 39.99...>}, {'bbox': <POLYGON ((-104.892 39.999, -104.892 39.999, -104.892 39.999, -104.892 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.892 39.999, -104.892 39.999, -104.892 39.999, -104.892 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.891 39.999, -104.891 39.999, -104.891 39.999, -104.891 39.99...>}, {'bbox': <POLYGON ((-104.892 39.999, -104.892 39.999, -104.892 39.999, -104.892 39.99...>}]","[{'bbox': [446.464, 168.96, 458.752, 181.248], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [475.136, 185.344, 487.42400000000004, 197.632], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [475.136, 200.704, 487.42400000000004, 212.99200000000002], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [460.8, 185.344, 473.088, 197.632], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [460.8, 200.704, 473.088, 212.99200000000002], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [460.8, 168.96, 473.088, 181.248], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [446.464, 200.704, 458.752, 212.99200000000002], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [446.464, 185.344, 458.752, 196.608], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [475.136, 168.96, 487.42400000000004, 181.248], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [460.8, 153.6, 473.088, 165.888], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [475.136, 153.6, 487.42400000000004, 165.888], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [446.464, 153.6, 458.752, 165.888], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [475.136, 137.216, 487.42400000000004, 149.504], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [460.8, 137.216, 473.088, 149.504], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [446.464, 138.24, 458.752, 149.504], 'bbox_mode': 0, 'category_id': 0}]"
9,train,denver,label_crowdsource,40.05272599417018,-104.836167,"POLYGON ((-104.83733159030857 40.05183455549232, -104.83500240969144 40.05183455549232, -104.83500240969144 40.05361743284804, -104.83733159030857 40.05361743284804, -104.83733159030857 40.05183455549232))","[{'bbox': <POLYGON ((-104.836 40.054, -104.836 40.054, -104.836 40.054, -104.836 40.05...>}, {'bbox': <POLYGON ((-104.836 40.054, -104.836 40.054, -104.836 40.054, -104.836 40.05...>}]","[{'bbox': [323.584, 7.168, 333.824, 16.384], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [339.8893762686521, 7.404795603347938, 353.0849999999999, 20.171848418399478], 'bbox_mode': 0, 'category_id': 0}]"
10,train,denver,label_crowdsource,40.0718929941695,-104.851235,"POLYGON ((-104.85239959030855 40.07100180623788, -104.85007040969143 40.07100180623788, -104.85007040969143 40.072784182101124, -104.85239959030855 40.072784182101124, -104.85239959030855 40.07100180623788))",[],[]
