image_id,split,basin,source,centroid_lat,centroid_lon,extent_image,annotations_latlon,annotations_image
1,train,permian,random,31.7000878066387,-102.58981802533305,"POLYGON ((-102.5909826156416 31.69909695591264, -102.5886534350245 31.69909695591264, -102.5886534350245 31.70107864678181, -102.5909826156416 31.70107864678181, -102.5909826156416 31.69909695591264))",[],[]
2,train,permian,random,33.49895230523467,-101.80940497617723,"POLYGON ((-101.8105695664858 33.49798115268699, -101.8082403858686 33.49798115268699, -101.8082403858686 33.49992344688768, -101.8105695664858 33.49992344688768, -101.8105695664858 33.49798115268699))",[],[]
3,train,denver,city,39.30714003756682,-102.27457747715025,"POLYGON ((-102.2757420674588 39.30623891688508, -102.2734128868417 39.30623891688508, -102.2734128868417 39.30804114664578, -102.2757420674588 39.30804114664578, -102.2757420674588 39.30623891688508))",[],[]
6,train,permian,city,30.70937016297849,-101.20434203767934,"POLYGON ((-101.2055066279879 30.70836887940956, -101.2031774473708 30.70836887940956, -101.2031774473708 30.71037143615403, -101.2055066279879 30.71037143615403, -101.2055066279879 30.70836887940956))",[],[]
8,train,none,similarity,47.9644279263692,-94.89268234820616,"POLYGON ((-94.89384693851473 47.96364812029368, -94.8915177578976 47.96364812029368, -94.8915177578976 47.96520772067233, -94.89384693851473 47.96520772067233, -94.89384693851473 47.96364812029368))",[],[]
11,train,other,similarity,44.850169664372615,-109.01449100825192,"POLYGON ((-109.0156555985605 44.84934401811601, -109.0133264179434 44.84934401811601, -109.0133264179434 44.8509952987937, -109.0156555985605 44.8509952987937, -109.0156555985605 44.84934401811601))",[],[]
13,train,none,similarity,42.50979681879039,-118.46729132560807,"POLYGON ((-118.4684559159166 42.50893832139621, -118.4661267352995 42.50893832139621, -118.4661267352995 42.51065530439357, -118.4684559159166 42.51065530439357, -118.4684559159166 42.50893832139621))",[],[]
14,train,other,similarity,29.93204243294062,-89.7066815534553,"POLYGON ((-89.70784614376386 29.93103317308949, -89.70551696314674 29.93103317308949, -89.70551696314674 29.93305168255579, -89.70784614376386 29.93305168255579, -89.70784614376386 29.93103317308949))",[],[]
15,train,permian,city,33.38801500280408,-104.50751038360086,"POLYGON ((-104.5086749739094 33.3870426075558, -104.5063457932923 33.3870426075558, -104.5063457932923 33.3889873871757, -104.5086749739094 33.3889873871757, -104.5086749739094 33.3870426075558))",[],[]
16,train,none,similarity,34.40383915831061,-103.86324473464114,"POLYGON ((-103.8644093249497 34.4028782776985, -103.8620801443326 34.4028782776985, -103.8620801443326 34.40480002788744, -103.8644093249497 34.40480002788744, -103.8644093249497 34.4028782776985))",[],[]
17,train,other,similarity,36.99839543510677,-102.4392427662235,"POLYGON ((-102.4404073565321 36.99746532661581, -102.4380781759149 36.99746532661581, -102.4380781759149 36.99932553222072, -102.4404073565321 36.99932553222072, -102.4404073565321 36.99746532661581))",[],[]
21,train,denver,label_crowdsource,39.7430042,-102.0253397,"POLYGON ((-102.0265031811133 39.74390237098054, -102.0241762188867 39.74390237098054, -102.0241762490967 39.74210601721929, -102.0265031509033 39.74210601721929, -102.0265031811133 39.74390237098054))","[{'bbox': <POLYGON ((-102.025 39.743, -102.025 39.743, -102.025 39.743, -102.025 39.74...>}]","[{'bbox': [323, 313, 367, 348], 'bbox_mode': 0, 'category_id': 0, 'annotation_id': 10}]"
22,train,none,similarity,37.53279467691412,-103.9196037074127,"POLYGON ((-103.9207682977213 37.53187114552584, -103.9184391171041 37.53187114552584, -103.9184391171041 37.5337181968665, -103.9207682977213 37.5337181968665, -103.9207682977213 37.53187114552584))",[],[]
25,train,other,similarity,48.291724478996,-103.0857573401864,"POLYGON ((-103.086921930495 48.29094962671096, -103.0845927498778 48.29094962671096, -103.0845927498778 48.29249931952339, -103.086921930495 48.29249931952339, -103.086921930495 48.29094962671096))",[],[]
27,train,none,similarity,35.981894315021734,-115.72817167938966,"POLYGON ((-115.7293362696982 35.98095191977686, -115.7270070890811 35.98095191977686, -115.7270070890811 35.9828366990125, -115.7293362696982 35.9828366990125, -115.7293362696982 35.98095191977686))",[],[]
