wp_id,bbox_score,geometry
0,0.777905285358429,"POLYGON ((-105.3152195351956 40.20383873056121, -105.3152202105453 40.20384927117498, -105.3152202105453 40.20400802440253, -105.3152195351982 40.20401856498371, -105.3152057881682 40.20401908283621, -105.3147504575252 40.20401908283621, -105.314736710495 40.2040185649837, -105.3147360351477 40.20400802440225, -105.3147360351477 40.20384927117516, -105.3147367104976 40.20383873056122, -105.314750457537 40.203838212761, -105.3152057881565 40.20383821276099, -105.3152195351956 40.20383873056121))"
2,0.5577245354652405,"POLYGON ((-105.2991517834391 40.26398693502027, -105.2991524593876 40.26399747553694, -105.2991524593876 40.26428752461687, -105.2991517834413 40.2642980650942, -105.2991380242093 40.2642985829473, -105.2985841915296 40.2642985829473, -105.2985704322974 40.2642980650942, -105.2985697563508 40.26428752461663, -105.2985697563508 40.26399747553714, -105.2985704322996 40.26398693502027, -105.2985841915237 40.26398641723055, -105.2991380242152 40.26398641723055, -105.2991517834391 40.26398693502027))"
4,0.8109313249588013,"POLYGON ((-105.2962342988149 40.22752879176444, -105.2962349744003 40.22753933234476, -105.2962349744004 40.22786564062719, -105.2962342988156 40.22787618117717, -105.2962205469477 40.22787669902603, -105.2958020128959 40.22787669902603, -105.295788261028 40.22787618117717, -105.2957875854428 40.22786564062717, -105.2957875854428 40.22753933234478, -105.2957882610286 40.22752879176442, -105.2958020128684 40.22752827396376, -105.2962205469752 40.22752827396378, -105.2962342988149 40.22752879176444))"
6,0.536037802696228,"POLYGON ((-105.2923199786443 40.31449004578667, -105.2923206550963 40.31450058621468, -105.2923206550963 40.31485588436043, -105.2923199786458 40.3148664247495, -105.2923062091498 40.31486694259783, -105.2917606595707 40.31486694259784, -105.2917468900745 40.3148664247495, -105.2917462136236 40.31485588436035, -105.2917462136236 40.31450058621487, -105.291746890076 40.31449004578664, -105.2917606595498 40.31448952800083, -105.2923062091707 40.31448952800084, -105.2923199786443 40.31449004578667))"
7,0.6587101221084595,"POLYGON ((-105.2897094099787 40.05824396100467, -105.2897100838918 40.05825450191648, -105.2897100838918 40.05945051984583, -105.2897094099759 40.05946106068756, -105.2896956920462 40.05946157858364, -105.2887026628354 40.05946157858362, -105.2886889449058 40.05946106068759, -105.2886882709889 40.05945051984576, -105.2886882709889 40.05825450191644, -105.2886889449031 40.05824396100465, -105.2887026626847 40.05824344322057, -105.2896956921974 40.05824344322057, -105.2897094099787 40.05824396100467))"
8,0.5242653489112854,"POLYGON ((-105.2897479620376 40.14977296494462, -105.2897486368517 40.14978350566702, -105.2897486368517 40.15013231558669, -105.2897479620371 40.15014285628521, -105.2897342258498 40.15014337413567, -105.2894145713377 40.15014337413568, -105.2894008351504 40.15014285628522, -105.2894001603354 40.15013231558662, -105.2894001603354 40.14978350566703, -105.2894008351499 40.14977296494462, -105.2894145712955 40.14977244713126, -105.289734225892 40.14977244713126, -105.2897479620376 40.14977296494462))"
9,0.484646737575531,"POLYGON ((-105.2875577021434 40.09693266921417, -105.2875583764356 40.09694321003489, -105.2875583764356 40.09729194919439, -105.2875577021432 40.09730248998969, -105.287543976586 40.09730300784626, -105.2872002113094 40.09730300784626, -105.2871864857521 40.0973024899897, -105.2871858114594 40.09729194919434, -105.2871858114594 40.09694321003496, -105.2871864857518 40.09693266921415, -105.2872002112695 40.09693215139733, -105.2875439766257 40.09693215139734, -105.2875577021434 40.09693266921417))"
10,0.7735270261764526,"POLYGON ((-105.2884773867869 40.14679031270177, -105.2884780615729 40.14680085343901, -105.2884780615729 40.1471036748615, -105.2884773867893 40.14711421555766, -105.2884636512235 40.147114733423, -105.2878824363164 40.147114733423, -105.2878687007505 40.14711421555766, -105.2878680259666 40.14710367486141, -105.2878680259666 40.14680085343916, -105.2878687007528 40.14679031270177, -105.2878824363108 40.1467897949027, -105.2884636512293 40.14678979490272, -105.2884773867869 40.14679031270177))"
11,0.5155021548271179,"POLYGON ((-105.2876664299866 40.14936883146068, -105.2876671047974 40.14937937218969, -105.2876671047974 40.1498210623894, -105.2876664299865 40.14983160308496, -105.287652693867 40.14983212094342, -105.287190812545 40.14983212094342, -105.2871770764254 40.14983160308495, -105.287176401614 40.14982106238932, -105.287176401614 40.14937937218974, -105.2871770764253 40.14936883146066, -105.2871908124974 40.14936831365516, -105.2876526939145 40.14936831365515, -105.2876664299866 40.14936883146068))"
12,0.5258995294570923,"POLYGON ((-105.2883388567287 40.21047061676241, -105.2883395321463 40.21048115738726, -105.2883395321463 40.21081896819099, -105.2883388567317 40.2108295087673, -105.2883251083168 40.21083002663314, -105.2876339686893 40.21083002663314, -105.2876202202741 40.21082950876731, -105.2876195448592 40.21081896819079, -105.2876195448592 40.21048115738742, -105.2876202202771 40.21047061676241, -105.2876339686875 40.21047009897523, -105.2883251083187 40.21047009897525, -105.2883388567287 40.21047061676241))"
