OBJECTID_1,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
,API:37121220500000,Pennsylvania,Venango,WOIDECK 33Q,,,Orphan,41.492620000000002,-79.528552000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.528552000274502,41.492620000412700
,API:37121220470000,Pennsylvania,Venango,WOIDECK 30Q,,,Orphan,41.492649000000000,-79.523859999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.523859999739201,41.492648999951399
,API:37121302440000,Pennsylvania,Venango,WOIDECK 138Q,,,Orphan,41.492870000000003,-79.526912999999993,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.526913000234700,41.492870000250399
,API:37121337950000,Pennsylvania,Venango,WOIDECK 137Q,,,Orphan,41.492922000000000,-79.528970000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.528969999765593,41.492921999950397
,API:37121298960000,Pennsylvania,Venango,WOIDECK 205Q,,,Orphan,41.493130999999998,-79.517471999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.517472000132699,41.493130999695900
,API:37121337980000,Pennsylvania,Venango,WOIDECK 2060,,,Orphan,41.493197000000002,-79.527510000000007,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.527509999886504,41.493197000041597
,API:37121302460000,Pennsylvania,Venango,WOIDECK 202Q,,,Orphan,41.493203000000001,-79.522885000000002,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.522884999742899,41.493203000318303
,API:37121337970000,Pennsylvania,Venango,WOIDECK 204Q,,,Orphan,41.493335000000002,-79.524590000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.524590000128299,41.493335000110200
,API:37121205150000,Pennsylvania,Venango,DONOVAN OR STEWART RUN CLUB 18,,,Orphan,41.493420999999998,-79.531390000000002,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.531389999848599,41.493420999579499
,API:37121220370000,Pennsylvania,Venango,WOIDECK 20Q,,,Orphan,41.493611000000001,-79.516012000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.516012000253596,41.493611000247498
,API:37121298890000,Pennsylvania,Venango,WOIDECK 184Q,,,Orphan,41.494297000000003,-79.515829999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.515829999954505,41.494297000406299
,API:37121220380000,Pennsylvania,Venango,WOIDECK 21Q,,,Orphan,41.494846000000003,-79.517290000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.517289999833594,41.494845999643204
,API:37121220460000,Pennsylvania,Venango,WOIDECK 29Q,,,Orphan,41.494869999999999,-79.522524000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.522524000182401,41.494869999850700
,API:37121337960000,Pennsylvania,Venango,WOIDECK 203Q,,,Orphan,41.495009000000003,-79.524107000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.524107000337807,41.495008999965400
,API:37121298970000,Pennsylvania,Venango,WOIDECK 220Q,,,Orphan,41.495258000000000,-79.517253999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.517253999972098,41.495257999756902
,API:37121298790000,Pennsylvania,Venango,WOIDECK 141Q,,,Orphan,41.495258000000000,-79.514553000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.514553000420605,41.495257999756902
,API:37121338000000,Pennsylvania,Venango,WOIDECK 2090,,,Orphan,41.496287000000002,-79.523939999999996,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.523939999831100,41.496287000444802
,API:37121219260000,Pennsylvania,Venango,WOIDECK 9Q,,,Orphan,41.496341999999999,-79.531496000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.531496000240196,41.496342000283200
,API:37121298930000,Pennsylvania,Venango,WOIDECK 196Q,,,Orphan,41.496630000000003,-79.519298000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.519297999802802,41.496630000074497
,API:37121338100000,Pennsylvania,Venango,WOIDECK 2210,,,Orphan,41.496766000000001,-79.523679000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.523679000385499,41.496766000050897
,API:37121338010000,Pennsylvania,Venango,WOIDECK 2100,,,Orphan,41.497041000000003,-79.522583999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.522584000251399,41.497041000142097
