OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
99418,API:37121205550000,Pennsylvania,Venango,MC CALMONT 14Q(T),,,Orphan,41.504130000000004,-79.544431000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: Allegheny Twp,,-79.544430999590901,41.504129999699799
99628,API:37121219230000,Pennsylvania,Venango,WOIDECK 6Q,,,Orphan,41.501106000000000,-79.532623999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.532624000097499,41.501105999642199
99629,API:37121219240000,Pennsylvania,Venango,WOIDECK 7Q,,,Orphan,41.499783000000001,-79.532623999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.532624000097499,41.499782999785701
99630,API:37121219250000,Pennsylvania,Venango,WOIDECK 8Q,,,Orphan,41.496955999999997,-79.533169999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.533170000095396,41.496955999819598
99632,API:37121219270000,Pennsylvania,Venango,WOIDECK 10Q,,,Orphan,41.494292999999999,-79.533533000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.533532999748104,41.494293000221802
99643,API:37121220250000,Pennsylvania,Venango,WOIDECK 50Q,,,Orphan,41.500055000000003,-79.537187000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.537187000079896,41.500054999738502
99644,API:37121220260000,Pennsylvania,Venango,WOIDECK 51Q,,,Orphan,41.500056999999998,-79.534083999999993,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.534083999976602,41.500056999830697
99645,API:37121220270000,Pennsylvania,Venango,WOIDECK 52Q,,,Orphan,41.501652999999997,-79.539012999999997,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.539012999750099,41.501652999686300
99646,API:37121220280000,Pennsylvania,Venango,WOIDECK 53Q,,,Orphan,41.501790999999997,-79.535728000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.535728000247005,41.501790999754903
99668,API:37121220530000,Pennsylvania,Venango,WOIDECK 36Q,,,Orphan,41.493194000000003,-79.539007999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.539008000418804,41.493193999903198
99669,API:37121220540000,Pennsylvania,Venango,WOIDECK 37Q,,,Orphan,41.493057999999998,-79.536270000000002,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.536270000060398,41.493057999926798
99670,API:37121220550000,Pennsylvania,Venango,WOIDECK 38Q,,,Orphan,41.494154999999999,-79.537730999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.537730999985598,41.494155000153199
99671,API:37121220560000,Pennsylvania,Venango,WOIDECK 39Q,,,Orphan,41.494155999999997,-79.534262999999996,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.534263000137301,41.494156000199297
