filename,min_x,min_y,max_x,max_y,point_format
USGS_LPC_PA_WesternPA_2019_D20_17TPF604590.laz,604500.0,4590000.0,605999.99,4591499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF604591.laz,604500.0,4591500.0,605999.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF604593.laz,604500.0,4593000.0,605999.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF604594.laz,604500.0,4594500.0,605999.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF604596.laz,604500.0,4596000.0,605999.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF604597.laz,604500.0,4597500.0,605999.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF604599.laz,604500.0,4599000.0,605999.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF606590.laz,606000.0,4590000.0,607499.99,4591499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF606591.laz,606000.0,4591500.0,607499.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF606593.laz,606000.0,4593000.0,607499.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF606594.laz,606000.0,4594500.0,607499.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF606596.laz,606000.0,4596000.0,607499.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF606597.laz,606000.0,4597500.0,607499.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF606599.laz,606000.0,4599000.0,607499.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF607590.laz,607500.0,4590000.0,608999.99,4591499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF607591.laz,607500.0,4591500.0,608999.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF607593.laz,607500.0,4593000.0,608999.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF607594.laz,607500.0,4594500.0,608999.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF607596.laz,607500.0,4596000.0,608999.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF607597.laz,607500.0,4597500.0,608999.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF607599.laz,607500.0,4599000.0,608999.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF609590.laz,609000.0,4590000.0,610499.99,4591499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF609591.laz,609000.0,4591500.0,610499.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF609593.laz,609000.0,4593000.0,610499.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF609594.laz,609000.0,4594500.0,610499.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF609596.laz,609000.0,4596000.0,610499.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF609597.laz,609000.0,4597500.0,610499.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF609599.laz,609000.0,4599000.0,610499.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF610590.laz,610500.0,4590000.0,611999.99,4591499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF610591.laz,610500.0,4591500.0,611999.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF610593.laz,610500.0,4593000.0,611999.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF610594.laz,610500.0,4594500.0,611999.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF610596.laz,610500.0,4596000.0,611999.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF610597.laz,610500.0,4597500.0,611999.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF610599.laz,610500.0,4599000.0,611999.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF612590.laz,612000.0,4590000.0,613499.99,4591499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF612591.laz,612000.0,4591500.0,613499.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF612593.laz,612000.0,4593000.0,613499.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF612594.laz,612000.0,4594500.0,613499.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF612596.laz,612000.0,4596000.0,613499.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF612597.laz,612000.0,4597500.0,613499.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF612599.laz,612000.0,4599000.0,613499.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF613590.laz,613500.0,4590000.0,614999.99,4591499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF613591.laz,613500.0,4591500.0,614999.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF613593.laz,613500.0,4593000.0,614999.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF613594.laz,613500.0,4594500.0,614999.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF613596.laz,613500.0,4596000.0,614999.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF613597.laz,613500.0,4597500.0,614999.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF613599.laz,613500.0,4599000.0,614999.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF615590.laz,615000.0,4590000.0,616499.99,4591499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF615591.laz,615000.0,4591500.0,616499.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF615593.laz,615000.0,4593000.0,616499.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF615594.laz,615000.0,4594500.0,616499.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF615596.laz,615000.0,4596000.0,616499.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF615597.laz,615000.0,4597500.0,616499.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF615599.laz,615000.0,4599000.0,616499.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616591.laz,616500.0,4591500.0,617999.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616593.laz,616500.0,4593000.0,617999.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616594.laz,616500.0,4594500.0,617999.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616596.laz,616500.0,4596000.0,617999.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616597.laz,616500.0,4597500.0,617999.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616599.laz,616500.0,4599000.0,617999.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF618591.laz,618000.0,4591500.0,619499.99,4592999.99,6
