x,y,kind
697765.7797451533,4646093.790383616,road
697761.7116874269,4646118.504386575,road
697754.8818037212,4646142.633137922,road
697742.7476042813,4646164.3624212565,road
697725.9270310514,4646182.903249228,road
697706.0151042507,4646197.166560466,road
697656.9249234486,4646238.2515555965,road
697678.2071014981,4646229.026638572,road
697696.6592645035,4646214.446007293,road
697707.6637474888,4646193.826446941,road
697719.8856432568,4646174.243441059,road
697719.3053500367,4646150.806011235,road
697714.4518711183,4646127.752184868,road
697712.2581449619,4646104.273676927,road
697754.1683088351,4646233.851007744,road
697729.9148493384,4646246.585634182,road
697703.8076103791,4646254.801061048,road
697676.1627440986,4646253.511679617,road
697648.9298952699,4646249.634777627,road
697656.9249234486,4646238.2515555965,road
697758.7882105464,4646242.720161107,road
697754.9333631098,4646267.078054793,road
697755.957754095,4646291.695927049,road
697761.0197699622,4646315.825265588,road
697761.2208987644,4646340.151208643,road
697755.6219387249,4646364.130939226,road
697752.1277405812,4646388.539785107,road
697754.7875945457,4646412.502234289,road
697760.2988516198,4646436.515245727,road
697597.9562210236,4647001.964700637,road
697575.9808371385,4646991.835478024,road
697553.2430337747,4646983.553884959,road
697530.8109637403,4646974.5087380195,road
697506.7093813892,4646973.009573649,road
697483.2017048427,4646977.70349615,road
697459.4885045295,4646982.3673631335,road
697423.9947193846,4646978.9641638845,road
697450.2109444262,4646979.097373053,road
697474.7092153941,4646988.593207353,road
697494.3805581584,4647005.797495011,road
697508.3879938055,4647027.934982871,road
697518.9167372175,4647052.047502564,road
697441.5123202665,4647058.1495712,road
697464.6925132105,4647055.829459912,road
697487.8981796048,4647053.832674927,road
697511.1557084532,4647052.4941633735,road
697534.4187709959,4647052.837351497,road
697552.527562931,4647064.592470899,road
697572.6182842015,4647076.1699444195,road
697587.1082147558,4647092.9261999475,road
697597.1349070001,4647113.937812284,road
697596.9756361956,4647133.7453131275,road
697576.3712072942,4647130.320718279,road
697554.2307015542,4647124.031475961,road
697532.3586339072,4647130.019155123,road
697597.9562210236,4647001.964700637,road
697613.1989415905,4647017.795740252,road
697628.4754763447,4647033.594059027,road
697643.7971471428,4647049.348701185,road
697657.4891881174,4647066.422632374,road
697668.9375341923,4647085.12392306,road
697678.2636237846,4647105.023330048,road
697686.0758734242,4647125.562787381,road
697695.0247779457,4647145.6299531525,road
697704.277346189,4647165.562602747,road
697713.7362001052,4647185.399246318,road
697724.0587172887,4647204.798621597,road
697731.7140549188,4647225.301813863,road
697738.1292376559,4647246.321037827,road
697730.9710399733,4647247.359179538,road
697712.9364326217,4647234.913740943,road
697693.3216623758,4647225.049204316,road
697671.9574846029,4647221.40846858,road
697519.314397447,4647126.354209246,road
697534.7206122485,4647148.011014759,road
697545.7547724426,4647172.203411058,road
697547.7627359935,4647190.109439222,road
697526.4118575448,4647174.299967907,road
697506.9789579322,4647156.279629946,road
697683.4102495542,4647198.773740194,road
697698.4198453211,4647171.098647265,road
697720.3051387517,4647149.919979544,road
697746.0698449056,4647166.230960061,road
697658.0678253964,4647160.514853377,road
697678.5286543174,4647191.274323027,road
697693.0611715936,4647224.929489511,road
697454.3349758838,4647167.3634092165,road
697470.5121571503,4647182.19085487,road
697483.8247813147,4647199.728025402,road
697495.316356687,4647218.481482611,road
697506.5404208053,4647237.385004426,road
697522.6367934019,4647251.626556296,road
697543.9136672462,4647248.17424565,road
697564.4392865347,4647240.285310797,road
697585.0024214119,4647232.460623643,road
697606.7166612705,4647229.337207364,road
697628.6458412288,4647227.435865635,road
697650.6370714487,4647226.391981728,road
697671.9574846029,4647221.40846858,road
697483.2805307943,4647199.011058768,road
697506.2293092172,4647198.394380245,road
697529.1591053992,4647198.996043703,road
697552.0816229455,4647200.252208232,road
697575.0213679931,4647200.928531367,road
697597.9194260009,4647202.175897944,road
697620.744749045,4647204.623745031,road
697643.63728958,4647205.943479763,road
697666.4963609849,4647207.712497295,road
697675.632665556,4647221.640589579,road
697720.330311226,4647149.918091593,road
697740.9585763583,4647140.181744864,road
697763.0466891048,4647144.075034968,road
697778.7500321801,4647161.213078371,road
697788.9198028614,4647181.898746652,road
697795.5013068987,4647204.302538926,road
697802.0643080648,4647226.671112299,road
697809.1491695744,4647248.790611403,road
697818.4741974181,4647270.210013625,road
697826.7148249589,4647292.052153122,road
697838.9062425955,4647311.911865531,road
697481.5518444461,4647196.69352657,road
697488.7891005033,4647221.690567321,road
697493.9622500822,4647247.119328356,road
697495.6054347331,4647272.977748466,road
697496.5758996869,4647298.673580752,road
697489.8893580106,4647323.797545141,road
697483.4128989093,4647348.863073364,road
697483.4128989093,4647348.863073364,road
697501.857085745,4647335.207863108,road
697520.5358987822,4647321.95241321,road
697542.1581478496,4647318.419301266,road
697564.6852474128,4647322.757527843,road
697587.369476683,4647326.135860638,road
697603.7390140097,4647316.398791231,road
697603.9855823455,4647293.511745456,road
697597.5896739824,4647272.003476097,road
697589.6442459197,4647251.06773624,road
697572.3347549092,4647237.157693425,road
697740.8534233851,4647255.246780445,road
697755.5868066828,4647271.859946869,road
697772.7138698297,4647285.769078422,road
697791.7897980245,4647297.12843455,road
697810.705243342,4647308.718492009,road
697832.2004404179,4647311.72499617,road
697854.3683823444,4647311.722165204,road
697876.1605966949,4647307.643716845,road
697898.3126473438,4647306.138374781,road
697920.234290559,4647309.1781149795,road
697941.7113833313,4647314.47960926,road
697961.1417672032,4647324.9904169645,road
697980.0141401086,4647336.684499327,road
697998.5539280355,4647348.89870133,road
698018.1261899075,4647359.284814311,road
697780.1792127233,4647443.932785868,road
697799.8988263974,4647430.904964628,road
697818.9950165704,4647416.9134631995,road
697835.7149265214,4647400.387205248,road
697850.1268686386,4647381.723618796,road
697855.0448638751,4647358.586124627,road
697856.7869781718,4647334.966940686,road
697857.6044346725,4647311.332285747,road
697593.5731502871,4647441.457538602,road
697614.0018227764,4647433.131457068,road
697635.4735368858,4647427.833734926,road
697656.1275894052,4647420.127132172,road
697676.697072852,4647412.015594726,road
697683.2770097228,4647401.404716316,road
697665.9492005995,4647387.829410044,road
697656.0572809634,4647368.115383426,road
697648.6739887209,4647347.327383841,road
697641.2463353223,4647326.584786408,road
697621.8264656621,4647320.078274336,road
697600.0450509748,4647324.0294495085,road
697689.6236552908,4647406.034132128,road
697713.185828115,4647411.988262236,road
697735.240676302,4647421.769391957,road
697757.0064659228,4647432.548269752,road
697778.8412343548,4647443.1876297,road
697762.9770404166,4647458.853226834,road
697744.2291313984,4647471.875689756,road
697720.5678378849,4647469.212651291,road
697792.9742473557,4648457.141870382,road
697816.3318494925,4648458.248170369,road
697839.473245568,4648455.439965394,road
697860.826521637,4648447.43825691,road
697881.0654669453,4648435.966625955,road
697899.2279730595,4648421.415932169,road
697918.9881583443,4648409.0456888825,road
697937.7987632537,4648398.289656102,road
697792.0134272177,4648560.360999577,road
697810.7279892035,4648541.1450374555,road
697829.063873792,4648522.335835745,road
697845.8490566334,4648501.511861324,road
697853.9729346612,4648476.53045495,road
697876.0190086107,4648489.370531235,road
697875.1711279772,4648519.396686535,road
697860.0854770303,4648544.098378685,road
