old_path,new_path,phase,reason
docs/duplicates_proposed_moves.csv,docs/_ledgers/duplicates_proposed_moves.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/phase1_moves.csv,docs/_ledgers/phase1_moves.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/phase1_revert_notebook_demo.csv,docs/_ledgers/phase1_revert_notebook_demo.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/phase1b_rename_9t1m.csv,docs/_ledgers/phase1b_rename_9t1m.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/phase2_consolidation_moves.csv,docs/_ledgers/phase2_consolidation_moves.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/phase_archive_moves.csv,docs/_ledgers/phase_archive_moves.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/qgis_repoint.csv,docs/_ledgers/qgis_repoint.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/stage_cleanup_moves.csv,docs/_ledgers/stage_cleanup_moves.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/stage_refactor_edits.csv,docs/_ledgers/stage_refactor_edits.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/stage_refactor_moves.csv,docs/_ledgers/stage_refactor_moves.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/v1_archive_moves.csv,docs/_ledgers/v1_archive_moves.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/v1_restore_moves.csv,docs/_ledgers/v1_restore_moves.csv,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
docs/verify_paths_baseline.json,docs/_ledgers/verify_paths_baseline.json,phase4b,"execution ledger from the Phases 0-3 tooling; a record of a tool run, not a document"
data/derivatives/pit_candidates_610594.gpkg-shm,data/99_archive/superseded/qgis_sidecars/pit_candidates_610594.gpkg-shm,phase4b,"QGIS sqlite write-ahead-log sidecar; transient, never valid to keep"
data/derivatives/pit_candidates_610594.gpkg-wal,data/99_archive/superseded/qgis_sidecars/pit_candidates_610594.gpkg-wal,phase4b,"QGIS sqlite write-ahead-log sidecar; transient, never valid to keep"
data/derivatives/pit_candidates_616593.gpkg-shm,data/99_archive/superseded/qgis_sidecars/pit_candidates_616593.gpkg-shm,phase4b,"QGIS sqlite write-ahead-log sidecar; transient, never valid to keep"
data/derivatives/pit_candidates_616593.gpkg-wal,data/99_archive/superseded/qgis_sidecars/pit_candidates_616593.gpkg-wal,phase4b,"QGIS sqlite write-ahead-log sidecar; transient, never valid to keep"
data/derivatives/pit_candidates_mk5.gpkg-shm,data/99_archive/superseded/qgis_sidecars/pit_candidates_mk5.gpkg-shm,phase4b,"QGIS sqlite write-ahead-log sidecar; transient, never valid to keep"
data/derivatives/pit_candidates_mk5.gpkg-wal,data/99_archive/superseded/qgis_sidecars/pit_candidates_mk5.gpkg-wal,phase4b,"QGIS sqlite write-ahead-log sidecar; transient, never valid to keep"
data/derivatives/tiles/venango_1m/landcover_venango_1m.tif,data/external/landcover/landcover_venango_1m.tif,phase4b,"single NLCD clip, not a derivative tile stack; reference data"
data/derivatives/tiles/washington_1m/landcover_washington_1m.tif,data/external/landcover/landcover_washington_1m.tif,phase4b,"single NLCD clip, not a derivative tile stack; reference data"
data/derivatives/tiles/mckean_1m/landcover_mckean_1m.tif,data/external/landcover/landcover_mckean_1m.tif,phase4b,"single NLCD clip, not a derivative tile stack; reference data"
