old_path,new_path,phase,reason
data/derivatives/annotations/_backup_2026-06-10/annotations_proj.gpkg,data/02_truth/_history/_backup_2026-06-10/annotations_proj.gpkg,phase4c,dated annotation snapshot; the only record of the prior state
data/derivatives/annotations/_backup_roads_2026-08-05/roads.cpg,data/02_truth/_history/_backup_roads_2026-08-05/roads.cpg,phase4c,dated annotation snapshot; the only record of the prior state
data/derivatives/annotations/_backup_roads_2026-08-05/roads.dbf,data/02_truth/_history/_backup_roads_2026-08-05/roads.dbf,phase4c,dated annotation snapshot; the only record of the prior state
data/derivatives/annotations/_backup_roads_2026-08-05/roads.prj,data/02_truth/_history/_backup_roads_2026-08-05/roads.prj,phase4c,dated annotation snapshot; the only record of the prior state
data/derivatives/annotations/_backup_roads_2026-08-05/roads.shp,data/02_truth/_history/_backup_roads_2026-08-05/roads.shp,phase4c,dated annotation snapshot; the only record of the prior state
data/derivatives/annotations/_backup_roads_2026-08-05/roads.shx,data/02_truth/_history/_backup_roads_2026-08-05/roads.shx,phase4c,dated annotation snapshot; the only record of the prior state
data/derivatives/annotations/_merge_613590_roads_summary.json,data/02_truth/annotations/_merge_613590_roads_summary.json,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/annotations_proj.gpkg,data/02_truth/annotations/annotations_proj.gpkg,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/bold_roads.cpg,data/02_truth/annotations/bold_roads.cpg,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/bold_roads.dbf,data/02_truth/annotations/bold_roads.dbf,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/bold_roads.prj,data/02_truth/annotations/bold_roads.prj,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/bold_roads.shp,data/02_truth/annotations/bold_roads.shp,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/bold_roads.shx,data/02_truth/annotations/bold_roads.shx,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/drainage.dbf,data/02_truth/annotations/drainage.dbf,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/drainage.shp,data/02_truth/annotations/drainage.shp,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/drainage.shx,data/02_truth/annotations/drainage.shx,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/existing_roads.cpg,data/02_truth/annotations/existing_roads.cpg,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/existing_roads.dbf,data/02_truth/annotations/existing_roads.dbf,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/existing_roads.prj,data/02_truth/annotations/existing_roads.prj,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/existing_roads.shp,data/02_truth/annotations/existing_roads.shp,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/existing_roads.shx,data/02_truth/annotations/existing_roads.shx,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/faint_roads.cpg,data/02_truth/annotations/faint_roads.cpg,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/faint_roads.dbf,data/02_truth/annotations/faint_roads.dbf,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/faint_roads.prj,data/02_truth/annotations/faint_roads.prj,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/faint_roads.shp,data/02_truth/annotations/faint_roads.shp,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/faint_roads.shx,data/02_truth/annotations/faint_roads.shx,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/not_roads.cpg,data/02_truth/annotations/not_roads.cpg,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/not_roads.dbf,data/02_truth/annotations/not_roads.dbf,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/not_roads.prj,data/02_truth/annotations/not_roads.prj,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/not_roads.shp,data/02_truth/annotations/not_roads.shp,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
data/derivatives/annotations/not_roads.shx,data/02_truth/annotations/not_roads.shx,phase4c,"hand-drawn ground truth; irreplaceable, out of the regenerable tree"
