old_path,new_path,phase,reason
data/derivatives/pit_607594_overview.png,data/03_derived/607594/1m/pit_607594_overview.png,phase4d,belongs to that block's stack
data/derivatives/pit_candidates_607594.gpkg,data/03_derived/607594/1m/pit_candidates_607594.gpkg,phase4d,belongs to that block's stack
data/derivatives/rrim_openness_607594_1m_preview.png,data/03_derived/607594/1m/rrim_openness_607594_1m_preview.png,phase4d,belongs to that block's stack
data/derivatives/rrim_simple_607594_1m_preview.png,data/03_derived/607594/1m/rrim_simple_607594_1m_preview.png,phase4d,belongs to that block's stack
data/derivatives/pit_610594_dep_overlay.png,data/03_derived/610594/1m/pit_610594_dep_overlay.png,phase4d,belongs to that block's stack
data/derivatives/pit_610594_raw_overlay.png,data/03_derived/610594/1m/pit_610594_raw_overlay.png,phase4d,belongs to that block's stack
data/derivatives/pit_candidates_610594.gpkg,data/03_derived/610594/1m/pit_candidates_610594.gpkg,phase4d,belongs to that block's stack
data/derivatives/rrim_openness_610594_1m_preview.png,data/03_derived/610594/1m/rrim_openness_610594_1m_preview.png,phase4d,belongs to that block's stack
data/derivatives/rrim_simple_610594_1m_preview.png,data/03_derived/610594/1m/rrim_simple_610594_1m_preview.png,phase4d,belongs to that block's stack
data/derivatives/pit_610605_overview.png,data/03_derived/610605/1m/pit_610605_overview.png,phase4d,belongs to that block's stack
data/derivatives/pit_candidates_610605.gpkg,data/03_derived/610605/1m/pit_candidates_610605.gpkg,phase4d,belongs to that block's stack
data/derivatives/rrim_openness_610605_1m_preview.png,data/03_derived/610605/1m/rrim_openness_610605_1m_preview.png,phase4d,belongs to that block's stack
data/derivatives/rrim_simple_610605_1m_preview.png,data/03_derived/610605/1m/rrim_simple_610605_1m_preview.png,phase4d,belongs to that block's stack
data/derivatives/pit_616593_dep_overlay.png,data/03_derived/616593/1m/pit_616593_dep_overlay.png,phase4d,belongs to that block's stack
data/derivatives/pit_616593_raw_overlay.png,data/03_derived/616593/1m/pit_616593_raw_overlay.png,phase4d,belongs to that block's stack
data/derivatives/pit_candidates_616593.gpkg,data/03_derived/616593/1m/pit_candidates_616593.gpkg,phase4d,belongs to that block's stack
data/derivatives/pit_candidates_616593_enriched.gpkg,data/03_derived/616593/1m/pit_candidates_616593_enriched.gpkg,phase4d,belongs to that block's stack
data/derivatives/rrim_openness_616593_1m_preview.png,data/03_derived/616593/1m/rrim_openness_616593_1m_preview.png,phase4d,belongs to that block's stack
data/derivatives/rrim_simple_616593_1m_preview.png,data/03_derived/616593/1m/rrim_simple_616593_1m_preview.png,phase4d,belongs to that block's stack
data/derivatives/dem_9t_1m.tif,data/03_derived/9t/1m/dem_9t_1m.tif,phase4d,"canonical 1 m 9t stack, proven byte-exact against features_pit_9t_1m.tif"
data/derivatives/ground_density_noverlap_9t_1m.tif,data/03_derived/9t/1m/ground_density_noverlap_9t_1m.tif,phase4d,"canonical 1 m 9t stack, proven byte-exact against features_pit_9t_1m.tif"
data/derivatives/hillshade_9t_1m.tif,data/03_derived/9t/1m/hillshade_9t_1m.tif,phase4d,"canonical 1 m 9t stack, proven byte-exact against features_pit_9t_1m.tif"
data/derivatives/hillshade_9t_1m.tif.aux.xml,data/03_derived/9t/1m/hillshade_9t_1m.tif.aux.xml,phase4d,"canonical 1 m 9t stack, proven byte-exact against features_pit_9t_1m.tif"
data/derivatives/hillshade_9t_1m_az135.tif,data/03_derived/9t/1m/hillshade_9t_1m_az135.tif,phase4d,"canonical 1 m 9t stack, proven byte-exact against features_pit_9t_1m.tif"
data/derivatives/intensity_ground_9t_1m.tif,data/03_derived/9t/1m/intensity_ground_9t_1m.tif,phase4d,"canonical 1 m 9t stack, proven byte-exact against features_pit_9t_1m.tif"
data/derivatives/lrm_25_9t_1m.tif,data/03_derived/9t/1m/lrm_25_9t_1m.tif,phase4d,"canonical 1 m 9t stack, proven byte-exact against features_pit_9t_1m.tif"
data/derivatives/lrm_5_9t_1m.tif,data/03_derived/9t/1m/lrm_5_9t_1m.tif,phase4d,"canonical 1 m 9t stack, proven byte-exact against features_pit_9t_1m.tif"
data/derivatives/openness_neg_9t_1m.tif,data/03_derived/9t/1m/openness_neg_9t_1m.tif,phase4d,"canonical 1 m 9t stack, proven byte-exact against features_pit_9t_1m.tif"
