old_path,new_path,phase,reason
data/derivatives/tiles/9t/_build_9t_1m.log,data/03_derived/9t/05/_build_9t_1m.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_chain_status.log,data/03_derived/9t/05/_chain_status.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_dem_9t_1m_link.tif,data/03_derived/9t/05/_dem_9t_1m_link.tif,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_dem_9t_1m_link.tif.aux.xml,data/03_derived/9t/05/_dem_9t_1m_link.tif.aux.xml,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_diag_void_622081.png,data/03_derived/9t/05/_diag_void_622081.png,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_diag_void_pt2.png,data/03_derived/9t/05/_diag_void_pt2.png,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_infer_road_613590.log,data/03_derived/9t/05/_infer_road_613590.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_pad_cv5_resume.log,data/03_derived/9t/05/_pad_cv5_resume.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_pad_cv5_run.log,data/03_derived/9t/05/_pad_cv5_run.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_pit_cv5_fold4.log,data/03_derived/9t/05/_pit_cv5_fold4.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_pit_cv5_rescore.log,data/03_derived/9t/05/_pit_cv5_rescore.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_pit_cv5_run.log,data/03_derived/9t/05/_pit_cv5_run.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_predict_613590_05.log,data/03_derived/9t/05/_predict_613590_05.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_road_optimize.log,data/03_derived/9t/05/_road_optimize.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_road_unet_1m_recall_relabeled20260806_train.log,data/03_derived/9t/05/_road_unet_1m_recall_relabeled20260806_train.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/_yolo_infer_613590.log,data/03_derived/9t/05/_yolo_infer_613590.log,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/allret_count_9t_05.tif,data/03_derived/9t/05/allret_count_9t_05.tif,phase4d,"resolution is always a directory level, never sometimes a name suffix"
data/derivatives/tiles/9t/blocks_unified_9t.gpkg,data/03_derived/9t/05/blocks_unified_9t.gpkg,phase4d,"resolution is always a directory level, never sometimes a name suffix"
