path,verdict,why,imports,imported_by,executed,cited,documented,has_v2_twin
notebooks/wellsight/_common.py,ACTIVE,R7 via notebooks/wellsight/roads/_prep_road_1m.py,0,79,0,1,0,1
notebooks/wellsight/_compare_known_wells.py,HISTORICAL,,1,0,3,1,0,0
notebooks/wellsight/_dl.py,ACTIVE,R7 via notebooks/wellsight/pits/_pit_unet_v2.py,0,12,0,1,0,1
notebooks/wellsight/_instance_common.py,ORPHAN,,1,11,11,0,0,1
notebooks/wellsight/_rasterize_instances.py,UNREFERENCED,,2,0,0,0,0,0
notebooks/wellsight/_unet_instance_eval.py,HISTORICAL,,2,0,1,1,0,0
notebooks/wellsight/analysis/_chm_age_proxy.py,ORPHAN,,1,0,2,0,0,0
notebooks/wellsight/analysis/_chm_age_proxy_v2.py,ORPHAN,,1,0,2,0,0,0
notebooks/wellsight/annotations/_build_pit_dataset.py,HISTORICAL,,1,0,3,1,0,1
notebooks/wellsight/annotations/_build_plat_road_dataset.py,HISTORICAL,,1,0,3,1,0,1
notebooks/wellsight/annotations/_build_plat_split.py,ORPHAN,,1,0,2,0,0,1
notebooks/wellsight/annotations/_build_unified_split.py,ORPHAN,,1,0,1,0,0,1
notebooks/wellsight/annotations/_prep_annotations.py,ACTIVE,R7 via notebooks/wellsight_v2/annotations/_merge_review_added_roads_613590_into_roads_shp.py,1,0,2,1,0,1
notebooks/wellsight/annotations/_sanity_render.py,ORPHAN,,1,0,5,0,0,1
notebooks/wellsight/build/_build_3x3_hillshades.py,ORPHAN,,1,4,1,0,0,1
notebooks/wellsight/build/_build_3x3_hillshades_mckean.py,ORPHAN,,1,0,1,0,0,0
notebooks/wellsight/build/_build_chm_e1423n2238.py,ORPHAN,,1,0,1,0,0,0
notebooks/wellsight/build/_build_chm_mckean.py,ORPHAN,,1,0,1,0,0,0
notebooks/wellsight/build/_build_contours_data_3x3.py,SUPERSEDED,,1,0,0,1,0,1
notebooks/wellsight/build/_build_data_3x3_derivatives.py,ORPHAN,,3,0,2,0,0,1
notebooks/wellsight/build/_build_data_3x3_partial_westernpa.py,HISTORICAL,,3,0,1,1,0,1
notebooks/wellsight/build/_build_derivatives.py,SUPERSEDED,,1,3,0,1,0,1
notebooks/wellsight/build/_build_diagnostics_9t.py,HISTORICAL,,1,0,2,1,0,0
notebooks/wellsight/build/_build_dsm_chm_westernpa.py,ORPHAN,,2,0,1,0,0,0
notebooks/wellsight/build/_build_hillshade_az135.py,UNREFERENCED,,1,0,0,0,0,0
notebooks/wellsight/build/_build_hillshade_variants.py,ORPHAN,,1,0,1,0,0,0
notebooks/wellsight/build/_build_hillshades_downloadlist7.py,ORPHAN,,1,0,2,0,0,0
notebooks/wellsight/build/_build_hydrology_9t.py,ORPHAN,,1,0,3,0,0,0
notebooks/wellsight/build/_build_oilcreek_22tile_mosaic.py,ORPHAN,,1,0,2,0,0,0
notebooks/wellsight/build/_build_road_review_package.py,HISTORICAL,,1,0,1,1,0,1
